source,source_name,compound_id,gene_symbol,compound_gene_cosine,rank,n_edges,pair_id,pair_rank,pair_label,compound_name,compound_short_name,compound_name_source,compound_smiles,compound_label,similarity_percentile,rank_label,pair_label_plot,source_curve,compound_x,compound_y,gene_x,gene_y
dgidb,DGIdb,HBUBKKRHXORPQB-UHFFFAOYSA-N,POLA1,0.3122480511665344,1,11424,Reference 1,1,Fludarabine–POLA1,Fludarabine Base,Fludarabine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/HBUBKKRHXORPQB-UHFFFAOYSA-N/property/Title/JSON,,Fludarabine,99.99562324929971,#1/11424,"Fludarabine
POLA1",0.0,0.403292960062781,-0.3961976541635277,0.033634450015393,-0.2434249354579274
dgidb,DGIdb,ACCFLVVUVBJNGT-UHFFFAOYSA-N,PIK3R3,0.3025389313697815,2,11424,Reference 2,2,Samotolisib–PIK3R3,Samotolisib (LY3023414),Samotolisib,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ACCFLVVUVBJNGT-UHFFFAOYSA-N/property/Title/JSON,,Samotolisib,99.98686974789915,#2/11424,"Samotolisib
PIK3R3",0.0,0.2095912915723659,-0.601824923557057,-0.1296922418986046,-0.2190981419185474
drugrep,DrugRep,JEFVYQYZCAVNTP-UHFFFAOYSA-N,KIF11,0.2630490064620971,4,5550,Reference 1,1,K-858–KIF11,K-858,K-858,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/JEFVYQYZCAVNTP-UHFFFAOYSA-N/property/Title/JSON,,K-858,99.93693693693693,#4/5550,"K-858
KIF11",0.0,0.3630741120123771,-0.1534078375811255,-0.148535833826981,-0.0840399557285933
drugrep,DrugRep,RGHYDLZMTYDBDT-UHFFFAOYSA-N,MTOR,0.2558121085166931,5,5550,Reference 2,2,Voxtalisib–MTOR,Voxtalisib,Voxtalisib,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/RGHYDLZMTYDBDT-UHFFFAOYSA-N/property/Title/JSON,,Voxtalisib,99.91891891891892,#5/5550,"Voxtalisib
MTOR",0.0,0.0764464722729155,-0.4932675564191169,-0.14769909470286,-0.2693342233306769
hetionet,Hetionet,PTOAARAWEBMLNO-UHFFFAOYSA-N,CDKN1A,0.2566676437854767,4,8484,Reference 1,1,CID 1546–CDKN1A,2-Chloro-9-(2-deoxypentofuranosyl)-9H-purin-6-amine,CID 1546,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/PTOAARAWEBMLNO-UHFFFAOYSA-N/property/Title/JSON,,CID 1546,99.95874587458746,#4/8484,"CID 1546
CDKN1A",0.0,0.3035662334418613,-0.4110238057439094,-0.1126604516451403,-0.1118365707246676
hetionet,Hetionet,OJGDCBLYJGHCIH-UHFFFAOYSA-N,ZDHHC6,0.2362295389175415,5,8484,Reference 2,2,Bromhexine–ZDHHC6,Bromhexine,Bromhexine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/OJGDCBLYJGHCIH-UHFFFAOYSA-N/property/Title/JSON,,Bromhexine,99.94695898161244,#5/8484,"Bromhexine
ZDHHC6",0.0,0.2338661690671458,0.2143465063429711,-0.1532975043949784,0.0204700724118182
openbiolink,OpenBioLink,QMGUOJYZJKLOLH-UHFFFAOYSA-N,PRKCH,0.2438046038150787,4,14774,Reference 1,1,Bisindolylmaleimide I–PRKCH,"3-(1-(3-(Dimethylamino)propyl)-1H-indol-3-yl)-4-(1H-indol-3-yl)-1H-pyrrole-2,5-dione",Bisindolylmaleimide I,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/QMGUOJYZJKLOLH-UHFFFAOYSA-N/property/Title/JSON,,Bisindolylmaleimide I,99.97630973331528,#4/14774,"Bisindolylmaleimide I
PRKCH",0.0,0.2732282579365891,-0.5877364750573765,-0.1639936881794176,-0.2075781378129586
openbiolink,OpenBioLink,BTIHMVBBUGXLCJ-UHFFFAOYSA-N,CCNA1,0.2398045659065246,6,14774,Reference 2,2,(Rac)-Roscovitine–CCNA1,2-(1-Ethyl-2-hydroxyethylamino)-6-benzylamino-9-isopropylpurine,(Rac)-Roscovitine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/BTIHMVBBUGXLCJ-UHFFFAOYSA-N/property/Title/JSON,,(Rac)-Roscovitine,99.96277243806688,#6/14774,"(Rac)-Roscovitine
CCNA1",0.0,0.4121633242454697,-0.4731804500426663,-0.0774810931072921,-0.1603043268870378
pharmebinet,PharMeBINet,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,CPT1A,0.2580592036247253,4,15794,Reference 1,1,Permethrin–CPT1A,Permethrin,Permethrin,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/RLLPVAHGXHCWKJ-UHFFFAOYSA-N/property/Title/JSON,,Permethrin,99.9778396859567,#4/15794,"Permethrin
CPT1A",0.0,0.3891854697696985,0.0358139301012886,-0.1300374114393313,0.1754700820807506
pharmebinet,PharMeBINet,BIIVYFLTOXDAOV-UHFFFAOYSA-N,MDM2,0.2494989335536956,6,15794,Reference 2,2,Flavopiridol–MDM2,"2-(2-Chlorophenyl)-5,7-dihydroxy-8-(3-hydroxy-1-methylpiperidin-4-yl)chromen-4-one",Flavopiridol,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/BIIVYFLTOXDAOV-UHFFFAOYSA-N/property/Title/JSON,,Flavopiridol,99.96517664936052,#6/15794,"Flavopiridol
MDM2",0.0,0.1319037494788737,-0.6060668730513896,-0.0874583898726007,-0.1680883046309581
