id,x,y,symbol,label
0,2.866,-4.067,S,S
1,8.0622,0.933,F,F
2,9.7942,1.933,F,F
3,3.366,-4.933,O,O
4,2.366,-3.201,O,O
5,5.4641,2.433,O,O
6,6.3301,3.933,O,O
7,3.732,-3.567,N,N
8,6.3301,-2.067,N,NH
9,5.4641,-0.567,N,N
10,7.1962,-0.567,N,N
11,4.5981,0.933,N,NH2
12,5.4641,-2.567,C,
13,5.4641,-3.567,C,
14,4.5981,-2.067,C,
15,4.5981,-4.067,C,
16,3.732,-2.567,C,
17,2.0,-4.567,C,
18,6.3301,-1.067,C,
19,5.4641,0.433,C,
20,6.3301,0.933,C,
21,7.1962,0.433,C,
22,6.3301,1.933,C,
23,7.1962,2.433,C,
24,7.1962,3.433,C,
25,8.0622,1.933,C,
26,8.0622,3.933,C,
27,8.9282,2.433,C,
28,8.9282,3.433,C,
29,6.3301,4.933,C,
