task,display,representation,n,positive_test,scaffolds_test,auprc_mean,auprc_sd,auroc_mean,auroc_sd,endpoint
Endocrine Disruption_SR-ARE,AtomPair,AtomPair2048,5537,870,2907,0.4718934387822546,0.0862411154817047,0.7870182423290732,0.0448134953384999,SR-ARE
Endocrine Disruption_SR-ARE,Avalon,Avalon1024,5537,870,2907,0.4495063178321887,0.1014308518695095,0.7851608164702241,0.0343735368433956,SR-ARE
Endocrine Disruption_SR-ARE,CGP-Align,CGP-Align,5537,870,2907,0.5421179560486511,0.07705985098253726,0.8228750929654554,0.015271224471836745,SR-ARE
Endocrine Disruption_SR-ARE,Morgan,Morgan2048,5537,870,2907,0.4512217425798634,0.1317355120173114,0.7699773870789551,0.0433035694817676,SR-ARE
Endocrine Disruption_SR-ARE,NYAN,NYAN_latent,5537,870,2907,0.4690909029730334,0.0966281703777557,0.7938257963117012,0.0267118173125884,SR-ARE
Endocrine Disruption_SR-ARE,RDKit2D,RDKit2D,5537,870,2907,0.4966237913072216,0.0938248259486226,0.8127637457300075,0.0418339902409374,SR-ARE
Endocrine Disruption_SR-ATAD5,AtomPair,AtomPair2048,6737,242,3539,0.2073837558772734,0.0554774358770556,0.7783161459020645,0.0741954674270271,SR-ATAD5
Endocrine Disruption_SR-ATAD5,Avalon,Avalon1024,6737,242,3539,0.1893987706503875,0.0743337855145126,0.7356393050716669,0.1350500932804765,SR-ATAD5
Endocrine Disruption_SR-ATAD5,CGP-Align,CGP-Align,6737,242,3539,0.29154682425185113,0.07145025743406244,0.8431120249931172,0.05935427421083829,SR-ATAD5
Endocrine Disruption_SR-ATAD5,Morgan,Morgan2048,6737,242,3539,0.1891995545567742,0.0261121718085481,0.7950262357859744,0.0302719735979031,SR-ATAD5
Endocrine Disruption_SR-ATAD5,NYAN,NYAN_latent,6737,242,3539,0.1691147152053434,0.0353719646409739,0.7780838759047854,0.0486313250566926,SR-ATAD5
Endocrine Disruption_SR-ATAD5,RDKit2D,RDKit2D,6737,242,3539,0.2207427799269585,0.0330589094657617,0.8429923463832003,0.0262352267786465,SR-ATAD5
Endocrine Disruption_SR-HSE,AtomPair,AtomPair2048,6145,334,3221,0.2963913560479564,0.1131194715517081,0.7346760801509605,0.0497036057923809,SR-HSE
Endocrine Disruption_SR-HSE,Avalon,Avalon1024,6145,334,3221,0.2865137619870317,0.1697531924401439,0.7459892879718384,0.036355161100632,SR-HSE
Endocrine Disruption_SR-HSE,CGP-Align,CGP-Align,6145,334,3221,0.4400451394923654,0.1999386269450017,0.8048111229277243,0.03762344052103782,SR-HSE
Endocrine Disruption_SR-HSE,Morgan,Morgan2048,6145,334,3221,0.3184228249696852,0.2016462295664196,0.7661142080855867,0.0473716910227324,SR-HSE
Endocrine Disruption_SR-HSE,NYAN,NYAN_latent,6145,334,3221,0.3670938176313554,0.2281370030637314,0.7590800243785673,0.0392537013734447,SR-HSE
Endocrine Disruption_SR-HSE,RDKit2D,RDKit2D,6145,334,3221,0.3810073307670188,0.1998537007462008,0.7949188043361392,0.0612571784219055,SR-HSE
Endocrine Disruption_SR-MMP,AtomPair,AtomPair2048,5528,875,2955,0.6080690396458935,0.1104701222571771,0.8685959228303259,0.037897933344973,SR-MMP
Endocrine Disruption_SR-MMP,Avalon,Avalon1024,5528,875,2955,0.5599581808383498,0.0950319375160537,0.8461802437903886,0.0351459748696541,SR-MMP
Endocrine Disruption_SR-MMP,CGP-Align,CGP-Align,5528,875,2955,0.6592457107409861,0.060739594011009,0.8899839221888186,0.013616698727852565,SR-MMP
Endocrine Disruption_SR-MMP,Morgan,Morgan2048,5528,875,2955,0.5232971540230269,0.1088453202914917,0.8357767105686364,0.0370293632192599,SR-MMP
Endocrine Disruption_SR-MMP,NYAN,NYAN_latent,5528,875,2955,0.5948194833505822,0.1038936820047514,0.8745082217773864,0.0338545214761151,SR-MMP
Endocrine Disruption_SR-MMP,RDKit2D,RDKit2D,5528,875,2955,0.6854106075784864,0.064782825254173,0.9034162531589408,0.0186921742093913,SR-MMP
Endocrine Disruption_SR-p53,AtomPair,AtomPair2048,6446,393,3418,0.3087402020111714,0.1076594212232717,0.7814567485983052,0.1269920853696468,SR-p53
Endocrine Disruption_SR-p53,Avalon,Avalon1024,6446,393,3418,0.3089017684353791,0.1036421616723051,0.7964380720145229,0.0680941237633289,SR-p53
Endocrine Disruption_SR-p53,CGP-Align,CGP-Align,6446,393,3418,0.39667826673827633,0.06745005139398597,0.8631153347953576,0.017936745073252266,SR-p53
Endocrine Disruption_SR-p53,Morgan,Morgan2048,6446,393,3418,0.29441412446128,0.0927929820909214,0.7899393989262772,0.0460673266948783,SR-p53
Endocrine Disruption_SR-p53,NYAN,NYAN_latent,6446,393,3418,0.3028877394119537,0.1167810487362331,0.7999981456065324,0.0986524478596301,SR-p53
Endocrine Disruption_SR-p53,RDKit2D,RDKit2D,6446,393,3418,0.3703051115597268,0.13405745924116,0.8341685487600762,0.07316446161595,SR-p53
