query_idx,CGP-Align,RDKit2D,cgp_better,same,n_query
33,0.44,0.26,True,False,1
35,0.48,0.28,True,False,1
50,0.14,0.04,True,False,1
51,0.38,0.16,True,False,1
83,0.68,0.2,True,False,1
85,0.32,0.24,True,False,1
92,0.18,0.22,False,False,1
105,0.36,0.16,True,False,1
116,0.54,0.26,True,False,1
120,0.5,0.16,True,False,1
123,0.06,0.04,True,False,1
144,0.04,0.04,False,True,1
156,0.36,0.22,True,False,1
178,0.38,0.18,True,False,1
187,0.44,0.2,True,False,1
195,0.64,0.04,True,False,1
202,0.0,0.04,False,False,1
205,0.66,0.06,True,False,1
225,0.02,0.06,False,False,1
227,0.44,0.2,True,False,1
232,0.54,0.22,True,False,1
252,0.06,0.16,False,False,1
268,0.3,0.22,True,False,1
270,0.08,0.28,False,False,1
273,0.44,0.26,True,False,1
278,0.6,0.26,True,False,1
281,0.24,0.0,True,False,1
309,0.52,0.16,True,False,1
314,0.34,0.28,True,False,1
318,0.02,0.02,False,True,1
334,0.32,0.26,True,False,1
336,0.42,0.26,True,False,1
339,0.2,0.16,True,False,1
340,0.36,0.22,True,False,1
356,0.12,0.02,True,False,1
379,0.44,0.26,True,False,1
385,0.4,0.06,True,False,1
387,0.56,0.38,True,False,1
389,0.52,0.26,True,False,1
396,0.4,0.28,True,False,1
422,0.02,0.08,False,False,1
436,0.3,0.3,False,True,1
449,0.34,0.16,True,False,1
450,0.5,0.24,True,False,1
470,0.62,0.04,True,False,1
475,0.18,0.2,False,False,1
514,0.58,0.3,True,False,1
524,0.02,0.24,False,False,1
528,0.38,0.3,True,False,1
529,0.44,0.26,True,False,1
530,0.08,0.1,False,False,1
534,0.54,0.1,True,False,1
543,0.54,0.02,True,False,1
546,0.22,0.04,True,False,1
556,0.14,0.14,False,True,1
560,0.0,0.02,False,False,1
570,0.38,0.1,True,False,1
571,0.44,0.4,True,False,1
574,0.06,0.0,True,False,1
582,0.02,0.08,False,False,1
592,0.32,0.18,True,False,1
610,0.06,0.1,False,False,1
