query_name,query_moa,retrieved_name,retrieved_moa,rank,prism_response_corr,morgan_tanimoto,method_score,query_inchikey,retrieved_inchikey,shared_top_gene_count,dominant_categories,shared_gene_symbols_top20,pair,has_mechanism,mechanism,mechanism_group
D-64131,microtubule inhibitor,JK-184,hedgehog pathway inhibitor,1,0.6553443670272827,0.1621621549129486,0.841325581073761,ICMIJSRDISNKOC-UHFFFAOYSA-N,ROYXIPOUVGDTAO-UHFFFAOYSA-N,25,Cell cycle/mitosis:1; DNA damage/repair:1; Microtubule:1; Nuclear receptor/xenobiotic:1,MDM2;MAD2L2;KIF11;PTTG1;CHN2;SH3BP4;PRPF8;WEE1;SNAPC4;MED1;EIF2S2;TAX1BP3;RTN4;RASGRF1;GTF2I;HDLBP;CYP2B6;LSP1;PUM1;LBH,D-64131 -> JK-184,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
JK-184,hedgehog pathway inhibitor,D-64131,microtubule inhibitor,1,0.6553443670272827,0.1621621549129486,0.841325581073761,ROYXIPOUVGDTAO-UHFFFAOYSA-N,ICMIJSRDISNKOC-UHFFFAOYSA-N,25,Cell cycle/mitosis:1; DNA damage/repair:1; Microtubule:1; Nuclear receptor/xenobiotic:1,MDM2;MAD2L2;KIF11;PTTG1;CHN2;SH3BP4;PRPF8;WEE1;SNAPC4;MED1;EIF2S2;TAX1BP3;RTN4;RASGRF1;GTF2I;HDLBP;CYP2B6;LSP1;PUM1;LBH,JK-184 -> D-64131,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
BX-912,pyruvate dehydrogenase kinase inhibitor,tozasertib,"Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor",1,0.5797893404960632,0.1923076957464218,0.9073762893676758,DMMILYKXNCVKOJ-UHFFFAOYSA-N,GCIKSSRWRFVXBI-UHFFFAOYSA-N,32,Cell cycle/mitosis:2; Epigenetic/chromatin:1,WRN;PI4KA;REV3L;SOCS2;CHN2;SYT11;RUNX3;RUNX2;CISH;MED14;AFF3;CDC25A;MDM2;SOCS6;POLQ;TRRAP;DDX56;GRB7;RUNX1;USP24,BX-912 -> tozasertib,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
barasertib-HQPA,Aurora kinase inhibitor,tozasertib,"Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor",1,0.5678496956825256,0.1551724076271057,0.913250744342804,QYZOGCMHVIGURT-UHFFFAOYSA-N,GCIKSSRWRFVXBI-UHFFFAOYSA-N,35,Cell cycle/mitosis:2; Epigenetic/chromatin:1,PI4KA;WRN;CHN2;REV3L;SYT11;HS1BP3;SOCS6;SOCS2;MDM2;AFF3;FBXO5;RUNX2;SYT4;RUNX3;NSD1;MED14;POLQ;GRB7;TRIP10;TRRAP,barasertib-HQPA -> tozasertib,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
parbendazole,tubulin polymerization inhibitor,VU0238429,acetylcholine receptor allosteric modulator,1,0.5614307522773743,0.1617647111415863,0.7685510516166687,YRWLZFXJFBZBEY-UHFFFAOYSA-N,CKLGZXFOLMHCMC-UHFFFAOYSA-N,26,Proteostasis:3; Cell cycle/mitosis:2; DNA damage/repair:2; Nuclear receptor/xenobiotic:2,KIF11;MDM2;BTK;RASGRF1;TNPO1;PSMB6;ARAP3;WEE1;PLEK;CDC42EP3;PRPF8;ITK;GRB7;HMMR;ATRIP;ARHGEF26;SIK3;GTF2I;MAD2L2;TRRAP,parbendazole -> VU0238429,TRUE,Proteostasis,Other annotated program
SC-144,P glycoprotein inhibitor,broxaldine,NA,1,0.5240882039070129,0.1111111119389534,0.8095092177391052,UEADAWQSJOWXBK-UHFFFAOYSA-N,IJTPLVAAROHGGB-UHFFFAOYSA-N,29,Cell cycle/mitosis:1; Lipid/transport state:1; Nuclear receptor/xenobiotic:1,ABCC8;THPO;IFNL1;GPRC6A;IFNA1;IFNA6;FRMD6;IFNA2;IFNA13;IFNL3;CCNA1;GTF2H5;EPO;ARAP3;TNFAIP8L2;IFNL2;XPO1;IL3;MYD88;IFNA5,SC-144 -> broxaldine,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
VU0238429,acetylcholine receptor allosteric modulator,mebendazole,tubulin polymerization inhibitor,1,0.5061086416244507,0.11428571492433548,0.7908244729042053,CKLGZXFOLMHCMC-UHFFFAOYSA-N,OPXLLQIJSORQAM-UHFFFAOYSA-N,26,Cell cycle/mitosis:2; DNA damage/repair:2; Nuclear receptor/xenobiotic:2; Proteostasis:2,KIF11;MDM2;WEE1;RASGRF1;BTK;ARAP3;PSMB6;PRPF8;TNPO1;MED1;CHN2;MAD2L2;HMMR;RACGAP1;ATAD2;PSMC6;ITK;ARHGEF26;CDC42EP3;GTF2I,VU0238429 -> mebendazole,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
mebendazole,tubulin polymerization inhibitor,VU0238429,acetylcholine receptor allosteric modulator,1,0.5061086416244507,0.11428571492433548,0.7908244729042053,OPXLLQIJSORQAM-UHFFFAOYSA-N,CKLGZXFOLMHCMC-UHFFFAOYSA-N,26,Cell cycle/mitosis:2; DNA damage/repair:2; Nuclear receptor/xenobiotic:2; Proteostasis:2,KIF11;MDM2;WEE1;RASGRF1;BTK;ARAP3;PSMB6;PRPF8;TNPO1;MED1;CHN2;MAD2L2;HMMR;RACGAP1;ATAD2;PSMC6;ITK;ARHGEF26;CDC42EP3;GTF2I,mebendazole -> VU0238429,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
dovitinib,"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",barasertib-HQPA,Aurora kinase inhibitor,1,0.49810099601745605,0.12280701845884325,0.8798980712890625,PIQCTGMSNWUMAF-UHFFFAOYSA-N,QYZOGCMHVIGURT-UHFFFAOYSA-N,30,Nuclear receptor/xenobiotic:1; Proteostasis:1,PI4KA;FBXO5;RUNX2;HS1BP3;CHN2;WRN;RUNX3;SOCS6;AFF3;SYT11;SYT4;TRIP10;RUNX1;REV3L;MDM2;CRKL;MED14;TNFRSF14;CD40;SGK1,dovitinib -> barasertib-HQPA,TRUE,Nuclear receptor/xenobiotic,Other annotated program
genz-644282,topoisomerase inhibitor,NMS-1286937,PLK inhibitor,1,0.49783194065093994,0.1071428582072258,0.8183527588844299,BAORCAMWLWRZQG-UHFFFAOYSA-N,QHLVBNKYJGBCQJ-UHFFFAOYSA-N,29,Cell cycle/mitosis:3; Nuclear receptor/xenobiotic:2; PI3K/AKT/mTOR:1,CHN2;DDX56;TRRAP;WRN;MED14;CISH;PI4KA;SOCS2;REV3L;MDM2;AFF3;ARHGEF26;CCNT1;SYT4;CDC25A;POLQ;HS1BP3;RACGAP1;MTOR;ARHGEF16,genz-644282 -> NMS-1286937,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
