query_name,query_moa,retrieved_name,retrieved_moa,rank,prism_response_corr,morgan_tanimoto,method_score,query_inchikey,retrieved_inchikey
D-64131,microtubule inhibitor,JK-184,hedgehog pathway inhibitor,1,0.6553443670272827,0.1621621549129486,0.841325581073761,ICMIJSRDISNKOC-UHFFFAOYSA-N,ROYXIPOUVGDTAO-UHFFFAOYSA-N
JK-184,hedgehog pathway inhibitor,D-64131,microtubule inhibitor,1,0.6553443670272827,0.1621621549129486,0.841325581073761,ROYXIPOUVGDTAO-UHFFFAOYSA-N,ICMIJSRDISNKOC-UHFFFAOYSA-N
BX-912,pyruvate dehydrogenase kinase inhibitor,tozasertib,"Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor",1,0.5797893404960632,0.19230769574642181,0.9073762893676758,DMMILYKXNCVKOJ-UHFFFAOYSA-N,GCIKSSRWRFVXBI-UHFFFAOYSA-N
barasertib-HQPA,Aurora kinase inhibitor,tozasertib,"Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor",1,0.5678496956825256,0.1551724076271057,0.913250744342804,QYZOGCMHVIGURT-UHFFFAOYSA-N,GCIKSSRWRFVXBI-UHFFFAOYSA-N
parbendazole,tubulin polymerization inhibitor,VU0238429,acetylcholine receptor allosteric modulator,1,0.5614307522773743,0.1617647111415863,0.7685510516166687,YRWLZFXJFBZBEY-UHFFFAOYSA-N,CKLGZXFOLMHCMC-UHFFFAOYSA-N
SC-144,P glycoprotein inhibitor,broxaldine,,1,0.5240882039070129,0.1111111119389534,0.8095092177391052,UEADAWQSJOWXBK-UHFFFAOYSA-N,IJTPLVAAROHGGB-UHFFFAOYSA-N
VU0238429,acetylcholine receptor allosteric modulator,mebendazole,tubulin polymerization inhibitor,1,0.5061086416244507,0.11428571492433548,0.7908244729042053,CKLGZXFOLMHCMC-UHFFFAOYSA-N,OPXLLQIJSORQAM-UHFFFAOYSA-N
mebendazole,tubulin polymerization inhibitor,VU0238429,acetylcholine receptor allosteric modulator,1,0.5061086416244507,0.11428571492433548,0.7908244729042053,OPXLLQIJSORQAM-UHFFFAOYSA-N,CKLGZXFOLMHCMC-UHFFFAOYSA-N
dovitinib,"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",barasertib-HQPA,Aurora kinase inhibitor,1,0.49810099601745605,0.12280701845884323,0.8798980712890625,PIQCTGMSNWUMAF-UHFFFAOYSA-N,QYZOGCMHVIGURT-UHFFFAOYSA-N
genz-644282,topoisomerase inhibitor,NMS-1286937,PLK inhibitor,1,0.49783194065093994,0.1071428582072258,0.8183527588844299,BAORCAMWLWRZQG-UHFFFAOYSA-N,QHLVBNKYJGBCQJ-UHFFFAOYSA-N
NSC-697923,ubiquitin-conjugating enzyme inhibitor,stattic,,1,0.4910835325717926,0.18367347121238708,0.9378374814987183,GAUHIPWCDXOLCZ-UHFFFAOYSA-N,ZRRGOUHITGRLBA-UHFFFAOYSA-N
stattic,,NSC-697923,ubiquitin-conjugating enzyme inhibitor,1,0.4910835325717926,0.18367347121238708,0.9378374814987183,ZRRGOUHITGRLBA-UHFFFAOYSA-N,GAUHIPWCDXOLCZ-UHFFFAOYSA-N
BIIB021,HSP inhibitor,R547,CDK inhibitor,1,0.488023579120636,0.11702127754688263,0.9149529337882996,QULDDKSCVCJTPV-UHFFFAOYSA-N,JRNJNYBQQYBCLE-UHFFFAOYSA-N
voxtalisib,"mTOR inhibitor, PI3K inhibitor",PIK-93,PI3K inhibitor,1,0.48467934131622314,0.1428571492433548,0.8496540784835815,RGHYDLZMTYDBDT-UHFFFAOYSA-N,JFVNFXCESCXMBC-UHFFFAOYSA-N
CD-437,retinoid receptor agonist,crystal-violet,other antibiotic,1,0.4717710316181183,0.10000000149011612,0.7272903919219971,LDGIHZJOIQSHPB-UHFFFAOYSA-N,LGLFFNDHMLKUMI-UHFFFAOYSA-N
albendazole,tubulin polymerization inhibitor,BNC105,tubulin polymerization inhibitor,1,0.45846429467201233,0.16417910158634186,0.727379560470581,HXHWSAZORRCQMX-UHFFFAOYSA-N,RADMJHVVIZTENA-UHFFFAOYSA-N
pentamidine,anti-pneumocystis agent,EVP4593,NFkB pathway inhibitor,1,0.4574241638183594,0.14754098653793335,0.653432309627533,XDRYMKDFEDOLFX-UHFFFAOYSA-N,IBAKVEUZKHOWNG-UHFFFAOYSA-N
nocodazole,tubulin polymerization inhibitor,BNC105,tubulin polymerization inhibitor,1,0.44774267077445984,0.17391304671764374,0.7838197946548462,KYRVNWMVYQXFEU-UHFFFAOYSA-N,RADMJHVVIZTENA-UHFFFAOYSA-N
BNC105,tubulin polymerization inhibitor,nocodazole,tubulin polymerization inhibitor,1,0.44774267077445984,0.17391304671764374,0.7838197946548462,RADMJHVVIZTENA-UHFFFAOYSA-N,KYRVNWMVYQXFEU-UHFFFAOYSA-N
oxibendazole,tubulin polymerization inhibitor,BNC105,tubulin polymerization inhibitor,1,0.4423142671585083,0.1515151560306549,0.7093281745910645,RAOCRURYZCVHMG-UHFFFAOYSA-N,RADMJHVVIZTENA-UHFFFAOYSA-N
niclosamide,"DNA replication inhibitor, STAT inhibitor",tyrphostin-A9,"protein tyrosine kinase inhibitor, tyrosine kinase inhibitor",1,0.4391600787639618,0.08196721225976944,0.8355039954185486,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,MZOPWQKISXCCTP-UHFFFAOYSA-N
methiazole,anthelmintic agent,BNC105,tubulin polymerization inhibitor,1,0.4376116991043091,0.1515151560306549,0.6995350122451782,SXJIZQPZESTWLD-UHFFFAOYSA-N,RADMJHVVIZTENA-UHFFFAOYSA-N
regorafenib,"FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",AZ-628,RAF inhibitor,1,0.4334345757961273,0.1899999976158142,0.893276035785675,FNHKPVJBJVTLMP-UHFFFAOYSA-N,ZGBGPEDJXCYQPH-UHFFFAOYSA-N
AZ-628,RAF inhibitor,regorafenib,"FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",1,0.4334345757961273,0.1899999976158142,0.893276035785675,ZGBGPEDJXCYQPH-UHFFFAOYSA-N,FNHKPVJBJVTLMP-UHFFFAOYSA-N
cetrimonium,,NH125,eukaryotic translation elongation factor 2 inhibitor,1,0.402028352022171,0.190476194024086,0.8593038320541382,RLGQACBPNDBWTB-UHFFFAOYSA-N,ZZXUNAFAKNKXFW-UHFFFAOYSA-N
NH125,eukaryotic translation elongation factor 2 inhibitor,cetrimonium,,1,0.402028352022171,0.190476194024086,0.8593038320541382,ZZXUNAFAKNKXFW-UHFFFAOYSA-N,RLGQACBPNDBWTB-UHFFFAOYSA-N
torin-1,mTOR inhibitor,LY2801653,MET inhibitor,1,0.397073358297348,0.1735537201166153,0.895605206489563,AKCRNFFTGXBONI-UHFFFAOYSA-N,QHADVLVFMKEIIP-UHFFFAOYSA-N
dasatinib,"Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor, tyrosine kinase inhibitor",vandetanib,"EGFR inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",1,0.3943718373775482,0.13274335861206055,0.8561190962791443,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,UHTHHESEBZOYNR-UHFFFAOYSA-N
TW-37,BCL inhibitor,gossypol,"BCL inhibitor, MCL1 inhibitor",1,0.38936808705329895,0.15584415197372437,0.7612420916557312,PQAPVTKIEGUPRN-UHFFFAOYSA-N,QBKSWRVVCFFDOT-UHFFFAOYSA-N
PHA-793887,CDK inhibitor,barasertib-HQPA,Aurora kinase inhibitor,1,0.3748982846736908,0.08849557489156723,0.807223379611969,HUXYBQXJVXOMKX-UHFFFAOYSA-N,QYZOGCMHVIGURT-UHFFFAOYSA-N
mocetinostat,HDAC inhibitor,CUDC-101,EGFR inhibitor,1,0.3723987638950348,0.09433962404727936,0.7758414149284363,HRNLUBSXIHFDHP-UHFFFAOYSA-N,PLIVFNIUGLLCEK-UHFFFAOYSA-N
CCT129202,Aurora kinase inhibitor,PHA-848125,"CDK inhibitor, growth factor receptor inhibitor",1,0.36907827854156494,0.17757008969783783,0.8956054449081421,QYKHWEFPFAGNEV-UHFFFAOYSA-N,RXZMYLDMFYNEIM-UHFFFAOYSA-N
TAK-632,RAF inhibitor,RAF265,"RAF inhibitor, VEGFR inhibitor",1,0.36426860094070435,0.17241379618644714,0.9017611742019653,OJFKUJDRGJSAQB-UHFFFAOYSA-N,YABJJWZLRMPFSI-UHFFFAOYSA-N
terbutaline,adrenergic receptor agonist,tipiracil,thymidine phosphorylase inhibitor,1,0.35829466581344604,0.03448275849223137,0.8105785250663757,XWTYSIMOBUGWOL-UHFFFAOYSA-N,QQHMKNYGKVVGCZ-UHFFFAOYSA-N
crystal-violet,other antibiotic,CUDC-907,PI3K inhibitor,1,0.35252290964126587,0.09302325546741486,0.8766198754310608,LGLFFNDHMLKUMI-UHFFFAOYSA-N,JOWXJLIFIIOYMS-UHFFFAOYSA-N
octenidine,membrane integrity inhibitor,EVP4593,NFkB pathway inhibitor,1,0.34599608182907104,0.10447761416435242,0.6145532131195068,ZVXNYZWXUADSRV-UHFFFAOYSA-N,IBAKVEUZKHOWNG-UHFFFAOYSA-N
TG-101209,JAK inhibitor,foretinib,VEGFR inhibitor,1,0.34363824129104614,0.10084033757448196,0.9301108121871948,JVDOKQYTTYUYDV-UHFFFAOYSA-N,CXQHYVUVSFXTMY-UHFFFAOYSA-N
M-344,HDAC inhibitor,JNJ-26481585,HDAC inhibitor,1,0.34311434626579285,0.15000000596046448,0.848807156085968,MXWDSZWTBOCWBK-UHFFFAOYSA-N,PAWIYAYFNXQGAP-UHFFFAOYSA-N
torin-2,mTOR inhibitor,GSK2126458,"mTOR inhibitor, PI3K inhibitor",1,0.3414232134819031,0.18367347121238708,0.8934470415115356,GUXXEUUYCAYESJ-UHFFFAOYSA-N,CGBJSGAELGCMKE-UHFFFAOYSA-N
CYC116,Aurora kinase inhibitor,PI-103,"mTOR inhibitor, PI3K inhibitor",1,0.3406980037689209,0.1764705926179886,0.9178300499916077,GPSZYOIFQZPWEJ-UHFFFAOYSA-N,TUVCWJQQGGETHL-UHFFFAOYSA-N
