method,query_idx,retrieved_idx,rank,method_score,prism_response_corr,top_gene_k,shared_top_gene_count,shared_top_gene_jaccard,shared_gene_hypergeom_p,shared_gene_neglog10p,num_category_hits,num_unique_categories,dominant_categories,query_name,retrieved_name,query_moa,retrieved_moa,query_targets,retrieved_targets,known_target_hits_top_gene,known_target_hits_shared_gene,shared_gene_symbols_top20,morgan_tanimoto,query_inchikey,retrieved_inchikey
CGP-Align,1226,681,1,0.9149529337882996,0.488023579120636,50,39,0.639344262295082,3.1406836684539944e-84,83.5029758037999,9,4,Nuclear receptor/xenobiotic:4; Cell cycle/mitosis:2; MAPK/RTK:2; PI3K/AKT/mTOR:1,BIIB021,R547,HSP inhibitor,CDK inhibitor,"CDK1, CDK2, CDK4, CDK7",HSP90AA1,,,CHN2;TRRAP;RUNX3;WRN;AFF3;DDX56;CDC25A;PI4KA;REV3L;FARP2;MAP3K2;RUNX2;CISH;SOCS2;POLQ;PIK3R3;ARHGEF26;MED14;BMPR2;AFF1,0.1170212775468826,QULDDKSCVCJTPV-UHFFFAOYSA-N,JRNJNYBQQYBCLE-UHFFFAOYSA-N
CGP-Align,698,232,1,0.9301108121871948,0.3436382412910461,50,37,0.5873015873015873,1.0417436633733311e-77,76.9822391325509,5,5,Cell cycle/mitosis:1; Lipid/transport state:1; MAPK/RTK:1; Nuclear receptor/xenobiotic:1,TG-101209,foretinib,JAK inhibitor,VEGFR inhibitor,"FLT1, FLT4, KDR, MET","JAK2, JAK3",,,CHN2;RUNX3;SYT11;REV3L;MED14;TAGAP;RUNX2;MDM2;POLQ;RUNX1;SOCS6;SOCS2;SYT12;WRN;PI4KA;SOCS3;KMT2C;STAG1;NSD1;AFF3,0.1008403375744819,JVDOKQYTTYUYDV-UHFFFAOYSA-N,CXQHYVUVSFXTMY-UHFFFAOYSA-N
CGP-Align,436,1401,1,0.9178300499916076,0.3406980037689209,50,37,0.5873015873015873,1.0417436633733311e-77,76.9822391325509,5,3,Cell cycle/mitosis:2; PI3K/AKT/mTOR:2; DNA damage/repair:1,CYC116,PI-103,Aurora kinase inhibitor,"mTOR inhibitor, PI3K inhibitor","AURKA, AURKB, KDR","MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC",MTOR,MTOR,AFF1;REV3L;AFF3;RUNX3;SOCS3;RUNX2;CHN2;MED14;RUNX1;CISH;PI4KA;WRN;CDC25A;POLQ;DDX56;WWTR1;VGLL4;MED15;EP300;ZFP36,0.1764705926179886,GPSZYOIFQZPWEJ-UHFFFAOYSA-N,TUVCWJQQGGETHL-UHFFFAOYSA-N
CGP-Align,1238,387,1,0.913250744342804,0.5678496956825256,50,35,0.5384615384615384,1.712975643552738e-71,70.76624881213422,3,2,Cell cycle/mitosis:2; Epigenetic/chromatin:1,barasertib-HQPA,tozasertib,Aurora kinase inhibitor,"Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor","AURKA, AURKB, AURKC, LCK",AURKB,,,PI4KA;WRN;CHN2;REV3L;SYT11;HS1BP3;SOCS6;SOCS2;MDM2;AFF3;FBXO5;RUNX2;SYT4;RUNX3;NSD1;MED14;POLQ;GRB7;TRIP10;TRRAP,0.1551724076271057,QYZOGCMHVIGURT-UHFFFAOYSA-N,GCIKSSRWRFVXBI-UHFFFAOYSA-N
CGP-Align,816,673,1,0.8766198754310608,0.3525229096412658,50,34,0.5151515151515151,1.7276785145474666e-68,67.76253706761372,6,4,Cell cycle/mitosis:3; DNA damage/repair:1; Epigenetic/chromatin:1; Nuclear receptor/xenobiotic:1,crystal-violet,CUDC-907,other antibiotic,PI3K inhibitor,"HDAC2, PIK3R1",,,,DDX56;CHN2;PRPF8;REV3L;ARHGEF26;TRRAP;NFKBIE;MDM2;TFDP2;MED14;CCNA1;E2F5;SOCS6;CDC25A;FBXO5;BRCA2;MED13;TFDP1;UBTF;POLQ,0.0930232554674148,LGLFFNDHMLKUMI-UHFFFAOYSA-N,JOWXJLIFIIOYMS-UHFFFAOYSA-N
CGP-Align,1236,1323,1,0.8956054449081421,0.3690782785415649,50,33,0.4925373134328358,1.4992566019752976e-65,64.82412403007055,8,5,Nuclear receptor/xenobiotic:3; Cell cycle/mitosis:2; DNA damage/repair:1; MAPK/RTK:1,CCT129202,PHA-848125,Aurora kinase inhibitor,"CDK inhibitor, growth factor receptor inhibitor","AURKA, AURKB, AURKC","CDK2, CDK4, CDK7, NTRK1",,,CHN2;SYT11;REV3L;WRN;TAGAP;POLQ;PIK3R3;DDX56;MED14;MDM2;SYT4;RACGAP1;ARHGEF16;PI4KA;ARHGEF26;CDC25A;FBXO5;BRCA2;RUNX3;SYT12,0.1775700896978378,QYKHWEFPFAGNEV-UHFFFAOYSA-N,RXZMYLDMFYNEIM-UHFFFAOYSA-N
CGP-Align,273,387,1,0.9073762893676758,0.5797893404960632,50,32,0.4705882352941176,1.1262266741723024e-62,61.9483741908037,3,2,Cell cycle/mitosis:2; Epigenetic/chromatin:1,BX-912,tozasertib,pyruvate dehydrogenase kinase inhibitor,"Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor","CDK2, CHEK1, GSK3B, KDR, PDK1, PDPK1","AURKA, AURKB, AURKC, LCK",PDPK1,,WRN;PI4KA;REV3L;SOCS2;CHN2;SYT11;RUNX3;RUNX2;CISH;MED14;AFF3;CDC25A;MDM2;SOCS6;POLQ;TRRAP;DDX56;GRB7;RUNX1;USP24,0.1923076957464218,DMMILYKXNCVKOJ-UHFFFAOYSA-N,GCIKSSRWRFVXBI-UHFFFAOYSA-N
CGP-Align,1047,1707,1,0.9017611742019652,0.3642686009407043,50,32,0.4705882352941176,1.1262266741723024e-62,61.9483741908037,8,5,Cell cycle/mitosis:3; Nuclear receptor/xenobiotic:2; Lipid/transport state:1; MAPK/RTK:1,TAK-632,RAF265,RAF inhibitor,"RAF inhibitor, VEGFR inhibitor",BRAF,BRAF,,,TAGAP;SOCS3;CHN2;DDX56;VGLL4;ARHGEF16;POLQ;RUNX3;REV3L;ARHGEF25;PDPK1;RUNX2;CDCA3;WRN;TRRAP;MED14;CSNK1D;MKNK1;PLK1;AURKB,0.1724137961864471,OJFKUJDRGJSAQB-UHFFFAOYSA-N,YABJJWZLRMPFSI-UHFFFAOYSA-N
CGP-Align,450,187,1,0.8934470415115356,0.3414232134819031,50,32,0.4705882352941176,1.1262266741723024e-62,61.9483741908037,9,5,Cell cycle/mitosis:4; DNA damage/repair:2; Microtubule:1; Nuclear receptor/xenobiotic:1,torin-2,GSK2126458,mTOR inhibitor,"mTOR inhibitor, PI3K inhibitor","MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG",MTOR,MTOR,,CHN2;CDC25A;TAGAP;REV3L;PRPF8;CISH;POLQ;CDC42EP3;CDC25C;CSNK1D;AFF3;DDX56;CTNNB1;E2F4;PIK3R3;WWTR1;SOCS3;RACGAP1;PHACTR1;PPP1R3A,0.183673471212387,GUXXEUUYCAYESJ-UHFFFAOYSA-N,CGBJSGAELGCMKE-UHFFFAOYSA-N
CGP-Align,350,1805,1,0.893276035785675,0.4334345757961273,50,31,0.4492753623188406,7.362056947957032e-60,59.133000827464215,8,5,Nuclear receptor/xenobiotic:3; Cell cycle/mitosis:2; DNA damage/repair:1; Epigenetic/chromatin:1,regorafenib,AZ-628,"FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",RAF inhibitor,"ABL1, BRAF, DDR2, EPHA2, FGFR1, FGFR2, FLT1, FLT4, FRK, KDR, KIT, MAPK11, NTRK1, PDGFRA, PDGFRB, RAF1, RET, TEK","BRAF, RAF1",,,CHN2;MYBBP1A;SLC2A11;EIF2AK1;CDCA3;CDC25A;DDX56;POLQ;PSKH1;CSNK1D;GATA1;MKNK1;DYRK2;REV3L;E2F4;ARHGEF16;RIN1;GLUL;TRRAP;ARHGEF25,0.1899999976158142,FNHKPVJBJVTLMP-UHFFFAOYSA-N,ZGBGPEDJXCYQPH-UHFFFAOYSA-N
CGP-Align,350,1805,1,0.893276035785675,0.4334345757961273,50,31,0.4492753623188406,7.362056947957032e-60,59.133000827464215,8,5,Nuclear receptor/xenobiotic:3; Cell cycle/mitosis:2; DNA damage/repair:1; Epigenetic/chromatin:1,AZ-628,regorafenib,RAF inhibitor,"FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAF inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor","ABL1, BRAF, DDR2, EPHA2, FGFR1, FGFR2, FLT1, FLT4, FRK, KDR, KIT, MAPK11, NTRK1, PDGFRA, PDGFRB, RAF1, RET, TEK","BRAF, RAF1",,,CHN2;MYBBP1A;SLC2A11;EIF2AK1;CDCA3;CDC25A;DDX56;POLQ;PSKH1;CSNK1D;GATA1;MKNK1;DYRK2;REV3L;E2F4;ARHGEF16;RIN1;GLUL;TRRAP;ARHGEF25,0.1899999976158142,ZGBGPEDJXCYQPH-UHFFFAOYSA-N,FNHKPVJBJVTLMP-UHFFFAOYSA-N
CGP-Align,1112,1238,1,0.8798980712890625,0.498100996017456,50,30,0.4285714285714285,4.2070915821666967e-57,56.37601803393101,2,2,Nuclear receptor/xenobiotic:1; Proteostasis:1,dovitinib,barasertib-HQPA,"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",Aurora kinase inhibitor,"CSF1R, EGFR, FGFR1, FGFR2, FGFR3, FLT1, FLT3, FLT4, INSR, KDR, KIT, PDGFRA, PDGFRB",AURKB,,,PI4KA;FBXO5;RUNX2;HS1BP3;CHN2;WRN;RUNX3;SOCS6;AFF3;SYT11;SYT4;TRIP10;RUNX1;REV3L;MDM2;CRKL;MED14;TNFRSF14;CD40;SGK1,0.1228070184588432,PIQCTGMSNWUMAF-UHFFFAOYSA-N,QYZOGCMHVIGURT-UHFFFAOYSA-N
