seed,dataset,first,second,overlap_entities,gene_symbol_overlap
31,compound,train,val,0,
31,compound,train,test,0,
31,compound,val,test,0,
31,gene,train,val,0,0.0
31,gene,train,test,0,0.0
31,gene,val,test,0,0.0
37,compound,train,val,0,
37,compound,train,test,0,
37,compound,val,test,0,
37,gene,train,val,0,0.0
37,gene,train,test,0,0.0
37,gene,val,test,0,0.0
41,compound,train,val,0,
41,compound,train,test,0,
41,compound,val,test,0,
41,gene,train,val,0,0.0
41,gene,train,test,0,0.0
41,gene,val,test,0,0.0
