modality,entity_count,profile_count,section,split,dataset,factor,groups,mean_r2,median_r2,max_r2,p90_r2
Compound,115786.0,649876.0,figureS2a_dataset_composition,,,,,,,,
CRISPR,7974.0,43138.0,figureS2a_dataset_composition,,,,,,,,
ORF,15126.0,76050.0,figureS2a_dataset_composition,,,,,,,,
Compound,92629.0,520096.0,figureS2c_split_composition,train,,,,,,,
Compound,11579.0,64645.0,figureS2c_split_composition,val,,,,,,,
Compound,11578.0,65135.0,figureS2c_split_composition,test,,,,,,,
CRISPR,6403.0,34609.0,figureS2c_split_composition,train,,,,,,,
CRISPR,774.0,4229.0,figureS2c_split_composition,val,,,,,,,
CRISPR,797.0,4300.0,figureS2c_split_composition,test,,,,,,,
ORF,12038.0,60520.0,figureS2c_split_composition,train,,,,,,,
ORF,1515.0,7615.0,figureS2c_split_composition,val,,,,,,,
ORF,1573.0,7915.0,figureS2c_split_composition,test,,,,,,,
,,,figureS2d_post_correction_r2,,Compound,entity,115786.0,0.3067368853752599,0.3071688230536583,0.4711651412603226,0.3443830218642079
,,,figureS2d_post_correction_r2,,Compound,plate,1668.0,0.0011705574763158,0.0010839428004012,0.0027284742855164,0.0017878875582558
,,,figureS2d_post_correction_r2,,Compound,well,1526.0,0.0020840494172376,0.0019912608665319,0.0047450941152797,0.0028641822392184
,,,figureS2d_post_correction_r2,,Gene,entity,23100.0,0.4335269690817769,0.4278821861926725,0.6465555061224083,0.513410795674376
,,,figureS2d_post_correction_r2,,Gene,plate,366.0,0.0007753636394422,0.0007661711886201,0.0013216498691059,0.0008890614904402
,,,figureS2d_post_correction_r2,,Gene,well,380.0,0.0018755764864074,0.0018272985735675,0.0031847025826403,0.0022714689490773
