display,auprc_mean,auroc_mean,auprc_sd,auroc_sd,n_task,auprc_se,auroc_se,section,task,representation,auprc,auroc,source,endpoint,mean_auprc,sd_endpoint_auprc,mean_auroc,sd_endpoint_auroc,method_label,n_independent_runs,tasks,sem_auprc,mean_lift_at_top50,sem_lift_at_top50
AtomPair,0.4327644038175641,0.8347569954162841,0.1773900800014985,0.0456054826821249,5.0,0.0793312554834953,0.0203953918847841,figure5a_sr5_representation_mean_metrics,,,,,,,,,,,,,,,,
Avalon,0.4136903489283836,0.8239494992484244,0.188200393170268,0.0529497183753561,5.0,0.0841657745041812,0.0236798339353532,figure5a_sr5_representation_mean_metrics,,,,,,,,,,,,,,,,
CGP-Align,0.4936724374647628,0.8628412522976481,0.1443556227966487,0.0392639673906635,5.0,0.0645577971015249,0.0175593800303717,figure5a_sr5_representation_mean_metrics,,,,,,,,,,,,,,,,
Morgan,0.3971754499433281,0.8217866912562819,0.1694752735056352,0.0383514652688018,5.0,0.0757916464127938,0.0171512966755526,figure5a_sr5_representation_mean_metrics,,,,,,,,,,,,,,,,
NYAN,0.4305171509861494,0.8388708528465957,0.1898294143567463,0.0515621698680854,5.0,0.0848942949261318,0.023059303378486,figure5a_sr5_representation_mean_metrics,,,,,,,,,,,,,,,,
RDKit2D,0.4658894960243313,0.8604179030698313,0.1917777552870767,0.0484217940002221,5.0,0.0857656194788446,0.0216548845953976,figure5a_sr5_representation_mean_metrics,,,,,,,,,,,,,,,,
AtomPair,,,,,,,,figure5b_sr5_endpoint_auprc_heatmap,Endocrine Disruption_SR-ARE,AtomPair2048,0.508371057288305,0.817709239254523,fixed_extratrees_representation_benchmark,SR-ARE,,,,,,,,,,
AtomPair,,,,,,,,figure5b_sr5_endpoint_auprc_heatmap,Endocrine Disruption_SR-MMP,AtomPair2048,0.699071902767025,0.899940280589558,fixed_extratrees_representation_benchmark,SR-MMP,,,,,,,,,,
AtomPair,,,,,,,,figure5b_sr5_endpoint_auprc_heatmap,Endocrine Disruption_SR-HSE,AtomPair2048,0.253077024513691,0.774407493594157,fixed_extratrees_representation_benchmark,SR-HSE,,,,,,,,,,
AtomPair,,,,,,,,figure5b_sr5_endpoint_auprc_heatmap,Endocrine Disruption_SR-p53,AtomPair2048,0.395163053795444,0.846489842220634,fixed_extratrees_representation_benchmark,SR-p53,,,,,,,,,,
AtomPair,,,,,,,,figure5b_sr5_endpoint_auprc_heatmap,Endocrine Disruption_SR-ATAD5,AtomPair2048,0.308138980723356,0.835238121422549,fixed_extratrees_representation_benchmark,SR-ATAD5,,,,,,,,,,
Avalon,,,,,,,,figure5b_sr5_endpoint_auprc_heatmap,Endocrine Disruption_SR-ARE,Avalon1024,0.497325334168209,0.812314699422324,fixed_extratrees_representation_benchmark,SR-ARE,,,,,,,,,,
Avalon,,,,,,,,figure5b_sr5_endpoint_auprc_heatmap,Endocrine Disruption_SR-MMP,Avalon1024,0.689550353311932,0.892296854050861,fixed_extratrees_representation_benchmark,SR-MMP,,,,,,,,,,
