method,num_queries,topk,corr_threshold,directed_hits,unique_pair_hits,queries_with_hit,query_hit_rate,hit_yield_per_1000_ranked,mean_hit_rank,median_hit_corr,setting,low_tanimoto,section,query_idx,CGP-Align,RDKit2D,cgp_better,same,n_query,num_candidates,random_expected_corr,mean_functional_neighbor_rank_percentile,best_functional_neighbor_rank_percentile,top10_corr,top10_poscorr,ndcg10,retention10,functional_top10_in_top10_rate,oracle_top10_corr,top50_corr,top50_poscorr,ndcg50,retention50,functional_top10_in_top50_rate,oracle_top50_corr,top100_corr,top100_poscorr,ndcg100,retention100,functional_top10_in_top100_rate,oracle_top100_corr,num_pairs,mean_prism_response_corr,median_shared_top50_genes,mean_shared_top50_genes,mean_shared_gene_jaccard,mean_shared_gene_neglog10p,fraction_with_category_hit,mean_unique_categories,fraction_with_known_target_hit,retrieved_idx,rank,method_score,prism_response_corr,top_gene_k,shared_top_gene_count,shared_top_gene_jaccard,shared_gene_hypergeom_p,shared_gene_neglog10p,num_category_hits,num_unique_categories,dominant_categories,query_name,retrieved_name,query_moa,retrieved_moa,query_targets,retrieved_targets,known_target_hits_top_gene,known_target_hits_shared_gene,shared_gene_symbols_top20,morgan_tanimoto,query_inchikey,retrieved_inchikey
CGP-Align,1856.0,10.0,0.25,676.0,541.0,237.0,0.1276939655172413,36.42241379310345,5.171597633136095,0.3325081467628479,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,10.0,0.25,203.0,186.0,134.0,0.0721982758620689,10.9375,5.733990147783251,0.3199360072612762,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,10.0,0.25,267.0,209.0,175.0,0.0942887931034482,14.385775862068964,5.243445692883896,0.3209424912929535,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,10.0,0.25,200.0,133.0,151.0,0.0813577586206896,10.775862068965518,5.32,0.3111701011657715,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,10.0,0.25,249.0,194.0,158.0,0.0851293103448275,13.41594827586207,5.7991967871485945,0.3161308169364929,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,10.0,0.25,250.0,180.0,149.0,0.0802801724137931,13.469827586206897,5.296,0.3257257640361786,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,10.0,0.25,161.0,160.0,129.0,0.0695043103448275,8.674568965517242,5.3602484472049685,0.3133445680141449,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-Align,1856.0,50.0,0.25,2716.0,1991.0,346.0,0.1864224137931034,29.267241379310345,23.48306332842415,0.3233605176210403,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,50.0,0.25,1092.0,862.0,294.0,0.1584051724137931,11.767241379310343,26.424908424908423,0.3077980279922485,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,50.0,0.25,1210.0,881.0,314.0,0.1691810344827586,13.038793103448276,24.551239669421488,0.3083361387252807,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,50.0,0.25,887.0,550.0,296.0,0.1594827586206896,9.558189655172416,24.26042841037204,0.3102371096611023,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,50.0,0.25,1271.0,903.0,334.0,0.1799568965517241,13.696120689655173,25.557828481510622,0.3096563518047333,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
