stage_order,stage_key,stage_label,entity_index,entity_id,pair_kind,modality,display_group,gene_symbol,perturbation_modality,label,pca_scope,pca_panel,pca1,pca2,latent_dim1,latent_dim2
1,random_init,Before pretraining,6,AAAUIKUIDRZZQT-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AAAUIKUIDRZZQT-UHFFFAOYSA-N,stage-shared,Pre-joint latent,-0.76139015,0.42585468,-0.76139015,0.42585468
1,random_init,Before pretraining,206,ABAROUJHXLUZRH-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ABAROUJHXLUZRH-UHFFFAOYSA-N,stage-shared,Pre-joint latent,-0.7662776,0.4369676,-0.7662776,0.4369676
1,random_init,Before pretraining,280,ABKSQIBLHAOHPW-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ABKSQIBLHAOHPW-UHFFFAOYSA-N,stage-shared,Pre-joint latent,-0.7636368,0.444646,-0.7636368,0.444646
1,random_init,Before pretraining,382,ACABFUSMARNGNL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ACABFUSMARNGNL-UHFFFAOYSA-N,stage-shared,Pre-joint latent,-0.7469987,0.4450118,-0.7469987,0.4450118
1,random_init,Before pretraining,422,ACFHYLAWVCUGAR-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ACFHYLAWVCUGAR-UHFFFAOYSA-N,stage-shared,Pre-joint latent,-0.74075544,0.44561362,-0.74075544,0.44561362
1,random_init,Before pretraining,453,ACJPKTXFLCWTPJ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ACJPKTXFLCWTPJ-UHFFFAOYSA-N,stage-shared,Pre-joint latent,-0.75407803,0.40368587,-0.75407803,0.40368587
1,random_init,Before pretraining,483,ACMLKANOGIVEPB-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ACMLKANOGIVEPB-UHFFFAOYSA-N,stage-shared,Pre-joint latent,-0.718802,0.3835811,-0.718802,0.3835811
1,random_init,Before pretraining,771,AEALYBTZQMLFBC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AEALYBTZQMLFBC-UHFFFAOYSA-N,stage-shared,Pre-joint latent,-0.7617511,0.39257842,-0.7617511,0.39257842
1,random_init,Before pretraining,825,AEHSBWNEVKKYRF-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AEHSBWNEVKKYRF-UHFFFAOYSA-N,stage-shared,Pre-joint latent,-0.7400813,0.4258989,-0.7400813,0.4258989
1,random_init,Before pretraining,1081,AFQWWNVKKIMPGC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AFQWWNVKKIMPGC-UHFFFAOYSA-N,stage-shared,Pre-joint latent,-0.72327375,0.3996638,-0.72327375,0.3996638
1,random_init,Before pretraining,1138,AFXUXPBDMXBJSD-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AFXUXPBDMXBJSD-UHFFFAOYSA-N,stage-shared,Pre-joint latent,-0.750416,0.428438,-0.750416,0.428438
1,random_init,Before pretraining,1215,AGJHEDJDGVXQPT-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AGJHEDJDGVXQPT-UHFFFAOYSA-N,stage-shared,Pre-joint latent,-0.75549585,0.40494078,-0.75549585,0.40494078
1,random_init,Before pretraining,1359,AHCYOTLTLQTPSU-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AHCYOTLTLQTPSU-UHFFFAOYSA-N,stage-shared,Pre-joint latent,-0.75879854,0.43003613,-0.75879854,0.43003613
1,random_init,Before pretraining,1405,AHLBNYSZXLDEJQ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AHLBNYSZXLDEJQ-UHFFFAOYSA-N,stage-shared,Pre-joint latent,-0.6175507,0.3321343,-0.6175507,0.3321343
1,random_init,Before pretraining,1567,AIIXGKDDAJZNLF-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AIIXGKDDAJZNLF-UHFFFAOYSA-N,stage-shared,Pre-joint latent,-0.7427309,0.43866903,-0.7427309,0.43866903
