setting,independent_run,direction,short,top10,route
CGP-Align,31,Compound -> profile,C-P,0.8352219727068579,Compound-profile
CGP-Align,31,Profile -> compound,P-C,0.5117270186237869,Compound-profile
CGP-Align,31,Gene -> profile,G-P,0.6895897662108514,Gene-profile
CGP-Align,31,Profile -> gene,P-G,0.3748792270531401,Gene-profile
CGP-Align,37,Compound -> profile,C-P,0.8465019865261704,Compound-profile
CGP-Align,37,Profile -> compound,P-C,0.5491181564876872,Compound-profile
CGP-Align,37,Gene -> profile,G-P,0.6323268206039077,Gene-profile
CGP-Align,37,Profile -> gene,P-G,0.33506024096385545,Gene-profile
CGP-Align,41,Compound -> profile,C-P,0.8483848678528243,Compound-profile
CGP-Align,41,Profile -> compound,P-C,0.5520119751285791,Compound-profile
CGP-Align,41,Gene -> profile,G-P,0.6187031318923688,Gene-profile
CGP-Align,41,Profile -> gene,P-G,0.3284639712795966,Gene-profile
