independent_run,direction,short,branch,candidate_setting,metric,observed,random_ranking,fold_enrichment,positive_count_mean,negative_count,num_queries,num_gallery
31,Compound to profile,C-P,compound-profile,1:100 sampled,Top1,0.3724304715840386,0.05213502941508763,7.143574593941995,5.500259112109172,100.0,11578,63682
31,Compound to profile,C-P,compound-profile,1:100 sampled,Top10,0.8352219727068579,0.42904694055493253,1.946691361151709,5.500259112109172,100.0,11578,63682
31,Profile to compound,P-C,compound-profile,1:100 sampled,Top1,0.1350570019785811,0.00990099009900991,13.640757199836678,1.0,100.0,63682,11578
31,Profile to compound,P-C,compound-profile,1:100 sampled,Top10,0.5117270186237869,0.0990099009900991,5.168442888100243,1.0,100.0,63682,11578
31,Gene to profile,G-P,gene-profile,1:100 sampled,Top1,0.2046316718129686,0.04947190554258096,4.136320798010097,5.2046757829730925,100.0,2267,11799
31,Gene to profile,G-P,gene-profile,1:100 sampled,Top10,0.6895897662108514,0.41205152641724097,1.673552267132186,5.2046757829730925,100.0,2267,11799
31,Profile to gene,P-G,gene-profile,1:100 sampled,Top1,0.0719298245614035,0.00990099009900991,7.264912280701747,1.0,100.0,11799,2267
31,Profile to gene,P-G,gene-profile,1:100 sampled,Top10,0.3748792270531401,0.0990099009900991,3.7862801932367116,1.0,100.0,11799,2267
37,Compound to profile,C-P,compound-profile,1:100 sampled,Top1,0.4091121091725687,0.05423564056379904,7.543233654469659,5.734582829504232,100.0,11578,66395
37,Compound to profile,C-P,compound-profile,1:100 sampled,Top10,0.8465019865261704,0.44213620560838085,1.9145728754816198,5.734582829504232,100.0,11578,66395
37,Profile to compound,P-C,compound-profile,1:100 sampled,Top1,0.1564123804503351,0.00990099009900991,15.79765042548383,1.0,100.0,66395,11578
37,Profile to compound,P-C,compound-profile,1:100 sampled,Top10,0.5491181564876872,0.0990099009900991,5.546093380525637,1.0,100.0,66395,11578
37,Gene to profile,G-P,gene-profile,1:100 sampled,Top1,0.1907193605683836,0.04906680179038936,3.8869327856974674,5.159857904085258,100.0,2252,11620
37,Gene to profile,G-P,gene-profile,1:100 sampled,Top10,0.6323268206039077,0.40942634592090577,1.5444214250102568,5.159857904085258,100.0,2252,11620
37,Profile to gene,P-G,gene-profile,1:100 sampled,Top1,0.0741394148020654,0.00990099009900991,7.488080895008599,1.0,100.0,11620,2252
37,Profile to gene,P-G,gene-profile,1:100 sampled,Top10,0.3350602409638554,0.0990099009900991,3.3841084337349363,1.0,100.0,11620,2252
41,Compound to profile,C-P,compound-profile,1:100 sampled,Top1,0.4118327863188805,0.053261211756961746,7.732321003099409,5.625755743651753,100.0,11578,65135
41,Compound to profile,C-P,compound-profile,1:100 sampled,Top10,0.8483848678528243,0.4360986696749283,1.9453965967958988,5.625755743651753,100.0,11578,65135
