seed,metric,value,random,summary_type
31,Mean Top-1,0.2059329246744905,0.029875460745987178,Mean
31,HMean Top-1,0.14749994112725928,0.016520484017681327,HMean
31,Mean Top-10,0.6025293514983001,0.25245454645869986,Mean
31,HMean Top-10,0.5490830525608781,0.15918635406455767,HMean
37,Mean Top-1,0.20910938524123227,0.029911260225181306,Mean
37,HMean Top-1,0.14702466102416117,0.01652373219844802,HMean
37,Mean Top-10,0.5964642840844769,0.252272489656888,Mean
37,HMean Top-10,0.5360797885868936,0.15916024863286685,HMean
41,Mean Top-1,0.19921887476220462,0.029912253834594976,Mean
41,HMean Top-1,0.14144769975160207,0.016523835103226806,HMean
41,Mean Top-10,0.5948832531902593,0.2522854274824839,Mean
41,HMean Top-10,0.5392318399382572,0.15916241990511015,HMean
