seed,epoch,component,loss
31,1,Total objective,15.838154533931187
31,1,Compound,5.638150024414062
31,1,ORF,5.427880253110613
31,1,CRISPR,4.7721243040902275
31,2,Total objective,15.354171017238071
31,2,Compound,5.343269559315273
31,2,ORF,5.312770611899239
31,2,CRISPR,4.698130784715925
31,3,Total objective,15.077650833129884
31,3,Compound,5.193807847159249
31,3,ORF,5.252500867843628
31,3,CRISPR,4.631342138562884
31,4,Total objective,14.858749485015869
31,4,Compound,5.093722016470773
31,4,ORF,5.198493903023856
31,4,CRISPR,4.566533592769078
31,5,Total objective,14.754562105451312
31,5,Compound,5.0372789859771725
31,5,ORF,5.184209966659546
31,5,CRISPR,4.533073214122227
31,6,Total objective,14.619747747693744
31,6,Compound,4.9653312070029125
31,6,ORF,5.136129011426653
31,6,CRISPR,4.518287583759853
31,7,Total objective,14.533889729636057
31,7,Compound,4.9300672054290775
31,7,ORF,5.095453889029367
31,7,CRISPR,4.508368682861328
31,8,Total objective,14.429180635724748
31,8,Compound,4.876606730052403
31,8,ORF,5.116400098800659
31,8,CRISPR,4.436173902239118
31,9,Total objective,14.385757132938929
31,9,Compound,4.863799047470093
31,9,ORF,5.0748079436165945
31,9,CRISPR,4.447150121416365
31,10,Total objective,14.298291642325266
31,10,Compound,4.836190046582903
31,10,ORF,5.051425545556205
31,10,CRISPR,4.410676063810076
31,11,Total objective,14.216791943141393
31,11,Compound,4.806621183667864
31,11,ORF,5.038072231837681
31,11,CRISPR,4.372098514011928
31,12,Total objective,14.163574409484863
31,12,Compound,4.782722357341221
31,12,ORF,5.0068712847573416
31,12,CRISPR,4.37398065839495
31,13,Total objective,14.11826297215053
31,13,Compound,4.750022629329137
31,13,ORF,4.9995882715497695
31,13,CRISPR,4.3686520235879085
31,14,Total objective,14.054853316715786
31,14,Compound,4.734820624760219
31,14,ORF,4.978438247953142
31,14,CRISPR,4.341594416754586
31,15,Total objective,14.028145040784564
31,15,Compound,4.724415935788836
31,15,ORF,4.978266586576189
31,15,CRISPR,4.325462511607578
31,16,Total objective,13.973512036459786
31,16,Compound,4.706872742516654
31,16,ORF,4.967263889312744
31,16,CRISPR,4.299375472749983
31,17,Total objective,13.884294768742153
31,17,Compound,4.674359144483294
31,17,ORF,4.943757098061698
31,17,CRISPR,4.266178573880877
31,18,Total objective,13.845118113926478
31,18,Compound,4.6580612046378
31,18,ORF,4.937879950659616
31,18,CRISPR,4.2491770029068
31,19,Total objective,13.794398130689348
31,19,Compound,4.635852534430367
31,19,ORF,4.931577546255929
31,19,CRISPR,4.226968128340585
31,20,Total objective,13.78898390361241
31,20,Compound,4.637665455681937
31,20,ORF,4.906112371172224
31,20,CRISPR,4.245206022262574
31,21,Total objective,13.750863197871617
31,21,Compound,4.638369056156703
31,21,ORF,4.894574172156197
31,21,CRISPR,4.217919942310878
31,22,Total objective,13.725189917428153
31,22,Compound,4.604317794527327
31,22,ORF,4.876429578236171
31,22,CRISPR,4.24444260937827
31,23,Total objective,13.658222607203893
31,23,Compound,4.590367998395648
31,23,ORF,4.858025673457554
31,23,CRISPR,4.209828959192548
