independent_run,direction,short,branch,candidate_setting,metric,value,num_queries,num_gallery,num_evaluated
31,compound to profile,C-P,compound-profile,full-gallery,Recall@1,0.008896182414924857,11578,63682,11578
31,compound to profile,C-P,compound-profile,full-gallery,Recall@5,0.029797892554845395,11578,63682,11578
31,compound to profile,C-P,compound-profile,full-gallery,Recall@10,0.04759025738469511,11578,63682,11578
31,compound to profile,C-P,compound-profile,full-gallery,MRR,0.024372649413702104,11578,63682,11578
31,profile to compound,P-C,compound-profile,full-gallery,Recall@1,0.005323325272447474,63682,11578,63682
31,profile to compound,P-C,compound-profile,full-gallery,Recall@5,0.021340410162997394,63682,11578,63682
31,profile to compound,P-C,compound-profile,full-gallery,Recall@10,0.03613265915015232,63682,11578,63682
31,profile to compound,P-C,compound-profile,full-gallery,MRR,0.01769618964963285,63682,11578,63682
31,gene to profile,G-P,gene-profile,full-gallery,Recall@1,0.0070577856197618,2267,11799,2267
31,gene to profile,G-P,gene-profile,full-gallery,Recall@5,0.02867225408028231,2267,11799,2267
31,gene to profile,G-P,gene-profile,full-gallery,Recall@10,0.05116894574327305,2267,11799,2267
31,gene to profile,G-P,gene-profile,full-gallery,MRR,0.02485147470181306,2267,11799,2267
31,profile to gene,P-G,gene-profile,full-gallery,Recall@1,0.00813628273582507,11799,2267,11799
31,profile to gene,P-G,gene-profile,full-gallery,Recall@5,0.02796847190439868,11799,2267,11799
31,profile to gene,P-G,gene-profile,full-gallery,Recall@10,0.04720739045681838,11799,2267,11799
31,profile to gene,P-G,gene-profile,full-gallery,MRR,0.02445736458117095,11799,2267,11799
37,compound to profile,C-P,compound-profile,full-gallery,Recall@1,0.009500777336327518,11578,66395,11578
37,compound to profile,C-P,compound-profile,full-gallery,Recall@5,0.03558472965969943,11578,66395,11578
37,compound to profile,C-P,compound-profile,full-gallery,Recall@10,0.057004664017965105,11578,66395,11578
37,compound to profile,C-P,compound-profile,full-gallery,MRR,0.027282186778180856,11578,66395,11578
37,profile to compound,P-C,compound-profile,full-gallery,Recall@1,0.006461329919421643,66395,11578,66395
37,profile to compound,P-C,compound-profile,full-gallery,Recall@5,0.025498908050304993,66395,11578,66395
37,profile to compound,P-C,compound-profile,full-gallery,Recall@10,0.04182543866254989,66395,11578,66395
37,profile to compound,P-C,compound-profile,full-gallery,MRR,0.02044735322712194,66395,11578,66395
37,gene to profile,G-P,gene-profile,full-gallery,Recall@1,0.009325044404973356,2252,11620,2252
37,gene to profile,G-P,gene-profile,full-gallery,Recall@5,0.03152753108348135,2252,11620,2252
37,gene to profile,G-P,gene-profile,full-gallery,Recall@10,0.05595026642984014,2252,11620,2252
37,gene to profile,G-P,gene-profile,full-gallery,MRR,0.0255771754765337,2252,11620,2252
37,profile to gene,P-G,gene-profile,full-gallery,Recall@1,0.009982788296041309,11620,2252,11620
37,profile to gene,P-G,gene-profile,full-gallery,Recall@5,0.02891566265060241,11620,2252,11620
37,profile to gene,P-G,gene-profile,full-gallery,Recall@10,0.04750430292598967,11620,2252,11620
37,profile to gene,P-G,gene-profile,full-gallery,MRR,0.025588893161827702,11620,2252,11620
41,compound to profile,C-P,compound-profile,full-gallery,Recall@1,0.009068923821039904,11578,65135,11578
41,compound to profile,C-P,compound-profile,full-gallery,Recall@5,0.03161167731905338,11578,65135,11578
41,compound to profile,C-P,compound-profile,full-gallery,Recall@10,0.05061323199170841,11578,65135,11578
41,compound to profile,C-P,compound-profile,full-gallery,MRR,0.024597258888833535,11578,65135,11578
41,profile to compound,P-C,compound-profile,full-gallery,Recall@1,0.0057265678974437705,65135,11578,65135
41,profile to compound,P-C,compound-profile,full-gallery,Recall@5,0.02101788592922392,65135,11578,65135
41,profile to compound,P-C,compound-profile,full-gallery,Recall@10,0.03431334919781991,65135,11578,65135
41,profile to compound,P-C,compound-profile,full-gallery,MRR,0.017526300444369352,65135,11578,65135
41,gene to profile,G-P,gene-profile,full-gallery,Recall@1,0.014556682840758712,2267,11699,2267
41,gene to profile,G-P,gene-profile,full-gallery,Recall@5,0.03617115130127922,2267,11699,2267
41,gene to profile,G-P,gene-profile,full-gallery,Recall@10,0.0564622849580944,2267,11699,2267
41,gene to profile,G-P,gene-profile,full-gallery,MRR,0.03169837036498614,2267,11699,2267
41,profile to gene,P-G,gene-profile,full-gallery,Recall@1,0.007778442601931789,11699,2267,11699
41,profile to gene,P-G,gene-profile,full-gallery,Recall@5,0.026668946063766134,11699,2267,11699
41,profile to gene,P-G,gene-profile,full-gallery,Recall@10,0.04384990170100009,11699,2267,11699
41,profile to gene,P-G,gene-profile,full-gallery,MRR,0.02380664293448469,11699,2267,11699
