independent_run,direction,short,branch,candidate_setting,metric,value,sd_within_repeats,num_queries,num_gallery,ratio,repeats,positive_count_mean
31,compound to profile,C-P,compound-profile,1:100,Top1,0.3989030920711695,0.00342430156618588,11578,63682,100,10,5.500259112109172
31,compound to profile,C-P,compound-profile,1:100,Top10,0.8420193470374848,0.0012241809420419445,11578,63682,100,10,5.500259112109172
31,profile to compound,P-C,compound-profile,1:100,Top1,0.15521497440407023,0.0008224608002066362,63682,11578,100,10,1.0
31,profile to compound,P-C,compound-profile,1:100,Top10,0.5527260450362739,0.0005860847520297395,63682,11578,100,10,1.0
31,gene to profile,G-P,gene-profile,1:100,Top1,0.21393912659902953,0.007576340554617405,2267,11799,100,10,5.2046757829730925
31,gene to profile,G-P,gene-profile,1:100,Top10,0.655138950154389,0.003264225849139841,2267,11799,100,10,5.2046757829730925
31,profile to gene,P-G,gene-profile,1:100,Top1,0.08060005085176711,0.0017089859253250777,11799,2267,100,10,1.0
31,profile to gene,P-G,gene-profile,1:100,Top10,0.35713196033562167,0.0016270799689487507,11799,2267,100,10,1.0
37,compound to profile,C-P,compound-profile,1:100,Top1,0.4032216272240456,0.0021786143125979295,11578,66395,100,10,5.734582829504232
37,compound to profile,C-P,compound-profile,1:100,Top10,0.841112454655381,0.0008733269759726769,11578,66395,100,10,5.734582829504232
37,profile to compound,P-C,compound-profile,1:100,Top1,0.15232020483470143,0.0010199131297355104,66395,11578,100,10,1.0
37,profile to compound,P-C,compound-profile,1:100,Top10,0.5496709089539874,0.0008273124368545514,66395,11578,100,10,1.0
37,gene to profile,G-P,gene-profile,1:100,Top1,0.19960035523978686,0.004454905576574822,2252,11620,100,10,5.159857904085258
37,gene to profile,G-P,gene-profile,1:100,Top10,0.6303285968028419,0.0039078899482578745,2252,11620,100,10,5.159857904085258
37,profile to gene,P-G,gene-profile,1:100,Top1,0.07876075731497417,0.0012540944049533112,11620,2252,100,10,1.0
37,profile to gene,P-G,gene-profile,1:100,Top10,0.34310671256454384,0.001693604557386229,11620,2252,100,10,1.0
41,compound to profile,C-P,compound-profile,1:100,Top1,0.37348419416134043,0.0017758791132929284,11578,65135,100,10,5.625755743651753
41,compound to profile,C-P,compound-profile,1:100,Top10,0.832950423216445,0.0014725888259755193,11578,65135,100,10,5.625755743651753
41,profile to compound,P-C,compound-profile,1:100,Top1,0.13455438704229677,0.0007671081316995648,65135,11578,100,10,1.0
41,profile to compound,P-C,compound-profile,1:100,Top10,0.511956705304368,0.0006426561379408944,65135,11578,100,10,1.0
41,gene to profile,G-P,gene-profile,1:100,Top1,0.19400088222320247,0.004646561652320673,2267,11699,100,10,5.160564622849581
41,gene to profile,G-P,gene-profile,1:100,Top10,0.6533745037494486,0.0036417763459285985,2267,11699,100,10,5.160564622849581
41,profile to gene,P-G,gene-profile,1:100,Top1,0.06835626976664673,0.0011936574148743977,11699,2267,100,10,1.0
41,profile to gene,P-G,gene-profile,1:100,Top10,0.34155910761603553,0.0012920664743662706,11699,2267,100,10,1.0
