independent_run,direction,short,branch,candidate_setting,metric,observed,random_ranking,fold_enrichment,positive_count_mean,negative_count,num_queries,num_gallery
31,Compound to profile,C-P,compound-profile,1:100 sampled,Top1,0.38953187078942825,0.05029791315622412,7.744493684649531,5.500259112109172,100.0,11578,63682
31,Compound to profile,C-P,compound-profile,1:100 sampled,Top10,0.838737260321299,0.402019623530686,2.086309252655868,5.500259112109172,100.0,11578,63682
31,Compound to profile,C-P,compound-profile,full gallery,Recall@1,0.008896182414924857,8.637070305754326e-05,102.99999999997571,5.500259112109172,63676.49974088789,11578,63682
31,Compound to profile,C-P,compound-profile,full gallery,Recall@5,0.029797892554845395,0.00043168115768760506,69.02754967222648,5.500259112109172,63676.49974088789,11578,63682
31,Compound to profile,C-P,compound-profile,full gallery,Recall@10,0.04759025738469511,0.0008629333096377454,55.149403613441734,5.500259112109172,63676.49974088789,11578,63682
31,Profile to compound,P-C,compound-profile,1:100 sampled,Top1,0.14986024308281776,0.00990099009900991,15.13588455136458,1.0,100.0,63682,11578
31,Profile to compound,P-C,compound-profile,1:100 sampled,Top10,0.5388304387425017,0.09900990099009911,5.442187431299262,1.0,100.0,63682,11578
31,Profile to compound,P-C,compound-profile,full gallery,Recall@1,0.005323325272447474,8.637070305750338e-05,61.63346000441077,1.0,11577.0,63682,11578
31,Profile to compound,P-C,compound-profile,full gallery,Recall@5,0.021340410162997394,0.00043185351528762794,49.415853773435224,1.0,11577.0,63682,11578
31,Profile to compound,P-C,compound-profile,full gallery,Recall@10,0.03613265915015232,0.0008637070305751449,41.83439276405043,1.0,11577.0,63682,11578
31,Gene to profile,G-P,gene-profile,1:100 sampled,Top1,0.20780767534186148,0.049401949629704775,4.206467090863744,5.2046757829730925,100.0,2267,11799
31,Gene to profile,G-P,gene-profile,1:100 sampled,Top10,0.6673577415086017,0.40977876032391525,1.6285806052541123,5.2046757829730925,100.0,2267,11799
31,Gene to profile,G-P,gene-profile,full gallery,Recall@1,0.0070577856197618,0.00044111160123506423,16.00000000000175,5.2046757829730925,11793.795324217026,2267,11799
31,Gene to profile,G-P,gene-profile,full gallery,Recall@5,0.02867225408028231,0.0022039251979345032,13.009631228479833,5.2046757829730925,11793.795324217026,2267,11799
31,Gene to profile,G-P,gene-profile,full gallery,Recall@10,0.05116894574327305,0.0044037722597190425,11.619344217981334,5.2046757829730925,11793.795324217026,2267,11799
31,Profile to gene,P-G,gene-profile,1:100 sampled,Top1,0.07653190948385456,0.00990099009900991,7.729722857869304,1.0,100.0,11799,2267
31,Profile to gene,P-G,gene-profile,1:100 sampled,Top10,0.36519196542079835,0.0990099009900991,3.68843885075006,1.0,100.0,11799,2267
31,Profile to gene,P-G,gene-profile,full gallery,Recall@1,0.00813628273582507,0.0004411116012351668,18.44495296211316,1.0,2266.0,11799,2267
