independent_run,endpoint,cgp_align_main,matched_molformer_smiles,delta,endpoint_label
13,c2p_top10_100,0.7098445595854921,0.5996199689065469,0.1102245906789452,"C->P
1:100"
13,p2c_top10_100,0.7096891191709844,0.5990499222663673,0.1106391969046171,"P->C
1:100"
13,c2p_full_r10,0.08791018998272884,0.0104508550699602,0.07745933491276864,"C->P
Full"
13,p2c_full_r10,0.08376511226252159,0.009587148039385,0.07417796422313659,"P->C
Full"
17,c2p_top10_100,0.7184801381692573,0.6141043358092935,0.1043758023599638,"C->P
1:100"
17,p2c_top10_100,0.7174784110535406,0.6158749352219728,0.1016034758315678,"P->C
1:100"
17,c2p_full_r10,0.09386873920552675,0.0120918984280532,0.08177684077747355,"C->P
Full"
17,p2c_full_r10,0.08661485319516407,0.0120055277249956,0.07460932547016846,"P->C
Full"
23,c2p_top10_100,0.7068911917098446,0.6075487994472275,0.0993423922626171,"C->P
1:100"
23,p2c_top10_100,0.7053886010362694,0.6097685265158058,0.09562007452046362,"P->C
1:100"
23,c2p_full_r10,0.08730569948186528,0.0131283468647434,0.07417735261712188,"C->P
Full"
23,p2c_full_r10,0.07944732297063903,0.0117464156158231,0.06770090735481593,"P->C
Full"
