pattern_id,pattern,name,active
1,OpenBioLink,DrugRep,FALSE
1,OpenBioLink,Hetionet,FALSE
1,OpenBioLink,DGIdb,FALSE
1,OpenBioLink,OpenBioLink,TRUE
1,OpenBioLink,PharMeBINet,FALSE
2,DGIdb,DrugRep,FALSE
2,DGIdb,Hetionet,FALSE
2,DGIdb,DGIdb,TRUE
2,DGIdb,OpenBioLink,FALSE
2,DGIdb,PharMeBINet,FALSE
3,PharMeBINet,DrugRep,FALSE
3,PharMeBINet,Hetionet,FALSE
3,PharMeBINet,DGIdb,FALSE
3,PharMeBINet,OpenBioLink,FALSE
3,PharMeBINet,PharMeBINet,TRUE
4,Hetionet&PharMeBINet,DrugRep,FALSE
4,Hetionet&PharMeBINet,Hetionet,TRUE
4,Hetionet&PharMeBINet,DGIdb,FALSE
4,Hetionet&PharMeBINet,OpenBioLink,FALSE
4,Hetionet&PharMeBINet,PharMeBINet,TRUE
5,DrugRep,DrugRep,TRUE
5,DrugRep,Hetionet,FALSE
5,DrugRep,DGIdb,FALSE
5,DrugRep,OpenBioLink,FALSE
5,DrugRep,PharMeBINet,FALSE
6,DrugRep&DGIdb,DrugRep,TRUE
6,DrugRep&DGIdb,Hetionet,FALSE
6,DrugRep&DGIdb,DGIdb,TRUE
6,DrugRep&DGIdb,OpenBioLink,FALSE
6,DrugRep&DGIdb,PharMeBINet,FALSE
7,DrugRep&DGIdb&OpenBioLink,DrugRep,TRUE
7,DrugRep&DGIdb&OpenBioLink,Hetionet,FALSE
7,DrugRep&DGIdb&OpenBioLink,DGIdb,TRUE
7,DrugRep&DGIdb&OpenBioLink,OpenBioLink,TRUE
7,DrugRep&DGIdb&OpenBioLink,PharMeBINet,FALSE
8,DrugRep&Hetionet&DGIdb&OpenBioLink&PharMeBINet,DrugRep,TRUE
8,DrugRep&Hetionet&DGIdb&OpenBioLink&PharMeBINet,Hetionet,TRUE
8,DrugRep&Hetionet&DGIdb&OpenBioLink&PharMeBINet,DGIdb,TRUE
8,DrugRep&Hetionet&DGIdb&OpenBioLink&PharMeBINet,OpenBioLink,TRUE
8,DrugRep&Hetionet&DGIdb&OpenBioLink&PharMeBINet,PharMeBINet,TRUE
9,DrugRep&OpenBioLink,DrugRep,TRUE
9,DrugRep&OpenBioLink,Hetionet,FALSE
9,DrugRep&OpenBioLink,DGIdb,FALSE
9,DrugRep&OpenBioLink,OpenBioLink,TRUE
9,DrugRep&OpenBioLink,PharMeBINet,FALSE
10,DGIdb&OpenBioLink,DrugRep,FALSE
10,DGIdb&OpenBioLink,Hetionet,FALSE
10,DGIdb&OpenBioLink,DGIdb,TRUE
10,DGIdb&OpenBioLink,OpenBioLink,TRUE
10,DGIdb&OpenBioLink,PharMeBINet,FALSE
