source,source_name,pair_id,pair_rank,pair_label,compound_id,compound_name,compound_short_name,compound_name_source,compound_smiles,compound_label,gene_symbol,compound_gene_cosine,rank,n_edges,similarity_percentile,rank_label,pair_label_plot,source_curve,compound_x,compound_y,gene_x,gene_y
dgidb,DGIdb,Top 1,1,Loperamide–OPRM1,RDOIQAHITMMDAJ-UHFFFAOYSA-N,Loperamide,Loperamide,local metadata / PubChem,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,Loperamide,OPRM1,0.4386835214394001,1,11448,99.99563242487773,#1/11448,"Loperamide
OPRM1",-0.16,0.2299039910859347,-0.12433151614441276,0.026139985499631823,0.1383306625642657
dgidb,DGIdb,Top 2,2,Imidapril–CYP11B2,KLZWOWYOHUKJIG-UHFFFAOYSA-N,Imidapril,Imidapril,ChEMBL,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(=O)N(C)CC1C(=O)O,Imidapril,CYP11B2,0.4372712387269724,2,11448,99.98689727463312,#2/11448,"Imidapril
CYP11B2",-0.16,0.5336176587565976,-0.2214954728183218,0.17402871867421615,-0.31913737609474563
dgidb,DGIdb,Top 3,3,Abemaciclib–CCND3,UZWDCWONPYILKI-UHFFFAOYSA-N,Abemaciclib,Abemaciclib,local metadata / PubChem,CCN1CCN(Cc2ccc(N=c3nc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)c(F)c[nH]3)nc2)CC1,Abemaciclib,CCND3,0.41897717946092344,3,11448,99.97816212438852,#3/11448,"Abemaciclib
CCND3",-0.16,0.6421074909100406,-0.03825268801167642,0.47166894891038375,0.3959417211304338
drugrep,DrugRep,Top 1,1,DL-Leu–BCAT2,ROHFNLRQFUQHCH-UHFFFAOYSA-N,DL-leucine,DL-Leu,local metadata / PubChem,CC(C)CC(N)C(=O)O,DL-Leu,BCAT2,0.4482746951601563,1,5572,99.99102656137832,#1/5572,"DL-Leu
BCAT2",-0.08,0.5099984399421402,-0.29614923820418915,0.40926424604904377,-0.3129204607552297
drugrep,DrugRep,Top 2,2,Loperamide–OPRM1,RDOIQAHITMMDAJ-UHFFFAOYSA-N,Loperamide,Loperamide,local metadata / PubChem,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,Loperamide,OPRM1,0.4386835214394001,2,5572,99.97307968413496,#2/5572,"Loperamide
OPRM1",-0.08,0.2299039910859347,-0.12433151614441276,0.026139985499631823,0.1383306625642657
drugrep,DrugRep,Top 3,3,Arcyriaflavin A–CCND1,KAJXOWFGKYKMMZ-UHFFFAOYSA-N,Arcyriaflavin A,Arcyriaflavin A,local metadata / PubChem,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,Arcyriaflavin A,CCND1,0.4210128406876603,3,5572,99.9551328068916,#3/5572,"Arcyriaflavin A
CCND1",-0.08,0.37774694859403546,0.15467123942533817,0.33935144108754267,0.36972295093528673
hetionet,Hetionet,Top 1,1,Loperamide–ELOVL6,RDOIQAHITMMDAJ-UHFFFAOYSA-N,Loperamide,Loperamide,local metadata / PubChem,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,Loperamide,ELOVL6,0.4966329249367989,1,8511,99.99412524967688,#1/8511,"Loperamide
ELOVL6",0.06,0.2299039910859347,-0.12433151614441276,-0.017982559270730232,-0.09412881230797787
hetionet,Hetionet,Top 2,2,Ceforanide–ECH1,SLAYUXIURFNXPG-UHFFFAOYSA-N,Ceforanide,Ceforanide,Cell Painting metadata,NCc1ccccc1CC(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CSC12,Ceforanide,ECH1,0.47297973236215474,2,8511,99.98237574903068,#2/8511,"Ceforanide
ECH1",0.06,0.5995688868489987,-0.24882082334949013,0.16405569250191693,-0.38077744245755496
hetionet,Hetionet,Top 3,3,Ile–BCAT2,AGPKZVBTJJNPAG-UHFFFAOYSA-N,Isoleucine,Ile,local metadata / PubChem,CCC(C)C(N)C(=O)O,Ile,BCAT2,0.4553106748942758,3,8511,99.97062624838443,#3/8511,"Ile
BCAT2",0.06,0.5617081034614582,-0.3415648693694418,0.40926424604904377,-0.3129204607552297
openbiolink,OpenBioLink,Top 1,1,CGP 57380–CCND1,UQPMANVRZYYQMD-UHFFFAOYSA-N,CGP 57380,CGP 57380,local metadata / PubChem,N=c1[nH]cnc2[nH][nH]c(=Nc3ccc(F)cc3)c12,CGP 57380,CCND1,0.5024539368669967,1,14788,99.99661888017312,#1/14788,"CGP 57380
CCND1",0,0.4920606304584248,0.18539005901483235,0.33935144108754267,0.36972295093528673
openbiolink,OpenBioLink,Top 2,2,Ac-IDA–PDF,QZTKDVCDBIDYMD-UHFFFAOYSA-N,N-(2-Acetamido)iminodiacetic acid,Ac-IDA,PubChem,NC(=O)CN(CC(=O)O)CC(=O)O,Ac-IDA,PDF,0.4971620228579042,2,14788,99.98985664051932,#2/14788,"Ac-IDA
PDF",0,0.46610887384802085,-0.3348105554339769,0.10170605218733092,-0.4636794609433961
openbiolink,OpenBioLink,Top 3,3,Beta-Ala–ALDH7A1,UCMIRNVEIXFBKS-UHFFFAOYSA-N,Beta-Alanine,Beta-Ala,local metadata / PubChem,NCCC(=O)O,Beta-Ala,ALDH7A1,0.4561013844488333,4,14788,99.9763321612118,#4/14788,"Beta-Ala
ALDH7A1",0,0.43499528831604917,-0.3336782862110263,0.06536743608366648,-0.4332433057817904
pharmebinet,PharMeBINet,Top 1,1,Loperamide–ELOVL6,RDOIQAHITMMDAJ-UHFFFAOYSA-N,Loperamide,Loperamide,local metadata / PubChem,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,Loperamide,ELOVL6,0.4966329249367989,1,15829,99.99684124076065,#1/15829,"Loperamide
ELOVL6",0.14,0.2299039910859347,-0.12433151614441276,-0.017982559270730232,-0.09412881230797787
pharmebinet,PharMeBINet,Top 2,2,Ceforanide–ECH1,SLAYUXIURFNXPG-UHFFFAOYSA-N,Ceforanide,Ceforanide,Cell Painting metadata,NCc1ccccc1CC(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CSC12,Ceforanide,ECH1,0.47297973236215474,2,15829,99.99052372228188,#2/15829,"Ceforanide
ECH1",0.14,0.5995688868489987,-0.24882082334949013,0.16405569250191693,-0.38077744245755496
pharmebinet,PharMeBINet,Top 3,3,Ile–BCAT2,AGPKZVBTJJNPAG-UHFFFAOYSA-N,Isoleucine,Ile,local metadata / PubChem,CCC(C)C(N)C(=O)O,Ile,BCAT2,0.4553106748942758,3,15829,99.98420620380315,#3/15829,"Ile
BCAT2",0.14,0.5617081034614582,-0.3415648693694418,0.40926424604904377,-0.3129204607552297
