task,display,representation,auprc,auroc,source,endpoint
Endocrine Disruption_SR-ARE,AtomPair,AtomPair2048,0.508371057288305,0.817709239254523,fixed_extratrees_representation_benchmark,SR-ARE
Endocrine Disruption_SR-MMP,AtomPair,AtomPair2048,0.699071902767025,0.899940280589558,fixed_extratrees_representation_benchmark,SR-MMP
Endocrine Disruption_SR-HSE,AtomPair,AtomPair2048,0.253077024513691,0.774407493594157,fixed_extratrees_representation_benchmark,SR-HSE
Endocrine Disruption_SR-p53,AtomPair,AtomPair2048,0.395163053795444,0.846489842220634,fixed_extratrees_representation_benchmark,SR-p53
Endocrine Disruption_SR-ATAD5,AtomPair,AtomPair2048,0.308138980723356,0.835238121422549,fixed_extratrees_representation_benchmark,SR-ATAD5
Endocrine Disruption_SR-ARE,Avalon,Avalon1024,0.497325334168209,0.812314699422324,fixed_extratrees_representation_benchmark,SR-ARE
Endocrine Disruption_SR-MMP,Avalon,Avalon1024,0.689550353311932,0.892296854050861,fixed_extratrees_representation_benchmark,SR-MMP
Endocrine Disruption_SR-HSE,Avalon,Avalon1024,0.23119024708423,0.751254225014102,fixed_extratrees_representation_benchmark,SR-HSE
Endocrine Disruption_SR-p53,Avalon,Avalon1024,0.394525858459571,0.854252679457453,fixed_extratrees_representation_benchmark,SR-p53
Endocrine Disruption_SR-ATAD5,Avalon,Avalon1024,0.255859951617976,0.809629038297382,fixed_extratrees_representation_benchmark,SR-ATAD5
Endocrine Disruption_SR-ARE,CGP-Align,CGP-Align,0.583805662668515,0.847526364425307,fixed_extratrees_representation_benchmark,SR-ARE
Endocrine Disruption_SR-MMP,CGP-Align,CGP-Align,0.729339988017439,0.913380105959434,fixed_extratrees_representation_benchmark,SR-MMP
Endocrine Disruption_SR-HSE,CGP-Align,CGP-Align,0.364337701538524,0.806881961298189,fixed_extratrees_representation_benchmark,SR-HSE
Endocrine Disruption_SR-p53,CGP-Align,CGP-Align,0.486593543945349,0.885323320504148,fixed_extratrees_representation_benchmark,SR-p53
Endocrine Disruption_SR-ATAD5,CGP-Align,CGP-Align,0.355793752861119,0.882951924033663,fixed_extratrees_representation_benchmark,SR-ATAD5
Endocrine Disruption_SR-ARE,Morgan,Morgan2048,0.477437641906803,0.8013888456909,fixed_extratrees_representation_benchmark,SR-ARE
Endocrine Disruption_SR-MMP,Morgan,Morgan2048,0.649228742102448,0.875006808000911,fixed_extratrees_representation_benchmark,SR-MMP
Endocrine Disruption_SR-HSE,Morgan,Morgan2048,0.242045803493487,0.772995493003918,fixed_extratrees_representation_benchmark,SR-HSE
Endocrine Disruption_SR-p53,Morgan,Morgan2048,0.359336713341802,0.837733638080126,fixed_extratrees_representation_benchmark,SR-p53
Endocrine Disruption_SR-ATAD5,Morgan,Morgan2048,0.257828348872101,0.821808671505554,fixed_extratrees_representation_benchmark,SR-ATAD5
Endocrine Disruption_SR-ARE,RDKit2D,RDKit2D,0.540014085542776,0.831950388289908,fixed_extratrees_representation_benchmark,SR-ARE
Endocrine Disruption_SR-MMP,RDKit2D,RDKit2D,0.752423958829405,0.926612649464346,fixed_extratrees_representation_benchmark,SR-MMP
Endocrine Disruption_SR-HSE,RDKit2D,RDKit2D,0.3034445006469,0.802867862998745,fixed_extratrees_representation_benchmark,SR-HSE
Endocrine Disruption_SR-p53,RDKit2D,RDKit2D,0.448897002917574,0.888742043502748,fixed_extratrees_representation_benchmark,SR-p53
Endocrine Disruption_SR-ATAD5,RDKit2D,RDKit2D,0.284667932185001,0.85191657109341,fixed_extratrees_representation_benchmark,SR-ATAD5
Endocrine Disruption_SR-ARE,NYAN,NYAN_latent_official_cache_et160,0.50914073060148,0.819771285706963,official_nyan_checkpoint_cache_et160,SR-ARE
Endocrine Disruption_SR-ATAD5,NYAN,NYAN_latent_official_cache_et160,0.27216771233506,0.829528143050908,official_nyan_checkpoint_cache_et160,SR-ATAD5
Endocrine Disruption_SR-HSE,NYAN,NYAN_latent_official_cache_et160,0.262665286423419,0.773079309022811,official_nyan_checkpoint_cache_et160,SR-HSE
Endocrine Disruption_SR-MMP,NYAN,NYAN_latent_official_cache_et160,0.718718605337132,0.912577385530977,official_nyan_checkpoint_cache_et160,SR-MMP
Endocrine Disruption_SR-p53,NYAN,NYAN_latent_official_cache_et160,0.389893420233656,0.859398140921319,official_nyan_checkpoint_cache_et160,SR-p53
