task,display,representation,n,positive_test,scaffolds_test,auprc_mean,auprc_sd,auroc_mean,auroc_sd,endpoint
Endocrine Disruption_SR-ARE,AtomPair,AtomPair2048,5537,870,2907,0.47189343878225465,0.08624111548170478,0.7870182423290732,0.04481349533849996,SR-ARE
Endocrine Disruption_SR-ARE,Avalon,Avalon1024,5537,870,2907,0.4495063178321887,0.10143085186950954,0.7851608164702241,0.03437353684339563,SR-ARE
Endocrine Disruption_SR-ARE,CGP-Align,CGP-Align,5537,870,2907,0.5851110387737746,0.13474572639459254,0.8372988566905539,0.03010676632239272,SR-ARE
Endocrine Disruption_SR-ARE,Morgan,Morgan2048,5537,870,2907,0.4512217425798634,0.1317355120173114,0.7699773870789551,0.04330356948176768,SR-ARE
Endocrine Disruption_SR-ARE,NYAN,NYAN_latent,5537,870,2907,0.4690909029730334,0.09662817037775576,0.7938257963117012,0.02671181731258846,SR-ARE
Endocrine Disruption_SR-ARE,RDKit2D,RDKit2D,5537,870,2907,0.4966237913072216,0.09382482594862264,0.8127637457300075,0.04183399024093743,SR-ARE
Endocrine Disruption_SR-ATAD5,AtomPair,AtomPair2048,6737,242,3539,0.20738375587727348,0.05547743587705564,0.7783161459020645,0.07419546742702718,SR-ATAD5
Endocrine Disruption_SR-ATAD5,Avalon,Avalon1024,6737,242,3539,0.18939877065038752,0.07433378551451265,0.7356393050716669,0.13505009328047654,SR-ATAD5
Endocrine Disruption_SR-ATAD5,CGP-Align,CGP-Align,6737,242,3539,0.25317665117860755,0.08955453607644442,0.8000779461176885,0.1413944237829765,SR-ATAD5
Endocrine Disruption_SR-ATAD5,Morgan,Morgan2048,6737,242,3539,0.18919955455677423,0.02611217180854819,0.7950262357859744,0.03027197359790316,SR-ATAD5
Endocrine Disruption_SR-ATAD5,NYAN,NYAN_latent,6737,242,3539,0.16911471520534344,0.03537196464097399,0.7780838759047854,0.04863132505669266,SR-ATAD5
Endocrine Disruption_SR-ATAD5,RDKit2D,RDKit2D,6737,242,3539,0.2207427799269585,0.03305890946576174,0.8429923463832003,0.02623522677864658,SR-ATAD5
Endocrine Disruption_SR-HSE,AtomPair,AtomPair2048,6145,334,3221,0.2963913560479564,0.11311947155170816,0.7346760801509605,0.04970360579238091,SR-HSE
Endocrine Disruption_SR-HSE,Avalon,Avalon1024,6145,334,3221,0.28651376198703177,0.1697531924401439,0.7459892879718384,0.03635516110063209,SR-HSE
Endocrine Disruption_SR-HSE,CGP-Align,CGP-Align,6145,334,3221,0.4335928856039465,0.18393999733032293,0.8356952587020384,0.06242036208763882,SR-HSE
Endocrine Disruption_SR-HSE,Morgan,Morgan2048,6145,334,3221,0.3184228249696852,0.2016462295664196,0.7661142080855867,0.04737169102273242,SR-HSE
Endocrine Disruption_SR-HSE,NYAN,NYAN_latent,6145,334,3221,0.36709381763135546,0.22813700306373147,0.7590800243785673,0.03925370137344475,SR-HSE
Endocrine Disruption_SR-HSE,RDKit2D,RDKit2D,6145,334,3221,0.3810073307670188,0.19985370074620085,0.7949188043361392,0.06125717842190559,SR-HSE
Endocrine Disruption_SR-MMP,AtomPair,AtomPair2048,5528,875,2955,0.6080690396458935,0.11047012225717712,0.8685959228303259,0.03789793334497302,SR-MMP
Endocrine Disruption_SR-MMP,Avalon,Avalon1024,5528,875,2955,0.5599581808383498,0.09503193751605378,0.8461802437903886,0.03514597486965415,SR-MMP
Endocrine Disruption_SR-MMP,CGP-Align,CGP-Align,5528,875,2955,0.6792982906136659,0.06635778689002068,0.9000580597089058,0.00981868300673948,SR-MMP
Endocrine Disruption_SR-MMP,Morgan,Morgan2048,5528,875,2955,0.5232971540230269,0.10884532029149172,0.8357767105686364,0.03702936321925991,SR-MMP
Endocrine Disruption_SR-MMP,NYAN,NYAN_latent,5528,875,2955,0.5948194833505822,0.10389368200475148,0.8745082217773864,0.03385452147611513,SR-MMP
Endocrine Disruption_SR-MMP,RDKit2D,RDKit2D,5528,875,2955,0.6854106075784864,0.06478282525417309,0.9034162531589408,0.01869217420939135,SR-MMP
Endocrine Disruption_SR-p53,AtomPair,AtomPair2048,6446,393,3418,0.30874020201117147,0.10765942122327174,0.7814567485983052,0.12699208536964687,SR-p53
Endocrine Disruption_SR-p53,Avalon,Avalon1024,6446,393,3418,0.3089017684353791,0.10364216167230517,0.7964380720145229,0.06809412376332896,SR-p53
Endocrine Disruption_SR-p53,CGP-Align,CGP-Align,6446,393,3418,0.4580028028573677,0.0838558262968776,0.873991549500241,0.03146560995766131,SR-p53
Endocrine Disruption_SR-p53,Morgan,Morgan2048,6446,393,3418,0.29441412446128,0.09279298209092147,0.7899393989262772,0.04606732669487839,SR-p53
Endocrine Disruption_SR-p53,NYAN,NYAN_latent,6446,393,3418,0.3028877394119537,0.11678104873623311,0.7999981456065324,0.09865244785963012,SR-p53
Endocrine Disruption_SR-p53,RDKit2D,RDKit2D,6446,393,3418,0.3703051115597268,0.13405745924116,0.8341685487600762,0.07316446161595001,SR-p53
