RDKit2D,CGP-Align,cgp_better,same,n_query
0,0.04,TRUE,FALSE,1
0,0.06,TRUE,FALSE,1
0,0.16,TRUE,FALSE,1
0,0.18,TRUE,FALSE,1
0,0.22,TRUE,FALSE,2
0,0.26,TRUE,FALSE,1
0.02,0,FALSE,FALSE,2
0.02,0.02,FALSE,TRUE,2
0.02,0.08,TRUE,FALSE,2
0.02,0.12,TRUE,FALSE,1
0.02,0.3,TRUE,FALSE,2
0.04,0,FALSE,FALSE,1
0.04,0.02,FALSE,FALSE,2
0.04,0.04,FALSE,TRUE,5
0.04,0.06,TRUE,FALSE,2
0.04,0.08,TRUE,FALSE,1
0.04,0.14,TRUE,FALSE,1
0.04,0.16,TRUE,FALSE,2
0.04,0.18,TRUE,FALSE,2
0.04,0.28,TRUE,FALSE,1
0.04,0.32,TRUE,FALSE,2
0.04,0.4,TRUE,FALSE,1
0.06,0,FALSE,FALSE,1
0.06,0.02,FALSE,FALSE,1
0.06,0.04,FALSE,FALSE,2
0.06,0.06,FALSE,TRUE,4
0.06,0.08,TRUE,FALSE,1
0.06,0.1,TRUE,FALSE,2
0.06,0.12,TRUE,FALSE,1
0.06,0.14,TRUE,FALSE,1
0.06,0.16,TRUE,FALSE,1
0.06,0.18,TRUE,FALSE,2
0.06,0.22,TRUE,FALSE,1
0.06,0.28,TRUE,FALSE,1
0.06,0.32,TRUE,FALSE,1
0.06,0.4,TRUE,FALSE,1
0.08,0,FALSE,FALSE,1
0.08,0.02,FALSE,FALSE,1
0.08,0.04,FALSE,FALSE,1
0.08,0.32,TRUE,FALSE,1
0.1,0.02,FALSE,FALSE,1
0.1,0.04,FALSE,FALSE,1
0.1,0.1,FALSE,TRUE,2
0.1,0.18,TRUE,FALSE,1
0.1,0.2,TRUE,FALSE,1
0.1,0.32,TRUE,FALSE,1
0.1,0.36,TRUE,FALSE,1
0.1,0.42,TRUE,FALSE,1
0.12,0.02,FALSE,FALSE,1
0.12,0.16,TRUE,FALSE,2
0.12,0.18,TRUE,FALSE,1
0.12,0.34,TRUE,FALSE,1
0.12,0.54,TRUE,FALSE,1
0.14,0.1,FALSE,FALSE,1
0.14,0.14,FALSE,TRUE,1
0.14,0.26,TRUE,FALSE,1
0.14,0.32,TRUE,FALSE,1
0.16,0.12,FALSE,FALSE,1
0.16,0.14,FALSE,FALSE,1
0.16,0.24,TRUE,FALSE,1
0.16,0.26,TRUE,FALSE,1
0.16,0.32,TRUE,FALSE,2
0.16,0.38,TRUE,FALSE,4
0.16,0.46,TRUE,FALSE,2
0.16,0.58,TRUE,FALSE,1
0.18,0.1,FALSE,FALSE,1
0.18,0.22,TRUE,FALSE,1
0.18,0.24,TRUE,FALSE,1
0.18,0.3,TRUE,FALSE,2
0.18,0.36,TRUE,FALSE,1
0.18,0.5,TRUE,FALSE,1
0.2,0.04,FALSE,FALSE,1
0.2,0.1,FALSE,FALSE,1
0.2,0.16,FALSE,FALSE,1
0.2,0.2,FALSE,TRUE,1
0.2,0.28,TRUE,FALSE,3
0.2,0.3,TRUE,FALSE,1
0.2,0.32,TRUE,FALSE,1
0.2,0.34,TRUE,FALSE,1
0.2,0.42,TRUE,FALSE,1
0.2,0.44,TRUE,FALSE,3
0.2,0.46,TRUE,FALSE,2
0.2,0.5,TRUE,FALSE,2
0.22,0.12,FALSE,FALSE,1
0.22,0.14,FALSE,FALSE,1
0.22,0.18,FALSE,FALSE,2
0.22,0.2,FALSE,FALSE,1
0.22,0.36,TRUE,FALSE,3
0.22,0.38,TRUE,FALSE,2
0.22,0.4,TRUE,FALSE,1
0.22,0.42,TRUE,FALSE,4
0.22,0.44,TRUE,FALSE,2
0.24,0.02,FALSE,FALSE,1
0.24,0.14,FALSE,FALSE,1
0.24,0.16,FALSE,FALSE,2
0.24,0.28,TRUE,FALSE,1
0.24,0.38,TRUE,FALSE,1
0.24,0.4,TRUE,FALSE,1
0.24,0.42,TRUE,FALSE,2
0.24,0.46,TRUE,FALSE,1
0.24,0.52,TRUE,FALSE,1
0.24,0.58,TRUE,FALSE,1
0.26,0.12,FALSE,FALSE,1
0.26,0.26,FALSE,TRUE,1
0.26,0.32,TRUE,FALSE,1
0.26,0.34,TRUE,FALSE,1
0.26,0.36,TRUE,FALSE,1
0.26,0.38,TRUE,FALSE,2
0.26,0.4,TRUE,FALSE,3
0.26,0.42,TRUE,FALSE,2
0.26,0.44,TRUE,FALSE,2
0.26,0.48,TRUE,FALSE,1
0.28,0.08,FALSE,FALSE,1
0.28,0.1,FALSE,FALSE,1
0.28,0.14,FALSE,FALSE,1
0.28,0.34,TRUE,FALSE,1
0.28,0.42,TRUE,FALSE,3
0.28,0.44,TRUE,FALSE,2
0.28,0.52,TRUE,FALSE,1
0.3,0.4,TRUE,FALSE,1
0.3,0.42,TRUE,FALSE,1
0.3,0.46,TRUE,FALSE,3
0.3,0.48,TRUE,FALSE,1
0.32,0.38,TRUE,FALSE,1
0.34,0.14,FALSE,FALSE,1
0.34,0.34,FALSE,TRUE,1
0.34,0.36,TRUE,FALSE,1
0.34,0.38,TRUE,FALSE,1
0.34,0.4,TRUE,FALSE,1
0.34,0.42,TRUE,FALSE,1
0.36,0.58,TRUE,FALSE,1
0.38,0.54,TRUE,FALSE,1
0.4,0.48,TRUE,FALSE,1
