method,mechanism_category,num_pairs_with_category,total_shared_gene_category_hits,num_method_pairs,pair_fraction
AtomPair,Cell cycle/mitosis,132,1969,635,0.2078740157480315
AtomPair,Nuclear receptor/xenobiotic,108,364,635,0.1700787401574803
AtomPair,Lipid/transport state,62,711,635,0.09763779527559055
AtomPair,MAPK/RTK,28,54,635,0.04409448818897638
AtomPair,Mitochondria,24,52,635,0.03779527559055118
AtomPair,Proteostasis,17,23,635,0.026771653543307086
AtomPair,PI3K/AKT/mTOR,14,24,635,0.02204724409448819
AtomPair,DNA damage/repair,10,11,635,0.015748031496062992
AtomPair,Microtubule,9,12,635,0.014173228346456693
AtomPair,Apoptosis,9,10,635,0.014173228346456693
AtomPair,Epigenetic/chromatin,4,4,635,0.006299212598425197
Avalon,Cell cycle/mitosis,115,1562,557,0.20646319569120286
Avalon,Nuclear receptor/xenobiotic,95,245,557,0.17055655296229802
Avalon,Lipid/transport state,64,419,557,0.11490125673249552
Avalon,Mitochondria,34,63,557,0.06104129263913824
Avalon,MAPK/RTK,18,33,557,0.03231597845601436
Avalon,Proteostasis,17,23,557,0.03052064631956912
Avalon,DNA damage/repair,9,9,557,0.01615798922800718
Avalon,PI3K/AKT/mTOR,8,8,557,0.01436265709156194
Avalon,Apoptosis,6,9,557,0.010771992818671455
Avalon,Microtubule,5,5,557,0.008976660682226212
Avalon,JAK/STAT,1,3,557,0.0017953321364452424
Avalon,Epigenetic/chromatin,1,2,557,0.0017953321364452424
CGP-Align,Cell cycle/mitosis,160,4373,1032,0.15503875968992248
CGP-Align,Nuclear receptor/xenobiotic,160,997,1032,0.15503875968992248
CGP-Align,Lipid/transport state,113,1558,1032,0.10949612403100775
CGP-Align,Mitochondria,53,170,1032,0.05135658914728682
CGP-Align,Proteostasis,46,112,1032,0.044573643410852716
CGP-Align,MAPK/RTK,33,91,1032,0.03197674418604651
CGP-Align,PI3K/AKT/mTOR,24,43,1032,0.023255813953488372
CGP-Align,DNA damage/repair,22,40,1032,0.02131782945736434
CGP-Align,Microtubule,18,57,1032,0.01744186046511628
CGP-Align,Apoptosis,18,32,1032,0.01744186046511628
CGP-Align,Epigenetic/chromatin,14,37,1032,0.013565891472868217
CGP-Align,JAK/STAT,1,1,1032,0.0009689922480620155
Morgan,Cell cycle/mitosis,122,1382,454,0.2687224669603524
Morgan,Nuclear receptor/xenobiotic,101,289,454,0.22246696035242292
Morgan,Lipid/transport state,58,335,454,0.1277533039647577
Morgan,Mitochondria,32,52,454,0.07048458149779736
Morgan,MAPK/RTK,21,32,454,0.046255506607929514
Morgan,Proteostasis,16,25,454,0.03524229074889868
Morgan,Apoptosis,10,14,454,0.022026431718061675
Morgan,PI3K/AKT/mTOR,7,10,454,0.015418502202643172
Morgan,DNA damage/repair,6,8,454,0.013215859030837005
Morgan,Microtubule,6,8,454,0.013215859030837005
Morgan,Epigenetic/chromatin,3,6,454,0.006607929515418502
Morgan,JAK/STAT,1,3,454,0.0022026431718061676
NYAN,Cell cycle/mitosis,137,1768,621,0.22061191626409019
NYAN,Nuclear receptor/xenobiotic,107,344,621,0.1723027375201288
NYAN,Lipid/transport state,73,694,621,0.11755233494363929
NYAN,Mitochondria,24,48,621,0.03864734299516908
NYAN,MAPK/RTK,23,39,621,0.037037037037037035
NYAN,Proteostasis,19,25,621,0.030595813204508857
NYAN,PI3K/AKT/mTOR,15,21,621,0.024154589371980676
NYAN,DNA damage/repair,10,14,621,0.01610305958132045
NYAN,Apoptosis,8,9,621,0.01288244766505636
NYAN,Microtubule,5,8,621,0.008051529790660225
NYAN,Epigenetic/chromatin,2,2,621,0.00322061191626409
RDKit2D,Cell cycle/mitosis,133,1944,632,0.21044303797468356
RDKit2D,Nuclear receptor/xenobiotic,107,397,632,0.16930379746835442
RDKit2D,Lipid/transport state,73,734,632,0.11550632911392406
RDKit2D,Mitochondria,33,84,632,0.05221518987341772
RDKit2D,MAPK/RTK,22,48,632,0.03481012658227848
RDKit2D,Proteostasis,20,36,632,0.03164556962025317
RDKit2D,PI3K/AKT/mTOR,16,26,632,0.02531645569620253
RDKit2D,DNA damage/repair,11,16,632,0.01740506329113924
RDKit2D,Apoptosis,10,13,632,0.015822784810126583
RDKit2D,Microtubule,6,8,632,0.00949367088607595
RDKit2D,Epigenetic/chromatin,2,3,632,0.0031645569620253164
RDKit2D,JAK/STAT,1,2,632,0.0015822784810126582
Random,Cell cycle/mitosis,81,676,344,0.23546511627906977
Random,Nuclear receptor/xenobiotic,60,144,344,0.1744186046511628
Random,Lipid/transport state,31,157,344,0.09011627906976744
Random,Mitochondria,15,25,344,0.0436046511627907
Random,Proteostasis,10,14,344,0.029069767441860465
Random,Microtubule,6,7,344,0.01744186046511628
Random,DNA damage/repair,4,4,344,0.011627906976744186
Random,MAPK/RTK,4,4,344,0.011627906976744186
Random,Apoptosis,3,3,344,0.00872093023255814
Random,Epigenetic/chromatin,2,3,344,0.005813953488372093
Random,PI3K/AKT/mTOR,2,2,344,0.005813953488372093
