query_name,query_moa,retrieved_name,retrieved_moa,rank,prism_response_corr,morgan_tanimoto,method_score,query_inchikey,retrieved_inchikey,shared_top_gene_count,dominant_categories,shared_gene_symbols_top20,pair,has_mechanism,mechanism,mechanism_group
evodiamine,"ATPase inhibitor, TRPV agonist",fenbendazole,tubulin polymerization inhibitor,1,0.6526995897293091,0.15714286267757416,0.6014644503593445,TXDUTHBFYKGSAH-UHFFFAOYSA-N,HDDSHPAODJUKPD-UHFFFAOYSA-N,NA,NA,NA,evodiamine -> fenbendazole,FALSE,NA,Other annotated program
MK-8745,Aurora kinase inhibitor,LY2784544,JAK inhibitor,1,0.5826923251152039,0.19607843458652496,0.7062130570411682,YCRFPWKUUNKNDN-UHFFFAOYSA-N,SQSZANZGUXWJEA-UHFFFAOYSA-N,NA,NA,NA,MK-8745 -> LY2784544,FALSE,NA,Other annotated program
TG-101209,JAK inhibitor,GSK1070916,Aurora kinase inhibitor,1,0.5740714073181152,0.1160714253783226,0.930324375629425,JVDOKQYTTYUYDV-UHFFFAOYSA-N,QTBWCSQGBMPECM-UHFFFAOYSA-N,34,Lipid/transport state:10; Cell cycle/mitosis:1; Nuclear receptor/xenobiotic:1; PI3K/AKT/mTOR:1,ELOVL6;ELOVL7;ELOVL4;ELOVL5;PLLP;CDK5R1;FAM174A;AQP10;SFT2D2;TSPAN7;CLDN18;MUC21;FAIM2;CD63;SLC2A1;NRG1;CYB561;LAMTOR1;VTI1B;SDC1,TG-101209 -> GSK1070916,TRUE,Lipid/transport state,Lipid/transport state
tozasertib,"Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor",barasertib-HQPA,Aurora kinase inhibitor,1,0.5678496956825256,0.1551724076271057,0.8901187181472778,GCIKSSRWRFVXBI-UHFFFAOYSA-N,QYZOGCMHVIGURT-UHFFFAOYSA-N,NA,NA,NA,tozasertib -> barasertib-HQPA,FALSE,NA,Other annotated program
SC-144,P glycoprotein inhibitor,broxaldine,NA,1,0.5240882039070129,0.1111111119389534,0.7727238535881042,UEADAWQSJOWXBK-UHFFFAOYSA-N,IJTPLVAAROHGGB-UHFFFAOYSA-N,NA,NA,NA,SC-144 -> broxaldine,FALSE,NA,Other annotated program
NSC-697923,ubiquitin-conjugating enzyme inhibitor,stattic,NA,1,0.4910835325717926,0.18367347121238708,0.8921738266944885,GAUHIPWCDXOLCZ-UHFFFAOYSA-N,ZRRGOUHITGRLBA-UHFFFAOYSA-N,NA,NA,NA,NSC-697923 -> stattic,FALSE,NA,Other annotated program
stattic,NA,NSC-697923,ubiquitin-conjugating enzyme inhibitor,1,0.4910835325717926,0.18367347121238708,0.8921738266944885,ZRRGOUHITGRLBA-UHFFFAOYSA-N,GAUHIPWCDXOLCZ-UHFFFAOYSA-N,NA,NA,NA,stattic -> NSC-697923,FALSE,NA,Other annotated program
VER-49009,HSP inhibitor,parbendazole,tubulin polymerization inhibitor,1,0.4642502963542938,0.18918919563293457,0.6546286344528198,HUNAOTXNHVALTN-UHFFFAOYSA-N,YRWLZFXJFBZBEY-UHFFFAOYSA-N,NA,NA,NA,VER-49009 -> parbendazole,FALSE,NA,Other annotated program
MK-1775,WEE1 kinase inhibitor,BGT226,PI3K inhibitor,1,0.4356081485748291,0.1551724076271057,0.9222205281257628,BKWJAKQVGHWELA-UHFFFAOYSA-N,BMMXYEBLEBULND-UHFFFAOYSA-N,34,Cell cycle/mitosis:6; Lipid/transport state:5; Nuclear receptor/xenobiotic:2,PAFAH1B1;CCND2;ELOVL6;CCND3;CCND1;IFNA5;IFNA8;IFNA1;IFNA14;IFNA6;IFNA13;IFNA2;RHOA;ELOVL7;CCNA2;RHOC;CDK5R1;IFNB1;CCNE1;ELOVL4,MK-1775 -> BGT226,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
SB-2343,"mTOR inhibitor, PI3K inhibitor",NVP-TAE226,protein tyrosine kinase inhibitor,1,0.43453988432884216,0.16326530277729034,0.8374828100204468,QYBGBLQCOOISAR-UHFFFAOYSA-N,UYJNQQDJUOUFQJ-UHFFFAOYSA-N,NA,NA,NA,SB-2343 -> NVP-TAE226,FALSE,NA,Other annotated program
NMS-E973,HSP inhibitor,dovitinib,"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",1,0.4235435426235199,0.13861386477947235,0.7927103638648987,YLQODGGPIHWTHR-UHFFFAOYSA-N,PIQCTGMSNWUMAF-UHFFFAOYSA-N,NA,NA,NA,NMS-E973 -> dovitinib,FALSE,NA,Other annotated program
TAS-103,topoisomerase inhibitor,NMS-1286937,PLK inhibitor,1,0.40584930777549744,0.11214952915906906,0.8706697225570679,ROWSTIYZUWEOMM-UHFFFAOYSA-N,QHLVBNKYJGBCQJ-UHFFFAOYSA-N,NA,NA,NA,TAS-103 -> NMS-1286937,FALSE,NA,Other annotated program
cetrimonium,NA,NH125,eukaryotic translation elongation factor 2 inhibitor,1,0.402028352022171,0.190476194024086,0.9211357235908508,RLGQACBPNDBWTB-UHFFFAOYSA-N,ZZXUNAFAKNKXFW-UHFFFAOYSA-N,NA,NA,NA,cetrimonium -> NH125,FALSE,NA,Other annotated program
NH125,eukaryotic translation elongation factor 2 inhibitor,cetrimonium,NA,1,0.402028352022171,0.190476194024086,0.9211357235908508,ZZXUNAFAKNKXFW-UHFFFAOYSA-N,RLGQACBPNDBWTB-UHFFFAOYSA-N,NA,NA,NA,NH125 -> cetrimonium,FALSE,NA,Other annotated program
GSK1292263,glucose dependent insulinotropic receptor agonist,EVP4593,NFkB pathway inhibitor,1,0.40027984976768494,0.10638298094272614,0.638658344745636,AYJRTVVIBJSSKN-UHFFFAOYSA-N,IBAKVEUZKHOWNG-UHFFFAOYSA-N,NA,NA,NA,GSK1292263 -> EVP4593,FALSE,NA,Other annotated program
JNJ-7706621,CDK inhibitor,defactinib,focal adhesion kinase inhibitor,1,0.3966182470321655,0.19565217196941376,0.7374606728553772,KDKUVYLMPJIGKA-UHFFFAOYSA-N,FWLMVFUGMHIOAA-UHFFFAOYSA-N,NA,NA,NA,JNJ-7706621 -> defactinib,FALSE,NA,Other annotated program
TW-37,BCL inhibitor,gossypol,"BCL inhibitor, MCL1 inhibitor",1,0.38936808705329895,0.15584415197372437,0.8417125344276428,PQAPVTKIEGUPRN-UHFFFAOYSA-N,QBKSWRVVCFFDOT-UHFFFAOYSA-N,NA,NA,NA,TW-37 -> gossypol,FALSE,NA,Other annotated program
gossypol,"BCL inhibitor, MCL1 inhibitor",TW-37,BCL inhibitor,1,0.38936808705329895,0.15584415197372437,0.8417125344276428,QBKSWRVVCFFDOT-UHFFFAOYSA-N,PQAPVTKIEGUPRN-UHFFFAOYSA-N,NA,NA,NA,gossypol -> TW-37,FALSE,NA,Other annotated program
TG-101348,"FLT3 inhibitor, JAK inhibitor",GSK1070916,Aurora kinase inhibitor,1,0.3864699602127075,0.11965811997652054,0.9416683912277222,JOOXLOJCABQBSG-UHFFFAOYSA-N,QTBWCSQGBMPECM-UHFFFAOYSA-N,NA,NA,NA,TG-101348 -> GSK1070916,FALSE,NA,Other annotated program
GSK1070916,Aurora kinase inhibitor,TG-101348,"FLT3 inhibitor, JAK inhibitor",1,0.3864699602127075,0.11965811997652054,0.9416683912277222,QTBWCSQGBMPECM-UHFFFAOYSA-N,JOOXLOJCABQBSG-UHFFFAOYSA-N,NA,NA,NA,GSK1070916 -> TG-101348,FALSE,NA,Other annotated program
mocetinostat,HDAC inhibitor,CYC116,Aurora kinase inhibitor,1,0.3835877478122711,0.1666666716337204,0.8044436573982239,HRNLUBSXIHFDHP-UHFFFAOYSA-N,GPSZYOIFQZPWEJ-UHFFFAOYSA-N,NA,NA,NA,mocetinostat -> CYC116,FALSE,NA,Other annotated program
napabucasin,STAT inhibitor,YM-155,survivin inhibitor,1,0.38283538818359375,0.1818181872367859,0.8694359660148621,DPHUWDIXHNQOSY-UHFFFAOYSA-N,OTSOOHRUMBRSHZ-UHFFFAOYSA-N,NA,NA,NA,napabucasin -> YM-155,FALSE,NA,Other annotated program
YM-155,survivin inhibitor,napabucasin,STAT inhibitor,1,0.38283538818359375,0.1818181872367859,0.8694359660148621,OTSOOHRUMBRSHZ-UHFFFAOYSA-N,DPHUWDIXHNQOSY-UHFFFAOYSA-N,NA,NA,NA,YM-155 -> napabucasin,FALSE,NA,Other annotated program
EVP4593,NFkB pathway inhibitor,dapivirine,non-nucleoside reverse transcriptase inhibitor,1,0.37347087264060974,0.08974359184503555,0.8069490790367126,IBAKVEUZKHOWNG-UHFFFAOYSA-N,ILAYIAGXTHKHNT-UHFFFAOYSA-N,NA,NA,NA,EVP4593 -> dapivirine,FALSE,NA,Other annotated program
IKK-2-inhibitor-V,"IKK inhibitor, NFkB pathway inhibitor",SB-225002,CC chemokine receptor antagonist,1,0.3708348572254181,0.1803278625011444,0.8488600850105286,CHILCFMQWMQVAL-UHFFFAOYSA-N,MQBZVUNNWUIPMK-UHFFFAOYSA-N,32,Lipid/transport state:2; Nuclear receptor/xenobiotic:2,UCP3;LETMD1;UCP2;PGLYRP1;CKMT1B;BTG1;MPV17;ZNF519;PISD;CYC1;ZNF160;TAZ;ZNF224;ZNF112;SLC25A27;UCP1;TSPO;ZNF230;NLRP2;PLA2G3,IKK-2-inhibitor-V -> SB-225002,TRUE,Lipid/transport state,Lipid/transport state
SB-225002,CC chemokine receptor antagonist,IKK-2-inhibitor-V,"IKK inhibitor, NFkB pathway inhibitor",1,0.3708348572254181,0.1803278625011444,0.8488600850105286,MQBZVUNNWUIPMK-UHFFFAOYSA-N,CHILCFMQWMQVAL-UHFFFAOYSA-N,NA,NA,NA,SB-225002 -> IKK-2-inhibitor-V,FALSE,NA,Other annotated program
erdafitinib,FGFR inhibitor,PD-173074,"FGFR inhibitor, VEGFR inhibitor",1,0.3704759180545807,0.17475728690624237,0.9145894646644592,OLAHOMJCDNXHFI-UHFFFAOYSA-N,DXCUKNQANPLTEJ-UHFFFAOYSA-N,NA,NA,NA,erdafitinib -> PD-173074,FALSE,NA,Other annotated program
PHA-793887,CDK inhibitor,AT-7519,CDK inhibitor,1,0.3676287829875946,0.1325301229953766,0.7769970893859863,HUXYBQXJVXOMKX-UHFFFAOYSA-N,OVPNQJVDAFNBDN-UHFFFAOYSA-N,NA,NA,NA,PHA-793887 -> AT-7519,FALSE,NA,Other annotated program
erlotinib,EGFR inhibitor,taselisib,PI3K inhibitor,1,0.3647175431251526,0.05660377442836761,0.8841220140457153,AAKJLRGGTJKAMG-UHFFFAOYSA-N,BEUQXVWXFDOSAQ-UHFFFAOYSA-N,NA,NA,NA,erlotinib -> taselisib,FALSE,NA,Other annotated program
AP26113,ALK tyrosine kinase receptor inhibitor,TAK-901,Aurora kinase inhibitor,1,0.3618382215499878,0.12931033968925476,0.9237192273139954,OVDSPTSBIQCAIN-UHFFFAOYSA-N,WKDACQVEJIVHMZ-UHFFFAOYSA-N,33,Cell cycle/mitosis:11; Lipid/transport state:2; Nuclear receptor/xenobiotic:2; MAPK/RTK:1,CCND2;CCND3;CCND1;PAFAH1B1;CCNE1;CCNA2;RHOA;CDK5R1;ELOVL6;RHOC;CRKL;TNP1;CCNO;CCNG1;BCAT2;ORMDL3;PLLP;CCNB2;STX18;SRSF12,AP26113 -> TAK-901,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
ethacridine-lactate-monohydrate,DNA intercalating agent,proflavine-hemisulfate,topical anesthetic,1,0.36168232560157776,0.19565217196941376,0.8877005577087402,CIKWKGFPFXJVGW-UHFFFAOYSA-N,WDVSHHCDHLJJJR-UHFFFAOYSA-N,35,Cell cycle/mitosis:4; Mitochondria:1; Nuclear receptor/xenobiotic:1,IFNA8;IFNA2;IFNA14;IFNA5;IFNA1;IFNA6;IFNA13;IFNB1;CIAPIN1;NUSAP1;HM13;DLGAP5;MAPRE3;YPEL3;CCNB2;NAF1;STX8;NBN;PCBP2;POLD3,ethacridine-lactate-monohydrate -> proflavine-hemisulfate,TRUE,Cell cycle/mitosis,Cell cycle/mitosis
proflavine-hemisulfate,topical anesthetic,ethacridine-lactate-monohydrate,DNA intercalating agent,1,0.36168232560157776,0.19565217196941376,0.8877005577087402,WDVSHHCDHLJJJR-UHFFFAOYSA-N,CIKWKGFPFXJVGW-UHFFFAOYSA-N,NA,NA,NA,proflavine-hemisulfate -> ethacridine-lactate-monohydrate,FALSE,NA,Other annotated program
