method,query_idx,retrieved_idx,pair_a,pair_b,rank,method_score,prism_response_corr,top_gene_k,shared_top_gene_count,shared_top_gene_jaccard,shared_gene_hypergeom_p,shared_gene_neglog10p,num_category_hits,num_unique_categories,dominant_categories,query_name,retrieved_name,query_moa,retrieved_moa,query_targets,retrieved_targets,known_target_hits_top_gene,known_target_hits_shared_gene,shared_gene_symbols_top20
CGP-Align,1709,389,389,1709,5,0.8379504084587097,0.3510180711746216,50,37,0.5873015873015873,1.0417436633733313e-77,76.9822391325509,25,2,Lipid/transport state:20; Cell cycle/mitosis:5,AZD3463,givinostat,"ALK tyrosine kinase receptor inhibitor, insulin growth factor receptor inhibitor",HDAC inhibitor,"ALK, IGF1R","HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9",,,ELOVL6;CDK5R1;SLC2A1;CCND3;MUC21;PLLP;CCND2;ELOVL4;ELOVL7;PTGES;FAM174A;ELOVL5;CCNE1;CCND1;AQP10;VTI1B;FAIM2;ORMDL3;CLDN7;ANKH
CGP-Align,1420,1781,1420,1781,1,0.9272965788841248,0.3155243992805481,50,36,0.5625,1.4510930437421621e-74,73.83830473981017,17,3,Cell cycle/mitosis:10; Lipid/transport state:5; Nuclear receptor/xenobiotic:2,bosutinib,AV-412,"Abl kinase inhibitor, Bcr-Abl kinase inhibitor, src inhibitor",protein tyrosine kinase inhibitor,"ABL1, BCR, CAMK1D, CAMK2G, CDK2, FRK, FYN, HCK, LYN, MAP2K1, MAP2K2, MAP3K2, MAP4K5, SRC, STK10, STK24, STK4, TNK2, TXK","EGFR, ERBB2",,,PAFAH1B1;CCND3;CCND2;CCND1;ELOVL6;CCNE1;CCNA2;YY1;ZNF143;CCNL1;CRKL;NRF1;CDK5R1;JUN;CKS2;ELOVL7;SREK1;VTI1B;STX18;RHOA
CGP-Align,1043,1763,1043,1763,7,0.8501916527748108,0.4430143237113952,50,35,0.5384615384615384,1.712975643552738e-71,70.76624881213422,16,4,Cell cycle/mitosis:7; Lipid/transport state:7; Nuclear receptor/xenobiotic:1; PI3K/AKT/mTOR:1,ZM-447439,AZ3146,Aurora kinase inhibitor,monopolar spindle 1 kinase inhibitor,"AURKA, AURKB",,,,ELOVL6;ELOVL7;ELOVL4;ELOVL5;PAFAH1B1;PLLP;CCND2;SFT2D2;CCNA2;LAMTOR1;CCND1;CCND3;LRRC4;RHOA;STX18;CYB561;RHOC;FAIM2;CCNL1;SRSF12
CGP-Align,191,1564,191,1564,1,0.8877005577087402,0.3616823256015777,50,35,0.5384615384615384,1.712975643552738e-71,70.76624881213422,6,3,Cell cycle/mitosis:4; Mitochondria:1; Nuclear receptor/xenobiotic:1,ethacridine-lactate-monohydrate,proflavine-hemisulfate,DNA intercalating agent,topical anesthetic,,F2,,,IFNA8;IFNA2;IFNA14;IFNA5;IFNA1;IFNA6;IFNA13;IFNB1;CIAPIN1;NUSAP1;HM13;DLGAP5;MAPRE3;YPEL3;CCNB2;NAF1;STX8;NBN;PCBP2;POLD3
CGP-Align,278,1189,278,1189,1,0.8975872993469238,0.3025794327259063,50,35,0.5384615384615384,1.712975643552738e-71,70.76624881213422,10,2,Cell cycle/mitosis:9; MAPK/RTK:1,LY2606368,NMS-1286937,CHK inhibitor,PLK inhibitor,CHEK1,"FLT3, PLK1, PLK2, PLK3",,,CCND3;CCND2;CCND1;CRKL;PAFAH1B1;CCNA2;CCNE1;IFNA8;IFNA1;IFNA5;IFNA14;IFNA2;IFNA6;IFNA13;CRK;CCNB2;RACGAP1;PPME1;CSNK1D;CUL3
CGP-Align,698,1220,698,1220,1,0.930324375629425,0.5740714073181152,50,34,0.5151515151515151,1.7276785145474666e-68,67.76253706761372,13,4,Lipid/transport state:10; Cell cycle/mitosis:1; Nuclear receptor/xenobiotic:1; PI3K/AKT/mTOR:1,TG-101209,GSK1070916,JAK inhibitor,Aurora kinase inhibitor,"JAK2, JAK3","AURKA, AURKB, AURKC, CYP2D6, CYP3A4",,,ELOVL6;ELOVL7;ELOVL4;ELOVL5;PLLP;CDK5R1;FAM174A;AQP10;SFT2D2;TSPAN7;CLDN18;MUC21;FAIM2;CD63;SLC2A1;NRG1;CYB561;LAMTOR1;VTI1B;SDC1
CGP-Align,116,120,116,120,1,0.9222205281257628,0.4356081485748291,50,34,0.5151515151515151,1.7276785145474666e-68,67.76253706761372,13,3,Cell cycle/mitosis:6; Lipid/transport state:5; Nuclear receptor/xenobiotic:2,MK-1775,BGT226,WEE1 kinase inhibitor,PI3K inhibitor,WEE1,"MTOR, PIK3CA, PIK3CB, PIK3CG",,,PAFAH1B1;CCND2;ELOVL6;CCND3;CCND1;IFNA5;IFNA8;IFNA1;IFNA14;IFNA6;IFNA13;IFNA2;RHOA;ELOVL7;CCNA2;RHOC;CDK5R1;IFNB1;CCNE1;ELOVL4
CGP-Align,1486,1584,1486,1584,4,0.861806333065033,0.3066146075725555,50,34,0.5151515151515151,1.7276785145474666e-68,67.76253706761372,15,4,Cell cycle/mitosis:11; Nuclear receptor/xenobiotic:2; MAPK/RTK:1; Microtubule:1,NVP-TAE226,AZD5438,protein tyrosine kinase inhibitor,CDK inhibitor,PTK2,KCNH2,,,CCND2;CCND1;PAFAH1B1;CCND3;CCNA2;CCNE1;CCNB2;CRKL;CCNB1;SNRPA;RHOA;CSNK1D;CUL3;CCNG1;CCNO;RHOC;LMNB1;CCNL1;FLOT1;MAP2K7
CGP-Align,1637,1189,1189,1637,10,0.7953159213066101,0.4882324635982513,50,33,0.4925373134328358,1.4992566019752974e-65,64.82412403007055,14,2,Cell cycle/mitosis:13; Nuclear receptor/xenobiotic:1,NMS-1286937,amsacrine,PLK inhibitor,topoisomerase inhibitor,"FLT3, PLK1, PLK2, PLK3","KCNH2, TOP2A",,,CCND2;CCND3;CCND1;PAFAH1B1;CCNA2;IFNA1;IFNA5;IFNA8;IFNA2;CCNE1;CCNB2;IFNA6;IFNA14;IFNA13;CCNB1;RHOA;CCNG1;CDKN1B;CRKL;CCNO
CGP-Align,1637,1585,1585,1637,8,0.7982272505760193,0.412297636270523,50,33,0.4925373134328358,1.4992566019752974e-65,64.82412403007055,16,3,Cell cycle/mitosis:12; Lipid/transport state:2; Nuclear receptor/xenobiotic:2,TAK-901,amsacrine,Aurora kinase inhibitor,topoisomerase inhibitor,AURKB,"KCNH2, TOP2A",,,CCND2;CCND1;CCND3;PAFAH1B1;CCNA2;CCNE1;CCNB2;RHOA;CCNO;RHOC;CCNB1;ELOVL6;CCNG1;CRKL;SNRPA;IFNA1;IFNA13;IFNA6;IFNA2;CDK5R1
CGP-Align,94,249,94,249,4,0.8818033337593079,0.3983935117721557,50,33,0.4925373134328358,1.4992566019752974e-65,64.82412403007055,10,3,Cell cycle/mitosis:6; Nuclear receptor/xenobiotic:3; Proteostasis:1,taselisib,AZD8931,PI3K inhibitor,EGFR inhibitor,PIK3CA,"EGFR, ERBB2, ERBB3",,,SRSF12;PAFAH1B1;SRSF10;TNP1;PRPF38B;CYLC2;CCNL1;CCND3;CCND2;CCND1;SRSF2;CCNE1;NSA2;CCNA2;RPS8;ARF6;SREK1;ORMDL3;PES1;ZRSR2
CGP-Align,1716,436,436,1716,2,0.7899802923202515,0.378126859664917,50,33,0.4925373134328358,1.4992566019752974e-65,64.82412403007055,11,2,Cell cycle/mitosis:8; Lipid/transport state:3,CYC116,YM-201636,Aurora kinase inhibitor,PI3K inhibitor,"AURKA, AURKB, KDR",,,,IFNA8;IFNA2;IFNA5;IFNA14;CCND2;CCND1;IFNA1;IFNA6;IFNB1;CCNA2;IFNA13;CCNB2;CCNB1;STX8;PAFAH1B1;CCNE1;CCND3;MAPRE3;IBSP;HM13
CGP-Align,1079,1585,1079,1585,1,0.9237192273139954,0.3618382215499878,50,33,0.4925373134328358,1.4992566019752974e-65,64.82412403007055,16,4,Cell cycle/mitosis:11; Lipid/transport state:2; Nuclear receptor/xenobiotic:2; MAPK/RTK:1,AP26113,TAK-901,ALK tyrosine kinase receptor inhibitor,Aurora kinase inhibitor,"ALK, EGFR",AURKB,,,CCND2;CCND3;CCND1;PAFAH1B1;CCNE1;CCNA2;RHOA;CDK5R1;ELOVL6;RHOC;CRKL;TNP1;CCNO;CCNG1;BCAT2;ORMDL3;PLLP;CCNB2;STX18;SRSF12
CGP-Align,1189,1585,1189,1585,8,0.8943763375282288,0.3249157965183258,50,33,0.4925373134328358,1.4992566019752974e-65,64.82412403007055,13,3,Cell cycle/mitosis:11; MAPK/RTK:1; Nuclear receptor/xenobiotic:1,NMS-1286937,TAK-901,PLK inhibitor,Aurora kinase inhibitor,"FLT3, PLK1, PLK2, PLK3",AURKB,,,CCND2;CCND3;CCND1;PAFAH1B1;CCNA2;CCNE1;CRKL;IFNA1;RHOA;IFNA5;IFNA6;IFNA2;IFNA14;IFNA13;RHOC;CCNB2;CDK5R1;BCAT2;FLOT1;CCNG1
CGP-Align,713,1220,713,1220,3,0.8812786340713501,0.3150270283222198,50,33,0.4925373134328358,1.4992566019752974e-65,64.82412403007055,17,2,Lipid/transport state:16; Cell cycle/mitosis:1,VE-822,GSK1070916,ATR kinase inhibitor,Aurora kinase inhibitor,"ATM, ATR, MTOR, PIK3CG","AURKA, AURKB, AURKC, CYP2D6, CYP3A4",,,ELOVL6;ELOVL7;ELOVL4;ELOVL5;PLLP;TSPAN7;CDK5R1;SFT2D2;ORMDL3;FAIM2;SLC2A1;CD63;TMBIM4;CLDN18;CYB561;PTGES;VTI1B;SYNGR1;FAM174A;RHOA
CGP-Align,1627,402,402,1627,10,0.8669750690460205,0.3017251491546631,50,33,0.4925373134328358,1.4992566019752974e-65,64.82412403007055,6,2,Nuclear receptor/xenobiotic:5; Mitochondria:1,5-fluorouracil,thioguanine,thymidylate synthase inhibitor,purine antagonist,"DPYD, TYMS","IMPDH1, IMPDH2",,,BCAT2;ALDH6A1;CUTA;CYP11B2;ALDH7A1;CYP11B1;IMMP2L;SARS2;PDF;SIRT4;ALDH5A1;SIRT3;PCK2;PCBD2;CYP27A1;MDH2;ABAT;MCAT;SUCLG1;BCKDHB
CGP-Align,1043,1220,1043,1220,8,0.8423815369606018,0.5408042073249817,50,32,0.47058823529411764,1.1262266741723024e-62,61.9483741908037,17,4,Lipid/transport state:14; Cell cycle/mitosis:1; Nuclear receptor/xenobiotic:1; PI3K/AKT/mTOR:1,ZM-447439,GSK1070916,Aurora kinase inhibitor,Aurora kinase inhibitor,"AURKA, AURKB","AURKA, AURKB, AURKC, CYP2D6, CYP3A4",,,ELOVL6;ELOVL7;ELOVL4;ELOVL5;PLLP;SFT2D2;LAMTOR1;CYB561;CDK5R1;FAIM2;TSPAN7;SLC10A2;SLC2A1;CLDN18;SDC2;SLC16A1;ORMDL3;FAM174A;RHOA;PTGES
CGP-Align,1074,1597,1074,1597,2,0.872252881526947,0.429799735546112,50,32,0.47058823529411764,1.1262266741723024e-62,61.9483741908037,6,2,Nuclear receptor/xenobiotic:5; Mitochondria:1,teroxirone,adefovir-dipivoxil,DNA inhibitor,DNA polymerase inhibitor,,,,,BCAT2;SARS2;ALDH6A1;CUTA;PCK2;PCBD2;ALDH7A1;MDH2;CYP11B2;CKMT1B;ALDH5A1;HADH;PTRHD1;SUCLG1;SIRT4;PDF;CYP11B1;ACADS;TADA1;EXD2
CGP-Align,227,1486,227,1486,4,0.8446988463401794,0.4230832159519195,50,32,0.47058823529411764,1.1262266741723024e-62,61.9483741908037,9,3,Cell cycle/mitosis:6; Nuclear receptor/xenobiotic:2; Proteostasis:1,buparlisib,NVP-TAE226,PI3K inhibitor,protein tyrosine kinase inhibitor,"PIK3CA, PIK3CG",PTK2,,,PAFAH1B1;CCND2;CCND1;CCNA2;CCND3;SNRPA;TNP1;CCNE1;RHOA;CRKL;SRSF10;RHOC;SRSF12;CUL3;CKS2;CCNL1;ARF6;RPS8;SREK1;PES1
