training_fraction_pct,training_scale,negative_ratio,family,value_mean,value_std,random_top10,fold_over_random
10,10%,100,compound/profile,0.43750719631548646,0.00094947379424115,0.09900990099009901,4.418822682786413
25,25%,100,compound/profile,0.5682354634427174,0.0024564980654583,0.09900990099009901,5.739178180771445
50,50%,100,compound/profile,0.6448474381116869,0.0004251860119612862,0.09900990099009901,6.512959124928037
75,75%,100,compound/profile,0.6857656879677606,0.000976948592203,0.09900990099009901,6.926233448474382
100,100%,100,compound/profile,0.7114565342544618,0.0015865919148383002,0.09900990099009901,7.185710995970063
10,10%,1000,compound/profile,0.12540299366724234,0.0005137206120140999,0.00999000999000999,12.552839666090957
25,25%,1000,compound/profile,0.2023891767415083,0.00114914540844085,0.00999000999000999,20.259156591824983
50,50%,1000,compound/profile,0.24710708117443864,0.00105967142175605,0.00999000999000999,24.735418825561307
75,75%,1000,compound/profile,0.28013816925734025,0.0007270967144263,0.00999000999000999,28.04183074265976
100,100%,1000,compound/profile,0.29516407599309147,0.0011479736715219,0.00999000999000999,29.545924006908457
10,10%,100,protein/profile,0.3773584905660377,0.0022551138325288,0.09900990099009901,3.8113207547169807
25,25%,100,protein/profile,0.4134471398622342,0.002100228608202,0.09900990099009901,4.175816112608565
50,50%,100,protein/profile,0.45020964360587,0.0029823859563903,0.09900990099009901,4.547117400419287
75,75%,100,protein/profile,0.45971847858640313,0.0038826875974056997,0.09900990099009901,4.643156633722671
100,100%,100,protein/profile,0.4760407307577119,0.00480003351056885,0.09900990099009901,4.80801138065289
10,10%,1000,protein/profile,0.08071278825995801,0.00059780608519715,0.00999000999000999,8.079350104821797
25,25%,1000,protein/profile,0.09044624138963755,0.0015044026864445,0.00999000999000999,9.053668763102719
50,50%,1000,protein/profile,0.09681042228212035,0.0010258569018145001,0.00999000999000999,9.690723270440246
75,75%,1000,protein/profile,0.10781671159029646,0.00129023621967695,0.00999000999000999,10.792452830188676
100,100%,1000,protein/profile,0.10631925726265345,0.0027229893976208003,0.00999000999000999,10.642557651991611
