epoch,component,loss
1,Alignment objective,10.719045502798897
1,Compound-profile,5.619312218257359
1,ORF-profile,5.425203193937029
1,CRISPR-profile,4.774263375146049
2,Alignment objective,10.336553430557252
2,Compound-profile,5.3229138374328615
2,ORF-profile,5.324802310126168
2,CRISPR-profile,4.702476869310652
3,Alignment objective,10.13039424760001
3,Compound-profile,5.161545692171369
3,ORF-profile,5.285170459747315
3,CRISPR-profile,4.65252663067409
4,Alignment objective,9.985988358088902
4,Compound-profile,5.058786501203264
4,ORF-profile,5.222208506720406
4,CRISPR-profile,4.632195220674787
5,Alignment objective,9.878896066120692
5,Compound-profile,4.986256047657558
5,ORF-profile,5.196241201673235
5,CRISPR-profile,4.5890388011932375
6,Alignment objective,9.790103381020682
6,Compound-profile,4.928375141961234
6,ORF-profile,5.181389147894723
6,CRISPR-profile,4.542067309788295
7,Alignment objective,9.73997415133885
7,Compound-profile,4.900843163899013
7,ORF-profile,5.150250121525356
7,CRISPR-profile,4.528011894226074
8,Alignment objective,9.691032212121147
8,Compound-profile,4.877295180729457
8,ORF-profile,5.141905988965716
8,CRISPR-profile,4.485568053381783
9,Alignment objective,9.621172659737724
9,Compound-profile,4.835515914644514
9,ORF-profile,5.108356407710484
9,CRISPR-profile,4.462957096099854
10,Alignment objective,9.564737367630006
10,Compound-profile,4.797953993933541
10,ORF-profile,5.102665090560913
10,CRISPR-profile,4.430901650020054
11,Alignment objective,9.515497520991733
11,Compound-profile,4.772787346158709
11,ORF-profile,5.078137125287737
11,CRISPR-profile,4.407283169882638
12,Alignment objective,9.468657275608606
12,Compound-profile,4.73627564566476
12,ORF-profile,5.072248990195138
12,CRISPR-profile,4.39251424244472
13,Alignment objective,9.418151787349156
13,Compound-profile,4.711210427965437
13,ORF-profile,5.043044914518084
13,CRISPR-profile,4.370837817873274
14,Alignment objective,9.402007034846715
14,Compound-profile,4.699623720986502
14,ORF-profile,5.047540671484811
14,CRISPR-profile,4.35722599029541
15,Alignment objective,9.378419147218978
15,Compound-profile,4.68928873198373
15,ORF-profile,5.041977282932827
15,CRISPR-profile,4.336283493041992
16,Alignment objective,9.34272814478193
16,Compound-profile,4.66467239516122
16,ORF-profile,5.012540578842163
16,CRISPR-profile,4.343570872715541
17,Alignment objective,9.29918451309204
17,Compound-profile,4.640739788327898
17,ORF-profile,5.009848138264247
17,CRISPR-profile,4.3070412465504235
18,Alignment objective,9.256327962875366
18,Compound-profile,4.631031847000122
18,ORF-profile,4.980597080503191
18,CRISPR-profile,4.269995144435337
19,Alignment objective,9.239561339787073
19,Compound-profile,4.610631241117205
19,ORF-profile,4.963226958683559
19,CRISPR-profile,4.294633252280099
20,Alignment objective,9.206602777753558
