training_fraction_pct,training_scale,negative_ratio,family,value_mean,value_std,random_top10,fold_over_random,top10_pct,top10_sd_pct
10,10%,1000,Compound-profile,0.12540299366724234,5.1372061201409e-4,0.00999000999000999,12.552839666090955,12.540299366724234,0.051372061201409
25,25%,1000,Compound-profile,0.2023891767415083,0.00114914540844085,0.00999000999000999,20.259156591824983,20.23891767415083,0.114914540844085
50,50%,1000,Compound-profile,0.24710708117443864,0.00105967142175605,0.00999000999000999,24.735418825561307,24.710708117443865,0.10596714217560502
75,75%,1000,Compound-profile,0.28013816925734025,7.270967144263e-4,0.00999000999000999,28.04183074265976,28.013816925734027,0.07270967144263
100,100%,1000,Compound-profile,0.29516407599309147,0.0011479736715219,0.00999000999000999,29.545924006908457,29.516407599309147,0.11479736715219
10,10%,1000,Gene-profile,0.08071278825995801,5.9780608519715e-4,0.00999000999000999,8.079350104821797,8.071278825995801,0.059780608519715
25,25%,1000,Gene-profile,0.090446241389637555,0.0015044026864445,0.00999000999000999,9.05366876310272,9.044624138963755,0.15044026864444998
50,50%,1000,Gene-profile,0.09681042228212036,0.0010258569018145,0.00999000999000999,9.690723270440246,9.681042228212036,0.10258569018144999
75,75%,1000,Gene-profile,0.10781671159029646,0.00129023621967695,0.00999000999000999,10.792452830188676,10.781671159029646,0.12902362196769498
100,100%,1000,Gene-profile,0.10631925726265344,0.0027229893976208,0.00999000999000999,10.642557651991613,10.631925726265344,0.27229893976208
