entity_index,num_replicates,modality
0,3,Compound
1,4,Compound
2,3,Compound
3,20,Compound
4,8,Compound
5,4,Compound
6,8,Compound
7,3,Compound
8,8,Compound
9,8,Compound
10,4,Compound
11,3,Compound
12,4,Compound
13,4,Compound
14,5,Compound
15,3,Compound
16,3,Compound
17,3,Compound
18,4,Compound
19,8,Compound
20,8,Compound
21,6,Compound
22,5,Compound
23,8,Compound
24,3,Compound
25,3,Compound
26,5,Compound
27,2,Compound
28,7,Compound
29,7,Compound
30,4,Compound
31,4,Compound
32,4,Compound
33,5,Compound
34,17,Compound
35,7,Compound
36,7,Compound
37,4,Compound
38,8,Compound
39,5,Compound
40,3,Compound
41,5,Compound
42,3,Compound
43,5,Compound
44,3,Compound
45,9,Compound
46,7,Compound
47,4,Compound
48,6,Compound
49,7,Compound
50,7,Compound
51,13,Compound
52,5,Compound
53,5,Compound
54,4,Compound
55,3,Compound
56,8,Compound
57,4,Compound
58,5,Compound
59,3,Compound
60,3,Compound
61,4,Compound
62,4,Compound
63,4,Compound
64,3,Compound
65,3,Compound
66,5,Compound
67,7,Compound
68,4,Compound
69,5,Compound
70,7,Compound
71,6,Compound
72,3,Compound
73,5,Compound
74,5,Compound
75,5,Compound
76,3,Compound
77,8,Compound
78,4,Compound
79,3,Compound
80,4,Compound
81,8,Compound
82,5,Compound
83,7,Compound
84,7,Compound
85,10,Compound
86,5,Compound
87,5,Compound
88,5,Compound
89,3,Compound
90,6,Compound
91,7,Compound
92,5,Compound
93,7,Compound
94,3,Compound
95,10,Compound
96,7,Compound
97,4,Compound
98,4,Compound
99,4,Compound
100,2,Compound
101,5,Compound
102,4,Compound
103,5,Compound
104,5,Compound
105,7,Compound
106,4,Compound
107,4,Compound
108,4,Compound
109,8,Compound
110,5,Compound
111,4,Compound
112,3,Compound
113,6,Compound
114,5,Compound
115,5,Compound
116,7,Compound
117,8,Compound
118,4,Compound
119,5,Compound
120,6,Compound
121,3,Compound
122,6,Compound
123,7,Compound
124,4,Compound
125,4,Compound
126,5,Compound
127,8,Compound
128,4,Compound
129,7,Compound
130,5,Compound
131,7,Compound
132,3,Compound
133,3,Compound
134,3,Compound
135,5,Compound
136,3,Compound
137,8,Compound
138,3,Compound
139,7,Compound
140,4,Compound
141,4,Compound
142,7,Compound
143,5,Compound
144,4,Compound
145,5,Compound
146,6,Compound
147,3,Compound
148,5,Compound
149,5,Compound
150,8,Compound
151,4,Compound
152,2,Compound
153,5,Compound
154,5,Compound
155,3,Compound
156,4,Compound
157,5,Compound
158,5,Compound
159,3,Compound
160,4,Compound
161,5,Compound
162,5,Compound
163,5,Compound
164,3,Compound
165,7,Compound
166,3,Compound
167,4,Compound
168,3,Compound
169,5,Compound
170,4,Compound
171,5,Compound
172,4,Compound
173,5,Compound
174,4,Compound
175,4,Compound
176,7,Compound
177,5,Compound
178,7,Compound
179,5,Compound
180,5,Compound
181,4,Compound
182,5,Compound
183,6,Compound
184,7,Compound
185,4,Compound
186,5,Compound
187,5,Compound
188,6,Compound
189,5,Compound
190,8,Compound
191,7,Compound
192,7,Compound
193,3,Compound
194,4,Compound
195,5,Compound
196,4,Compound
197,7,Compound
198,3,Compound
199,5,Compound
200,5,Compound
201,4,Compound
202,3,Compound
203,9,Compound
204,7,Compound
205,3,Compound
206,5,Compound
207,5,Compound
208,10,Compound
209,4,Compound
210,8,Compound
211,4,Compound
212,8,Compound
213,3,Compound
214,7,Compound
215,7,Compound
216,4,Compound
217,7,Compound
218,7,Compound
219,4,Compound
220,5,Compound
221,4,Compound
222,7,Compound
223,4,Compound
224,5,Compound
225,4,Compound
226,3,Compound
227,4,Compound
228,4,Compound
229,6,Compound
230,5,Compound
231,4,Compound
232,4,Compound
233,5,Compound
234,8,Compound
235,4,Compound
236,4,Compound
237,4,Compound
238,5,Compound
239,4,Compound
240,3,Compound
241,10,Compound
242,4,Compound
243,3,Compound
244,5,Compound
245,5,Compound
246,7,Compound
247,8,Compound
248,3,Compound
249,4,Compound
250,4,Compound
251,7,Compound
252,7,Compound
253,4,Compound
254,8,Compound
255,3,Compound
256,7,Compound
257,3,Compound
258,9,Compound
259,4,Compound
260,2,Compound
261,5,Compound
262,3,Compound
263,3,Compound
264,10,Compound
265,7,Compound
266,8,Compound
267,3,Compound
268,3,Compound
269,5,Compound
270,4,Compound
271,3,Compound
272,5,Compound
273,4,Compound
274,7,Compound
275,5,Compound
276,3,Compound
277,6,Compound
278,3,Compound
279,5,Compound
280,3,Compound
281,5,Compound
282,4,Compound
283,3,Compound
284,4,Compound
285,4,Compound
286,6,Compound
287,5,Compound
288,5,Compound
289,5,Compound
290,3,Compound
291,3,Compound
292,4,Compound
293,7,Compound
294,5,Compound
295,6,Compound
296,5,Compound
297,7,Compound
298,7,Compound
299,2,Compound
300,7,Compound
301,4,Compound
302,3,Compound
303,4,Compound
304,4,Compound
305,3,Compound
306,4,Compound
307,7,Compound
308,6,Compound
309,3,Compound
310,4,Compound
311,3,Compound
312,5,Compound
313,7,Compound
314,7,Compound
315,4,Compound
316,8,Compound
317,5,Compound
318,3,Compound
319,5,Compound
320,8,Compound
321,3,Compound
322,5,Compound
323,4,Compound
324,4,Compound
325,8,Compound
326,7,Compound
327,6,Compound
328,7,Compound
329,5,Compound
330,4,Compound
331,7,Compound
332,4,Compound
333,4,Compound
334,5,Compound
335,7,Compound
336,8,Compound
337,5,Compound
338,3,Compound
339,4,Compound
340,5,Compound
341,5,Compound
342,7,Compound
343,5,Compound
344,4,Compound
345,2,Compound
346,4,Compound
347,7,Compound
348,7,Compound
349,7,Compound
350,4,Compound
351,4,Compound
352,5,Compound
353,7,Compound
354,5,Compound
355,4,Compound
356,4,Compound
357,8,Compound
358,5,Compound
359,4,Compound
360,7,Compound
361,3,Compound
362,8,Compound
363,4,Compound
364,4,Compound
365,9,Compound
366,3,Compound
367,4,Compound
368,5,Compound
369,7,Compound
370,3,Compound
371,3,Compound
372,4,Compound
373,4,Compound
374,3,Compound
375,3,Compound
376,7,Compound
377,3,Compound
378,7,Compound
379,6,Compound
380,5,Compound
381,5,Compound
382,3,Compound
383,7,Compound
384,3,Compound
385,7,Compound
386,14,Compound
387,8,Compound
388,5,Compound
389,4,Compound
390,6,Compound
391,7,Compound
392,7,Compound
393,4,Compound
394,8,Compound
395,4,Compound
396,8,Compound
397,4,Compound
398,3,Compound
399,4,Compound
400,8,Compound
401,4,Compound
402,4,Compound
403,4,Compound
404,4,Compound
405,5,Compound
406,5,Compound
407,4,Compound
408,7,Compound
409,3,Compound
410,5,Compound
411,2,Compound
412,7,Compound
413,3,Compound
414,4,Compound
415,4,Compound
416,4,Compound
417,4,Compound
418,4,Compound
419,3,Compound
420,8,Compound
421,4,Compound
422,5,Compound
423,3,Compound
424,7,Compound
425,8,Compound
426,4,Compound
427,13,Compound
428,7,Compound
429,4,Compound
430,5,Compound
431,5,Compound
432,5,Compound
433,8,Compound
434,8,Compound
435,8,Compound
436,6,Compound
437,3,Compound
438,4,Compound
439,7,Compound
440,3,Compound
441,4,Compound
442,8,Compound
443,4,Compound
444,7,Compound
445,3,Compound
446,4,Compound
447,4,Compound
448,4,Compound
449,3,Compound
450,4,Compound
451,3,Compound
452,8,Compound
453,4,Compound
454,4,Compound
455,4,Compound
456,4,Compound
457,5,Compound
458,5,Compound
459,4,Compound
460,5,Compound
461,7,Compound
462,4,Compound
463,5,Compound
464,7,Compound
465,4,Compound
466,7,Compound
467,4,Compound
468,5,Compound
469,8,Compound
470,8,Compound
471,8,Compound
472,5,Compound
473,3,Compound
474,3,Compound
475,7,Compound
476,4,Compound
477,3,Compound
478,7,Compound
479,7,Compound
480,4,Compound
481,3,Compound
482,5,Compound
483,9,Compound
484,7,Compound
485,3,Compound
486,4,Compound
487,4,Compound
488,10,Compound
489,3,Compound
490,5,Compound
491,3,Compound
492,7,Compound
493,10,Compound
494,5,Compound
495,8,Compound
496,8,Compound
497,7,Compound
498,7,Compound
499,3,Compound
500,4,Compound
501,5,Compound
502,6,Compound
503,7,Compound
504,7,Compound
505,3,Compound
506,8,Compound
507,2,Compound
508,5,Compound
509,3,Compound
510,5,Compound
511,4,Compound
512,5,Compound
513,7,Compound
514,13,Compound
515,6,Compound
516,5,Compound
517,5,Compound
518,5,Compound
519,7,Compound
520,5,Compound
521,7,Compound
522,5,Compound
523,7,Compound
524,7,Compound
525,5,Compound
526,3,Compound
527,4,Compound
528,4,Compound
529,5,Compound
530,7,Compound
531,5,Compound
532,7,Compound
533,4,Compound
534,5,Compound
535,13,Compound
536,10,Compound
537,4,Compound
538,5,Compound
539,5,Compound
540,4,Compound
541,6,Compound
542,8,Compound
543,4,Compound
544,8,Compound
545,7,Compound
546,10,Compound
547,5,Compound
548,3,Compound
549,4,Compound
550,5,Compound
551,8,Compound
552,3,Compound
553,7,Compound
554,8,Compound
555,10,Compound
556,8,Compound
557,4,Compound
558,5,Compound
559,3,Compound
560,4,Compound
561,7,Compound
562,8,Compound
563,7,Compound
564,4,Compound
565,5,Compound
566,4,Compound
567,7,Compound
568,4,Compound
569,7,Compound
570,8,Compound
571,10,Compound
572,5,Compound
573,4,Compound
574,8,Compound
575,3,Compound
576,3,Compound
577,4,Compound
578,5,Compound
579,8,Compound
580,8,Compound
581,5,Compound
582,7,Compound
583,3,Compound
584,8,Compound
585,5,Compound
586,3,Compound
587,7,Compound
588,8,Compound
589,4,Compound
590,3,Compound
591,5,Compound
592,8,Compound
593,7,Compound
594,4,Compound
595,5,Compound
596,5,Compound
597,8,Compound
598,4,Compound
599,8,Compound
600,4,Compound
601,5,Compound
602,4,Compound
603,7,Compound
604,7,Compound
605,4,Compound
606,7,Compound
607,5,Compound
608,3,Compound
609,7,Compound
610,4,Compound
611,5,Compound
612,5,Compound
613,5,Compound
614,7,Compound
615,3,Compound
616,4,Compound
617,10,Compound
618,7,Compound
619,3,Compound
620,3,Compound
621,5,Compound
622,5,Compound
623,4,Compound
624,7,Compound
625,5,Compound
626,21,Compound
627,4,Compound
628,4,Compound
629,7,Compound
630,4,Compound
631,4,Compound
632,5,Compound
633,5,Compound
634,4,Compound
635,10,Compound
636,8,Compound
637,4,Compound
638,4,Compound
639,3,Compound
640,3,Compound
641,7,Compound
642,7,Compound
643,5,Compound
644,5,Compound
645,4,Compound
646,4,Compound
647,5,Compound
648,8,Compound
649,9,Compound
650,5,Compound
651,3,Compound
652,8,Compound
653,3,Compound
654,4,Compound
655,7,Compound
656,2,Compound
657,5,Compound
658,6,Compound
659,8,Compound
660,3,Compound
661,7,Compound
662,5,Compound
663,3,Compound
664,5,Compound
665,4,Compound
666,6,Compound
667,5,Compound
668,7,Compound
669,7,Compound
670,4,Compound
671,4,Compound
672,4,Compound
673,7,Compound
674,7,Compound
675,8,Compound
676,4,Compound
677,3,Compound
678,3,Compound
679,3,Compound
680,8,Compound
681,7,Compound
682,3,Compound
683,3,Compound
684,5,Compound
685,4,Compound
686,3,Compound
687,9,Compound
688,3,Compound
689,3,Compound
690,4,Compound
691,3,Compound
692,3,Compound
693,4,Compound
694,4,Compound
695,4,Compound
696,3,Compound
697,7,Compound
698,3,Compound
699,7,Compound
700,8,Compound
701,5,Compound
702,3,Compound
703,8,Compound
704,7,Compound
705,5,Compound
706,8,Compound
707,7,Compound
708,7,Compound
709,5,Compound
710,5,Compound
711,8,Compound
712,5,Compound
713,5,Compound
714,3,Compound
715,4,Compound
716,7,Compound
717,4,Compound
718,7,Compound
719,5,Compound
720,4,Compound
721,5,Compound
722,4,Compound
723,6,Compound
724,3,Compound
725,4,Compound
726,7,Compound
727,5,Compound
728,4,Compound
729,4,Compound
730,3,Compound
731,8,Compound
732,5,Compound
733,5,Compound
734,4,Compound
735,7,Compound
736,7,Compound
737,7,Compound
738,3,Compound
739,5,Compound
740,4,Compound
741,4,Compound
742,7,Compound
743,5,Compound
744,8,Compound
745,3,Compound
746,4,Compound
747,3,Compound
748,5,Compound
749,4,Compound
750,3,Compound
751,3,Compound
752,3,Compound
753,7,Compound
754,5,Compound
755,5,Compound
756,3,Compound
757,3,Compound
758,4,Compound
759,7,Compound
760,4,Compound
761,4,Compound
762,8,Compound
763,4,Compound
764,8,Compound
765,4,Compound
766,7,Compound
767,4,Compound
768,3,Compound
769,3,Compound
770,8,Compound
771,7,Compound
772,8,Compound
773,3,Compound
774,3,Compound
775,3,Compound
776,3,Compound
777,5,Compound
778,4,Compound
779,4,Compound
780,5,Compound
781,7,Compound
782,4,Compound
783,7,Compound
784,143,Compound
785,6,Compound
786,5,Compound
787,5,Compound
788,7,Compound
789,5,Compound
790,7,Compound
791,3,Compound
792,3,Compound
793,6,Compound
794,4,Compound
795,7,Compound
796,6,Compound
797,7,Compound
798,10,Compound
799,4,Compound
800,4,Compound
801,4,Compound
802,4,Compound
803,7,Compound
804,3,Compound
805,4,Compound
806,8,Compound
807,8,Compound
808,7,Compound
809,4,Compound
810,4,Compound
811,6,Compound
812,6,Compound
813,3,Compound
814,4,Compound
815,3,Compound
816,5,Compound
817,3,Compound
818,5,Compound
819,3,Compound
820,5,Compound
821,3,Compound
822,3,Compound
823,7,Compound
824,4,Compound
825,8,Compound
826,3,Compound
827,4,Compound
828,3,Compound
829,5,Compound
830,7,Compound
831,4,Compound
832,5,Compound
833,8,Compound
834,7,Compound
835,3,Compound
836,3,Compound
837,5,Compound
838,5,Compound
839,3,Compound
840,7,Compound
841,7,Compound
842,6,Compound
843,7,Compound
844,4,Compound
845,14,Compound
846,5,Compound
847,3,Compound
848,6,Compound
849,3,Compound
850,5,Compound
851,9,Compound
852,4,Compound
853,7,Compound
854,4,Compound
855,5,Compound
856,7,Compound
857,3,Compound
858,4,Compound
859,13,Compound
860,4,Compound
861,5,Compound
862,5,Compound
863,3,Compound
864,5,Compound
865,8,Compound
866,3,Compound
867,10,Compound
868,4,Compound
869,5,Compound
870,3,Compound
871,7,Compound
872,4,Compound
873,7,Compound
874,15,Compound
875,7,Compound
876,5,Compound
877,5,Compound
878,3,Compound
879,8,Compound
880,3,Compound
881,11,Compound
882,2,Compound
883,5,Compound
884,8,Compound
885,5,Compound
886,5,Compound
887,3,Compound
888,4,Compound
889,3,Compound
890,3,Compound
891,4,Compound
892,3,Compound
893,6,Compound
894,7,Compound
895,4,Compound
896,8,Compound
897,2,Compound
898,8,Compound
899,2,Compound
900,5,Compound
901,5,Compound
902,7,Compound
903,3,Compound
904,5,Compound
905,7,Compound
906,7,Compound
907,5,Compound
908,7,Compound
909,7,Compound
910,5,Compound
911,5,Compound
912,7,Compound
913,3,Compound
914,3,Compound
915,4,Compound
916,7,Compound
917,7,Compound
918,3,Compound
919,4,Compound
920,6,Compound
921,9,Compound
922,7,Compound
923,7,Compound
924,4,Compound
925,4,Compound
926,8,Compound
927,3,Compound
928,3,Compound
929,5,Compound
930,4,Compound
931,4,Compound
932,6,Compound
933,4,Compound
934,5,Compound
935,9,Compound
936,11,Compound
937,5,Compound
938,8,Compound
939,3,Compound
940,5,Compound
941,8,Compound
942,5,Compound
943,4,Compound
944,3,Compound
945,8,Compound
946,5,Compound
947,7,Compound
948,4,Compound
949,4,Compound
950,4,Compound
951,5,Compound
952,5,Compound
953,3,Compound
954,5,Compound
955,3,Compound
956,4,Compound
957,10,Compound
958,4,Compound
959,7,Compound
960,8,Compound
961,7,Compound
962,3,Compound
963,4,Compound
964,5,Compound
965,4,Compound
966,4,Compound
967,7,Compound
968,5,Compound
969,3,Compound
970,5,Compound
971,5,Compound
972,8,Compound
973,5,Compound
974,7,Compound
975,3,Compound
976,6,Compound
977,3,Compound
978,4,Compound
979,4,Compound
980,7,Compound
981,4,Compound
982,3,Compound
983,5,Compound
984,4,Compound
985,4,Compound
986,3,Compound
987,3,Compound
988,3,Compound
989,5,Compound
990,7,Compound
991,5,Compound
992,5,Compound
993,3,Compound
994,4,Compound
995,4,Compound
996,3,Compound
997,3,Compound
998,3,Compound
999,4,Compound
1000,3,Compound
1001,7,Compound
1002,6,Compound
1003,8,Compound
1004,4,Compound
1005,4,Compound
1006,3,Compound
1007,3,Compound
1008,2,Compound
1009,4,Compound
1010,8,Compound
1011,7,Compound
