Model,Protocol,Overall Top10 1:100 (%),Compound Top10 1:100 (%),Gene Top10 1:100 (%),Delta overall vs current (pp),Note
"2 adapters, compound-favored",Architecture ablation,59.6,71.9,47.2,+0.1,2 adapters: compound / gene perturbation
CGP-Align,Batch and loss-weight ablation,59.4,71.0,47.9,+0.0,Architecture and sampling variant
"3 adapters, inverted batch",Architecture ablation,59.4,71.3,47.5,-0.0,Compound-focused batch schedule
"3 adapters, inverted batch + equal loss",Batch and loss-weight ablation,59.4,71.3,47.5,-0.0,Architecture and sampling variant
"3 adapters, original schedule",Gene-branch architecture ablation,59.0,71.6,46.5,-0.4,Architecture and sampling variant
"3 adapters, equal loss",Architecture ablation,59.0,72.0,46.1,-0.4,Equal loss weighting
"3 adapters, equal batch/loss",Batch and loss-weight ablation,58.9,71.2,46.6,-0.6,Architecture and sampling variant
3 adapters + profile bridge 0.10,Profile-bridge ablation,58.7,71.4,46.0,-0.7,Profile-neighbour bridge variant
3 adapters + profile bridge 0.25,Profile-bridge ablation,58.6,71.7,45.6,-0.8,Profile-neighbour bridge variant
"2 adapters, original schedule",Gene-branch architecture ablation,58.6,72.3,44.9,-0.8,Architecture and sampling variant
"balanced, d=256, source-aware, reagent-level",Historical architecture control,58.6,71.7,45.4,-0.9,
3 adapters + profile bridge 0.05,Profile-bridge ablation,58.5,72.0,45.0,-0.9,Profile-neighbour bridge variant
"3 adapters, equal batch",Architecture ablation,58.5,70.6,46.3,-1.0,Equal compound and gene batch sizes
Source-free control,Architecture ablation,58.3,69.1,47.4,-1.2,Compound-focused batch schedule
"Source-free, inverted batch + equal loss",Source-encoding ablation,58.3,69.1,47.4,-1.2,No profile-source adapter
"gene-weight 2.0, d=256, source-aware, reagent-level",Historical architecture control,58.2,70.9,45.5,-1.2,
Source-embedding baseline,Profile-bridge ablation,58.1,70.7,45.5,-1.3,Source-embedding baseline
Source-embedding baseline,Profile-bridge ablation,58.1,,,-1.3,Source-embedding baseline
"balanced, d=128, source-aware, reagent-level",Historical architecture control,58.0,71.4,44.5,-1.5,
"gene-weight 1.5, d=256, source-aware, reagent-level",Historical architecture control,57.9,71.1,44.8,-1.5,
"Profile-bridge variant, weight 0.25",Profile-bridge ablation,57.9,,,-1.5,Profile-neighbour bridge variant
"Source-free, compound-favored",Source-encoding ablation,57.8,69.4,46.1,-1.7,No profile-source adapter
"Source-dropout variant, rate 0.30",Profile-bridge ablation,57.6,,,-1.8,Profile-source dropout variant
"Source-free, equal loss",Source-encoding ablation,57.6,68.7,46.4,-1.9,No profile-source adapter
Profile-bridge plus source-dropout variant,Profile-bridge ablation,57.3,,,-2.1,Profile-neighbour bridge variant
"Source-free, equal batch/loss",Source-encoding ablation,57.3,68.3,46.3,-2.1,No profile-source adapter
Source-free + source dropout 0.50,Source-encoding ablation,57.1,,,-2.3,Profile-source dropout variant
Source-free dropout 0.50 + bridge 0.10,Source-encoding ablation,57.0,,,-2.5,Profile-neighbour bridge variant
Source-free dropout 0.50 + bridge 0.05,Source-encoding ablation,57.0,,,-2.5,Profile-neighbour bridge variant
Source-free + profile bridge 0.25,Source-encoding ablation,56.9,,,-2.5,Profile-neighbour bridge variant
Source-free dropout 0.50 + bridge 0.25,Source-encoding ablation,56.8,,,-2.7,Profile-neighbour bridge variant
Source-free + source dropout 0.80,Source-encoding ablation,56.6,,,-2.8,Profile-source dropout variant
"balanced, d=128, shared-source, non-reagent",Historical architecture control,56.4,69.2,43.7,-3.0,
Source-free + profile bridge 0.05,Source-encoding ablation,56.4,,,-3.0,Profile-neighbour bridge variant
Source-free + profile bridge 0.10,Source-encoding ablation,56.4,,,-3.1,Profile-neighbour bridge variant
Source-free shared profile encoder,Source-encoding ablation,56.3,,,-3.2,sourcefree
"Source-free, original schedule",Architecture ablation,56.3,66.1,46.5,-3.2,No profile-source adapter
"Source-free, equal batch",Source-encoding ablation,56.3,65.7,46.9,-3.2,No profile-source adapter
Source-free no-adapter + dropout 0.50,Source-encoding ablation,56.2,,,-3.2,No profile-source adapter
"gene-weight 1.5, d=128, shared-source, non-reagent",Historical architecture control,55.7,68.8,42.5,-3.8,
"gene-weight 2.0, d=128, shared-source, non-reagent",Historical architecture control,55.3,66.7,44.0,-4.1,
Source-unaware adapter control,Profile-bridge ablation,55.2,,,-4.2,No profile-source adapter
"balanced, d=256, shared-source, non-reagent",Historical architecture control,54.9,65.6,44.2,-4.5,
Gene-only ESM-2 650M,Historical architecture control,46.6,,46.6,-12.9,Single-branch reference
Gene-branch control,Historical architecture control,46.4,,46.4,-13.0,Historical architecture control
Earlier CGP-Align balanced configuration,Historical architecture control,45.4,,45.4,-14.0,Historical architecture control
MoLFormer reference encoder,Reference encoder control,42.4,57.0,27.9,-17.0,Reference encoder control
Source-unaware joint model,Historical architecture control,39.9,,39.9,-19.6,diagnostic control
MoCoP-style graph encoder control,Reference encoder control,34.6,60.0,9.3,-24.8,Reference encoder control
"gene-branch control, steps=32",Historical architecture control,33.5,20.6,46.5,-25.9,
Morgan fingerprint control,Reference encoder control,33.4,57.3,9.5,-26.0,Reference encoder control
"gene-branch control, steps=64",Historical architecture control,32.6,18.7,46.4,-26.9,
