independent_run,metric,value,random_ranking,candidate_setting
31,Mean Top-1,0.19601224248424798,0.030352228788922103,1:100
31,HMean Top-1,0.13851080218355133,0.01657038895625554,1:100
31,Mean Top-10,0.602854496148659,0.2597795672380929,1:100
31,HMean Top-10,0.5502731845304462,0.16027163956606616,1:100
37,Mean Top-1,0.20759581624833823,0.030776105638052054,1:100
37,HMean Top-1,0.14509006921322484,0.01661002380350568,1:100
37,Mean Top-10,0.5907518011454052,0.2623955883773712,1:100
37,HMean Top-10,0.5285110273955576,0.16061555453333387,1:100
41,Mean Top-1,0.20798525807835047,0.03053409609402266,1:100
41,HMean Top-1,0.1415330820322586,0.01658697219735797,1:100
41,Mean Top-10,0.5868909865383423,0.26089657828262947,1:100
41,HMean Top-10,0.5228058904752109,0.16041545499666537,1:100
