independent_run,direction,short,branch,candidate_setting,metric,value,sd_within_repeats,num_queries,num_gallery,ratio,repeats,positive_count_mean
31,Compound to profile,C-P,compound-profile,1:100,Top1,0.37243047158403864,0.002122681935989715,11578,63682,100,10,5.500259112109172
31,Compound to profile,C-P,compound-profile,1:100,Top10,0.8352219727068579,0.0020978659701206145,11578,63682,100,10,5.500259112109172
31,Profile to compound,P-C,compound-profile,1:100,Top1,0.1350570019785811,0.0006377071485059074,63682,11578,100,10,1.0
31,Profile to compound,P-C,compound-profile,1:100,Top10,0.5117270186237869,0.000527715082029467,63682,11578,100,10,1.0
31,Gene to profile,G-P,gene-profile,1:100,Top1,0.20463167181296865,0.005092690270373319,2267,11799,100,10,5.2046757829730925
31,Gene to profile,G-P,gene-profile,1:100,Top10,0.6895897662108514,0.0018192845723247703,2267,11799,100,10,5.2046757829730925
31,Profile to gene,P-G,gene-profile,1:100,Top1,0.0719298245614035,0.0015769742534498781,11799,2267,100,10,1.0
31,Profile to gene,P-G,gene-profile,1:100,Top10,0.3748792270531401,0.0018813626684526777,11799,2267,100,10,1.0
37,Compound to profile,C-P,compound-profile,1:100,Top1,0.4091121091725687,0.0023406460528588636,11578,66395,100,10,5.734582829504232
37,Compound to profile,C-P,compound-profile,1:100,Top10,0.8465019865261704,0.0010070986938779361,11578,66395,100,10,5.734582829504232
37,Profile to compound,P-C,compound-profile,1:100,Top1,0.15641238045033512,0.0012436720164233134,66395,11578,100,10,1.0
37,Profile to compound,P-C,compound-profile,1:100,Top10,0.5491181564876872,0.00047048659808298645,66395,11578,100,10,1.0
37,Gene to profile,G-P,gene-profile,1:100,Top1,0.19071936056838365,0.005190825528565924,2252,11620,100,10,5.159857904085258
37,Gene to profile,G-P,gene-profile,1:100,Top10,0.6323268206039077,0.0036509422364288543,2252,11620,100,10,5.159857904085258
37,Profile to gene,P-G,gene-profile,1:100,Top1,0.0741394148020654,0.0006768052578668398,11620,2252,100,10,1.0
37,Profile to gene,P-G,gene-profile,1:100,Top10,0.33506024096385545,0.0013564526309042331,11620,2252,100,10,1.0
41,Compound to profile,C-P,compound-profile,1:100,Top1,0.41183278631888054,0.0020749831155344356,11578,65135,100,10,5.625755743651753
41,Compound to profile,C-P,compound-profile,1:100,Top10,0.8483848678528243,0.0016443130957211449,11578,65135,100,10,5.625755743651753
41,Profile to compound,P-C,compound-profile,1:100,Top1,0.1557426882628387,0.0007898841031879284,65135,11578,100,10,1.0
41,Profile to compound,P-C,compound-profile,1:100,Top10,0.5520119751285791,0.0010194269824972241,65135,11578,100,10,1.0
41,Gene to profile,G-P,gene-profile,1:100,Top1,0.1942655491839435,0.004580769293602887,2267,11699,100,10,5.160564622849581
41,Gene to profile,G-P,gene-profile,1:100,Top10,0.6187031318923688,0.003451962513721012,2267,11699,100,10,5.160564622849581
41,Profile to gene,P-G,gene-profile,1:100,Top1,0.07010000854773912,0.0014718253680931774,11699,2267,100,10,1.0
41,Profile to gene,P-G,gene-profile,1:100,Top10,0.3284639712795966,0.002054678071329664,11699,2267,100,10,1.0
