auprc,auprc_mean,auprc_sd,auprc_se,auroc,auroc_mean,auroc_sd,auroc_se,display,endpoint,independent_run,mean_auprc,mean_auroc,mean_lift_at_top50,method,method_label,n_independent_runs,n_task,representation,run_mean_auprc,run_mean_lift_at_top50,sd_endpoint_auprc,sd_endpoint_auroc,sem_auprc,sem_lift_at_top50,source,source_file,task,tasks
,0.432764403817564,0.177390080001499,0.0793312554834953,,0.834756995416284,0.0456054826821249,0.0203953918847842,AtomPair,,,,,,,,,5,,,,,,,,,figure5a_sr5_representation_mean_metrics.csv,,
,0.413690348928384,0.188200393170268,0.0841657745041813,,0.823949499248424,0.0529497183753561,0.0236798339353532,Avalon,,,,,,,,,5,,,,,,,,,figure5a_sr5_representation_mean_metrics.csv,,
,0.503974129806189,0.157258294425319,0.0703280472721381,,0.867212735244148,0.0410319904522973,0.0183500639806918,CGP-Align,,,,,,,,,5,,,,,,,,,figure5a_sr5_representation_mean_metrics.csv,,
,0.397175449943328,0.169475273505635,0.0757916464127939,,0.821786691256282,0.0383514652688019,0.0171512966755527,Morgan,,,,,,,,,5,,,,,,,,,figure5a_sr5_representation_mean_metrics.csv,,
,0.43051715098615,0.189829414356746,0.0848942949261318,,0.838870852846596,0.0515621698680854,0.0230593033784861,NYAN,,,,,,,,,5,,,,,,,,,figure5a_sr5_representation_mean_metrics.csv,,
,0.465889496024331,0.191777755287077,0.0857656194788446,,0.860417903069831,0.0484217940002222,0.0216548845953977,RDKit2D,,,,,,,,,5,,,,,,,,,figure5a_sr5_representation_mean_metrics.csv,,
0.508371057288305,,,,0.817709239254523,,,,AtomPair,SR-ARE,,,,,,,,,AtomPair2048,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-ARE,
0.699071902767025,,,,0.899940280589558,,,,AtomPair,SR-MMP,,,,,,,,,AtomPair2048,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-MMP,
0.253077024513691,,,,0.774407493594157,,,,AtomPair,SR-HSE,,,,,,,,,AtomPair2048,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-HSE,
0.395163053795444,,,,0.846489842220634,,,,AtomPair,SR-p53,,,,,,,,,AtomPair2048,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-p53,
0.308138980723356,,,,0.835238121422549,,,,AtomPair,SR-ATAD5,,,,,,,,,AtomPair2048,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-ATAD5,
0.497325334168209,,,,0.812314699422324,,,,Avalon,SR-ARE,,,,,,,,,Avalon1024,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-ARE,
0.689550353311932,,,,0.892296854050861,,,,Avalon,SR-MMP,,,,,,,,,Avalon1024,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-MMP,
0.23119024708423,,,,0.751254225014102,,,,Avalon,SR-HSE,,,,,,,,,Avalon1024,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-HSE,
0.394525858459571,,,,0.854252679457453,,,,Avalon,SR-p53,,,,,,,,,Avalon1024,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-p53,
0.255859951617976,,,,0.809629038297382,,,,Avalon,SR-ATAD5,,,,,,,,,Avalon1024,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-ATAD5,
0.583805662668515,,,,0.847526364425307,,,,CGP-Align,SR-ARE,,,,,,,,,CGP-Align,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-ARE,
0.729339988017439,,,,0.913380105959434,,,,CGP-Align,SR-MMP,,,,,,,,,CGP-Align,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-MMP,
0.364337701538524,,,,0.806881961298189,,,,CGP-Align,SR-HSE,,,,,,,,,CGP-Align,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-HSE,
0.486593543945349,,,,0.885323320504148,,,,CGP-Align,SR-p53,,,,,,,,,CGP-Align,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-p53,
0.355793752861119,,,,0.882951924033663,,,,CGP-Align,SR-ATAD5,,,,,,,,,CGP-Align,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-ATAD5,
0.477437641906803,,,,0.8013888456909,,,,Morgan,SR-ARE,,,,,,,,,Morgan2048,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-ARE,
0.649228742102448,,,,0.875006808000911,,,,Morgan,SR-MMP,,,,,,,,,Morgan2048,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-MMP,
0.242045803493487,,,,0.772995493003918,,,,Morgan,SR-HSE,,,,,,,,,Morgan2048,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-HSE,
0.359336713341802,,,,0.837733638080126,,,,Morgan,SR-p53,,,,,,,,,Morgan2048,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-p53,
0.257828348872101,,,,0.821808671505554,,,,Morgan,SR-ATAD5,,,,,,,,,Morgan2048,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-ATAD5,
0.540014085542776,,,,0.831950388289908,,,,RDKit2D,SR-ARE,,,,,,,,,RDKit2D,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-ARE,
0.752423958829405,,,,0.926612649464346,,,,RDKit2D,SR-MMP,,,,,,,,,RDKit2D,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-MMP,
0.3034445006469,,,,0.802867862998745,,,,RDKit2D,SR-HSE,,,,,,,,,RDKit2D,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-HSE,
0.448897002917574,,,,0.888742043502748,,,,RDKit2D,SR-p53,,,,,,,,,RDKit2D,,,,,,,fixed_extratrees_representation_benchmark,figure5b_sr5_endpoint_auprc_heatmap.csv,Endocrine Disruption_SR-p53,
