source,source_name,pair_id,pair_rank,pair_label,compound_id,compound_name,compound_short_name,compound_name_source,compound_smiles,compound_label,gene_symbol,compound_gene_cosine,rank,n_edges,similarity_percentile,rank_label,pair_label_plot,source_curve,compound_x,compound_y,gene_x,gene_y
dgidb,DGIdb,Reference 1,1,Loperamide–OPRM1,RDOIQAHITMMDAJ-UHFFFAOYSA-N,Loperamide,Loperamide,local metadata / PubChem,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,Loperamide,OPRM1,0.06048940494656563,3354,11424,70.64513305322129,#3354/11424,"Loperamide
OPRM1",-0.16,-0.02529864135644141,-0.274826005480771,-0.27812300507592636,-0.06562417176097671
dgidb,DGIdb,Reference 2,2,Imidapril–CYP11B2,KLZWOWYOHUKJIG-UHFFFAOYSA-N,Imidapril,Imidapril,ChEMBL,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(=O)N(C)CC1C(=O)O,Imidapril,CYP11B2,0.036488596349954605,4710,11424,58.775385154061624,#4710/11424,"Imidapril
CYP11B2",-0.16,0.6365573731101234,0.10291969075041378,-0.21026557921144215,0.025451465097597322
dgidb,DGIdb,Reference 3,3,Abemaciclib–CCND3,UZWDCWONPYILKI-UHFFFAOYSA-N,Abemaciclib,Abemaciclib,local metadata / PubChem,CCN1CCN(Cc2ccc(N=c3nc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)c(F)c[nH]3)nc2)CC1,Abemaciclib,CCND3,0.04226871207356453,4371,11424,61.742822128851536,#4371/11424,"Abemaciclib
CCND3",-0.16,0.31270678923551715,-0.6436920343419831,-0.25510707167646335,-0.07390352443886136
drugrep,DrugRep,Reference 1,1,DL-Leu–BCAT2,ROHFNLRQFUQHCH-UHFFFAOYSA-N,DL-leucine,DL-Leu,local metadata / PubChem,CC(C)CC(N)C(=O)O,DL-Leu,BCAT2,0.04153645783662796,2002,5550,63.93693693693694,#2002/5550,"DL-Leu
BCAT2",-0.08,0.6574130452541458,0.37137293858293785,-0.07297354723967549,-0.013347912432187444
drugrep,DrugRep,Reference 2,2,Loperamide–OPRM1,RDOIQAHITMMDAJ-UHFFFAOYSA-N,Loperamide,Loperamide,local metadata / PubChem,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,Loperamide,OPRM1,0.06048940494656563,1475,5550,73.43243243243242,#1475/5550,"Loperamide
OPRM1",-0.08,-0.02529864135644141,-0.274826005480771,-0.27812300507592636,-0.06562417176097671
drugrep,DrugRep,Reference 3,3,Arcyriaflavin A–CCND1,KAJXOWFGKYKMMZ-UHFFFAOYSA-N,Arcyriaflavin A,Arcyriaflavin A,local metadata / PubChem,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,Arcyriaflavin A,CCND1,0.09271331131458282,855,5550,84.6036036036036,#855/5550,"Arcyriaflavin A
CCND1",-0.08,0.06479287365936057,-0.41067304775371843,-0.23609349665804982,-0.06080256431404141
hetionet,Hetionet,Reference 1,1,Loperamide–ELOVL6,RDOIQAHITMMDAJ-UHFFFAOYSA-N,Loperamide,Loperamide,local metadata / PubChem,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,Loperamide,ELOVL6,0.017484720796346664,3994,8484,52.929042904290434,#3994/8484,"Loperamide
ELOVL6",0.06,-0.02529864135644141,-0.274826005480771,-0.33021285951562673,0.13281386400338838
hetionet,Hetionet,Reference 2,2,Ceforanide–ECH1,SLAYUXIURFNXPG-UHFFFAOYSA-N,Ceforanide,Ceforanide,Cell Painting metadata,NCc1ccccc1CC(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CSC12,Ceforanide,ECH1,-0.0664370208978653,7561,8484,10.885195662423385,#7561/8484,"Ceforanide
ECH1",0.06,0.6948117741106643,0.2829032136590868,-0.27083395162494106,0.03004575072549672
hetionet,Hetionet,Reference 3,3,Ile–BCAT2,AGPKZVBTJJNPAG-UHFFFAOYSA-N,Isoleucine,Ile,local metadata / PubChem,CCC(C)C(N)C(=O)O,Ile,BCAT2,0.03714611008763313,2931,8484,65.45851013672797,#2931/8484,"Ile
BCAT2",0.06,0.6726111555269303,0.3040311592917141,-0.07297354723967549,-0.013347912432187444
openbiolink,OpenBioLink,Reference 1,1,CGP 57380–CCND1,UQPMANVRZYYQMD-UHFFFAOYSA-N,CGP 57380,CGP 57380,local metadata / PubChem,N=c1[nH]cnc2[nH][nH]c(=Nc3ccc(F)cc3)c12,CGP 57380,CCND1,0.07839353382587433,2528,14774,82.89224312982266,#2528/14774,"CGP 57380
CCND1",0.0,0.22545336901611537,-0.3512032435937643,-0.23609349665804982,-0.06080256431404141
