task,representation,model,fold,n_train,n_test,positive_train,positive_test,auroc,auprc
Endocrine Disruption_SR-ARE,CGP_sep_k32,extratrees,0,4429,1108,696,174,0.8408956656575353,0.5741562841125049
Endocrine Disruption_SR-ARE,CGP_sep_k32,extratrees,1,4429,1108,696,174,0.8428677791725122,0.5320019709272967
Endocrine Disruption_SR-ARE,CGP_sep_k32,extratrees,2,4430,1107,696,174,0.8325448744009559,0.5499726764258737
Endocrine Disruption_SR-ARE,CGP_sep_k32,extratrees,3,4430,1107,696,174,0.8492287886067683,0.5944391988691189
Endocrine Disruption_SR-ARE,CGP_sep_k32,extratrees,4,4430,1107,696,174,0.826883985659903,0.5463438474968113
Endocrine Disruption_SR-ATAD5,CGP_sep_k32,extratrees,0,5389,1348,193,49,0.9057988091310427,0.504293965282037
Endocrine Disruption_SR-ATAD5,CGP_sep_k32,extratrees,1,5389,1348,193,49,0.8620288762156133,0.2687140119110004
Endocrine Disruption_SR-ATAD5,CGP_sep_k32,extratrees,2,5390,1347,194,48,0.8708622016936105,0.3503807413662686
Endocrine Disruption_SR-ATAD5,CGP_sep_k32,extratrees,3,5390,1347,194,48,0.8622979214780602,0.29236049647792595
Endocrine Disruption_SR-ATAD5,CGP_sep_k32,extratrees,4,5390,1347,194,48,0.8883756735950732,0.4426190572005407
Endocrine Disruption_SR-HSE,CGP_sep_k32,extratrees,0,4916,1229,267,67,0.8109923703342152,0.41459127414517466
Endocrine Disruption_SR-HSE,CGP_sep_k32,extratrees,1,4916,1229,267,67,0.8226744932822977,0.37008616968510877
Endocrine Disruption_SR-HSE,CGP_sep_k32,extratrees,2,4916,1229,267,67,0.8034783055462789,0.3649272512796878
Endocrine Disruption_SR-HSE,CGP_sep_k32,extratrees,3,4916,1229,267,67,0.8097657153132787,0.34329246336238606
Endocrine Disruption_SR-HSE,CGP_sep_k32,extratrees,4,4916,1229,268,66,0.7969201907293051,0.37255664122015475
Endocrine Disruption_SR-MMP,CGP_sep_k32,extratrees,0,4423,1106,700,175,0.9174528157127513,0.7149339791133471
Endocrine Disruption_SR-MMP,CGP_sep_k32,extratrees,1,4423,1106,700,175,0.895998158661961,0.670787339949153
Endocrine Disruption_SR-MMP,CGP_sep_k32,extratrees,2,4423,1106,700,175,0.9004541967162804,0.7057529171191058
Endocrine Disruption_SR-MMP,CGP_sep_k32,extratrees,3,4423,1106,700,175,0.9208439466011968,0.7452095378182815
Endocrine Disruption_SR-MMP,CGP_sep_k32,extratrees,4,4424,1105,700,175,0.909852534562212,0.7254974715607172
Endocrine Disruption_SR-p53,CGP_sep_k32,extratrees,0,5156,1290,314,79,0.9021469859620149,0.5189917619541198
Endocrine Disruption_SR-p53,CGP_sep_k32,extratrees,1,5157,1289,314,79,0.8997227743487812,0.43196331245591313
Endocrine Disruption_SR-p53,CGP_sep_k32,extratrees,2,5157,1289,314,79,0.8691913380060676,0.4153389656878336
Endocrine Disruption_SR-p53,CGP_sep_k32,extratrees,3,5157,1289,315,78,0.8509972686273264,0.40588772014661734
Endocrine Disruption_SR-p53,CGP_sep_k32,extratrees,4,5157,1289,315,78,0.8787556374261576,0.4867118810520915
