method,query_idx,retrieved_idx,pair_a,pair_b,rank,method_score,prism_response_corr,top_gene_k,shared_top_gene_count,shared_top_gene_jaccard,shared_gene_hypergeom_p,shared_gene_neglog10p,num_category_hits,num_unique_categories,dominant_categories,query_name,retrieved_name,query_moa,retrieved_moa,query_targets,retrieved_targets,known_target_hits_top_gene,known_target_hits_shared_gene,shared_gene_symbols_top20
AtomPair,273,387,273,387,1,0.4729166626930237,0.5797893404960632,50,32,0.47058823529411764,1.1262266741723024e-62,61.9483741908037,3,2,Cell cycle/mitosis:2; Epigenetic/chromatin:1,BX-912,tozasertib,pyruvate dehydrogenase kinase inhibitor,"Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor","CDK2, CHEK1, GSK3B, KDR, PDK1, PDPK1","AURKA, AURKB, AURKC, LCK",PDPK1,,WRN;PI4KA;REV3L;SOCS2;CHN2;SYT11;RUNX3;RUNX2;CISH;MED14;AFF3;CDC25A;MDM2;SOCS6;POLQ;TRRAP;DDX56;GRB7;RUNX1;USP24
AtomPair,688,717,688,717,1,0.4581939876079559,0.4838117063045501,50,13,0.14942528735632185,3.1125054830830187e-18,17.506889874829348,4,2,Cell cycle/mitosis:3; Nuclear receptor/xenobiotic:1,scriptaid,nexturastat-a,HDAC inhibitor,HDAC inhibitor,"HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9","HDAC1, HDAC6",,,SOCS6;TRRAP;ARHGEF26;FBXO5;CDC25A;DDX56;CDC42EP3;RACGAP1;CCNA1;SYT4;SYT11;SRA1;POLQ
AtomPair,530,1238,530,1238,1,0.4636363685131073,0.4725101590156555,50,0,0.0,1.0,-0.0,0,0,,KX2-391,barasertib-HQPA,"src inhibitor, tubulin polymerization inhibitor",Aurora kinase inhibitor,SRC,AURKB,,,
AtomPair,1564,1655,1564,1655,1,0.4757281541824341,0.445332258939743,50,5,0.05263157894736842,1.8838077889980352e-05,4.724963411753355,0,0,,proflavine-hemisulfate,9-aminoacridine,topical anesthetic,,F2,,,,PNPLA5;B3GALNT1;TNFRSF17;RNF152;SKP2
AtomPair,1637,187,187,1637,1,0.4679335057735443,0.3966984450817108,50,13,0.14942528735632185,3.1125054830830187e-18,17.506889874829348,2,1,Nuclear receptor/xenobiotic:2,GSK2126458,amsacrine,"mTOR inhibitor, PI3K inhibitor",topoisomerase inhibitor,"MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG","KCNH2, TOP2A",,,CHN2;TAGAP;PRPF8;SOCS2;REV3L;AFF3;RACGAP1;SOCS6;RUNX2;MED14;ARHGEF26;STARD10;FRMD3
AtomPair,1169,1128,1128,1169,1,0.3829431533813476,0.3893680870532989,50,15,0.17647058823529413,4.846287989994581e-22,21.31459078154205,2,2,Cell cycle/mitosis:1; MAPK/RTK:1,TW-37,gossypol,BCL inhibitor,"BCL inhibitor, MCL1 inhibitor","BCL2, BCL2L1, MCL1",BCL2,,,REV3L;THPO;CCNA1;SRC;BLK;SGK3;CHN2;NANOG;NCKIPSD;MAPKAPK2;MED13;ISYNA1;PRPF8;USP10;PPP1R3C
AtomPair,1486,116,116,1486,1,0.4743150770664215,0.3865062892436981,50,35,0.5384615384615384,1.712975643552738e-71,70.76624881213422,7,5,Cell cycle/mitosis:2; Nuclear receptor/xenobiotic:2; DNA damage/repair:1; MAPK/RTK:1,MK-1775,NVP-TAE226,WEE1 kinase inhibitor,protein tyrosine kinase inhibitor,WEE1,PTK2,WEE1,,CHN2;RUNX3;AFF3;REV3L;MED14;SYT11;WRN;RUNX2;PI4KA;SOCS2;RUNX1;SOCS6;TAGAP;CISH;POLQ;MDM2;DDX56;PIK3R3;CDC25A;AFF1
AtomPair,481,358,358,481,1,0.3913894295692444,0.3858096003532409,50,27,0.3698630136986301,3.636436345798233e-49,48.43932401015787,2,2,Microtubule:1; PI3K/AKT/mTOR:1,WAY-600,ZSTK-474,mTOR inhibitor,PI3K inhibitor,MTOR,"PIK3CB, PIK3CD, PIK3CG",,,AFF3;RUNX3;AFF1;MED14;CHN2;MDM2;DDX56;RUNX2;SYT12;REV3L;RUNX1;SOCS3;E2F4;PI4KA;CREBBP;SOCS2;SYT11;VGLL4;SOCS6;NSD1
AtomPair,529,1299,529,1299,1,0.4388714730739593,0.3798365592956543,50,17,0.20481927710843373,4.6506934651641873e-26,25.33248228460693,1,1,Cell cycle/mitosis:1,VER-49009,TAS-103,HSP inhibitor,topoisomerase inhibitor,HSP90AA1,TOP1,,,CHN2;SYT11;SYT4;AFF3;PI4KA;HS1BP3;MED14;MDM2;REV3L;TNFRSF17;CRKL;AFF1;SYT1;CDC25A;TRIP10;DEF6;CSK
AtomPair,1110,33,33,1110,1,0.5077356100082397,0.3771618604660034,50,18,0.21951219512195122,3.819985189669634e-28,27.417938320872903,1,1,Epigenetic/chromatin:1,torin-1,ponatinib,mTOR inhibitor,"Bcr-Abl kinase inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor",MTOR,"ABL1, BCR, FGFR1, FGFR2, FGFR3, FGFR4, FLT3, KDR, KIT, LCK, LYN, PDGFRA, RET, SRC, TEK",LYN;MTOR,,CHN2;REV3L;PRPF8;TAGAP;CHD6;SOCS6;POLQ;MDM2;SYT11;AFF3;DDX56;STAG1;EHMT1;WASF1;E2F4;MED13;EIF4G1;KMT2C
