method,pair_a,pair_b,mechanism_category,shared_gene_count,pair_shared_genes
AtomPair,273,387,Cell cycle/mitosis,2,32
AtomPair,273,387,Epigenetic/chromatin,1,32
AtomPair,688,717,Cell cycle/mitosis,3,13
AtomPair,688,717,Nuclear receptor/xenobiotic,1,13
AtomPair,187,1637,Nuclear receptor/xenobiotic,2,13
AtomPair,1128,1169,Cell cycle/mitosis,1,15
AtomPair,1128,1169,MAPK/RTK,1,15
AtomPair,116,1486,Cell cycle/mitosis,2,35
AtomPair,116,1486,Nuclear receptor/xenobiotic,2,35
AtomPair,116,1486,DNA damage/repair,1,35
AtomPair,116,1486,MAPK/RTK,1,35
AtomPair,116,1486,PI3K/AKT/mTOR,1,35
AtomPair,358,481,Microtubule,1,27
AtomPair,358,481,PI3K/AKT/mTOR,1,27
AtomPair,529,1299,Cell cycle/mitosis,1,17
AtomPair,33,1110,Epigenetic/chromatin,1,18
AtomPair,1011,1235,PI3K/AKT/mTOR,2,21
AtomPair,1011,1235,Cell cycle/mitosis,1,21
AtomPair,1011,1235,Microtubule,1,21
AtomPair,191,1564,Cell cycle/mitosis,1,15
AtomPair,958,1585,Cell cycle/mitosis,2,32
AtomPair,958,1585,MAPK/RTK,2,32
AtomPair,958,1585,Nuclear receptor/xenobiotic,1,32
AtomPair,281,385,MAPK/RTK,1,16
AtomPair,281,385,Nuclear receptor/xenobiotic,1,16
AtomPair,1420,1781,Cell cycle/mitosis,1,24
AtomPair,7,1282,Cell cycle/mitosis,1,21
AtomPair,7,1282,Lipid/transport state,1,21
AtomPair,7,1282,Nuclear receptor/xenobiotic,1,21
AtomPair,51,1238,Cell cycle/mitosis,1,31
AtomPair,51,1238,MAPK/RTK,1,31
AtomPair,187,1186,Cell cycle/mitosis,3,25
AtomPair,187,1186,MAPK/RTK,1,25
AtomPair,187,1186,Microtubule,1,25
AtomPair,187,1186,Nuclear receptor/xenobiotic,1,25
AtomPair,187,1186,PI3K/AKT/mTOR,1,25
AtomPair,227,1189,Cell cycle/mitosis,2,29
AtomPair,227,1189,PI3K/AKT/mTOR,2,29
AtomPair,1161,1224,Cell cycle/mitosis,1,3
AtomPair,314,514,Cell cycle/mitosis,1,6
AtomPair,314,514,Microtubule,1,6
AtomPair,841,1081,Nuclear receptor/xenobiotic,4,29
AtomPair,841,1081,Cell cycle/mitosis,2,29
AtomPair,841,1081,DNA damage/repair,1,29
AtomPair,379,1220,Cell cycle/mitosis,1,23
AtomPair,379,1220,DNA damage/repair,1,23
AtomPair,379,1220,MAPK/RTK,1,23
AtomPair,379,1220,Nuclear receptor/xenobiotic,1,23
AtomPair,787,976,Cell cycle/mitosis,3,35
AtomPair,787,976,PI3K/AKT/mTOR,2,35
AtomPair,787,976,Nuclear receptor/xenobiotic,1,35
AtomPair,681,1112,Proteostasis,1,21
AtomPair,1175,1524,Cell cycle/mitosis,1,24
AtomPair,1175,1524,DNA damage/repair,1,24
AtomPair,1175,1524,Lipid/transport state,1,24
AtomPair,1175,1524,MAPK/RTK,1,24
AtomPair,1175,1524,PI3K/AKT/mTOR,1,24
AtomPair,841,1080,Cell cycle/mitosis,2,24
AtomPair,841,1080,Nuclear receptor/xenobiotic,2,24
AtomPair,841,1080,MAPK/RTK,1,24
AtomPair,528,1238,Cell cycle/mitosis,2,27
AtomPair,1598,1835,Cell cycle/mitosis,1,7
AtomPair,1598,1835,Lipid/transport state,1,7
AtomPair,698,1220,Cell cycle/mitosis,1,32
AtomPair,698,1220,Lipid/transport state,1,32
AtomPair,698,1220,PI3K/AKT/mTOR,1,32
AtomPair,336,513,Cell cycle/mitosis,2,21
AtomPair,385,1828,MAPK/RTK,2,30
AtomPair,385,1828,Nuclear receptor/xenobiotic,2,30
AtomPair,385,1828,DNA damage/repair,1,30
AtomPair,387,1080,Nuclear receptor/xenobiotic,2,30
AtomPair,387,1080,Cell cycle/mitosis,1,30
AtomPair,387,1080,DNA damage/repair,1,30
AtomPair,387,1080,MAPK/RTK,1,30
AtomPair,350,1047,Nuclear receptor/xenobiotic,3,26
AtomPair,350,1047,Cell cycle/mitosis,1,26
AtomPair,350,1047,Lipid/transport state,1,26
AtomPair,350,1047,MAPK/RTK,1,26
AtomPair,1285,1854,DNA damage/repair,1,27
AtomPair,861,1330,Cell cycle/mitosis,1,17
AtomPair,861,1330,Epigenetic/chromatin,1,17
AtomPair,861,1330,Microtubule,1,17
AtomPair,1189,1238,Cell cycle/mitosis,2,29
AtomPair,83,1338,Cell cycle/mitosis,3,13
AtomPair,273,841,Cell cycle/mitosis,3,30
AtomPair,273,841,PI3K/AKT/mTOR,1,30
AtomPair,320,1649,Cell cycle/mitosis,2,11
AtomPair,570,1503,Cell cycle/mitosis,2,24
AtomPair,1585,1649,Cell cycle/mitosis,3,24
AtomPair,1431,1596,Nuclear receptor/xenobiotic,2,24
AtomPair,1431,1596,Cell cycle/mitosis,1,24
AtomPair,1431,1596,Lipid/transport state,1,24
AtomPair,178,514,DNA damage/repair,1,13
AtomPair,120,1110,Epigenetic/chromatin,1,21
AtomPair,1220,1267,Lipid/transport state,1,23
AtomPair,1220,1267,PI3K/AKT/mTOR,1,23
AtomPair,479,571,Nuclear receptor/xenobiotic,5,37
AtomPair,479,571,Cell cycle/mitosis,2,37
AtomPair,479,571,PI3K/AKT/mTOR,1,37
AtomPair,713,1220,Microtubule,1,20
AtomPair,713,1220,Nuclear receptor/xenobiotic,1,20
AtomPair,93,556,MAPK/RTK,2,13
AtomPair,93,556,Cell cycle/mitosis,1,13
AtomPair,93,556,Microtubule,1,13
AtomPair,93,556,Nuclear receptor/xenobiotic,1,13
AtomPair,449,1649,Cell cycle/mitosis,1,12
AtomPair,449,1649,MAPK/RTK,1,12
AtomPair,461,886,MAPK/RTK,2,30
AtomPair,461,886,Epigenetic/chromatin,1,30
AtomPair,461,886,Lipid/transport state,1,30
AtomPair,461,886,Nuclear receptor/xenobiotic,1,30
AtomPair,1277,1486,Cell cycle/mitosis,2,20
AtomPair,1277,1486,MAPK/RTK,1,20
AtomPair,1137,1754,DNA damage/repair,1,5
AtomPair,35,232,Nuclear receptor/xenobiotic,4,34
AtomPair,35,232,Cell cycle/mitosis,1,34
AtomPair,481,1011,Cell cycle/mitosis,2,27
AtomPair,481,1011,PI3K/AKT/mTOR,2,27
AtomPair,481,1011,Microtubule,1,27
AtomPair,227,1401,Cell cycle/mitosis,2,36
AtomPair,227,1401,DNA damage/repair,2,36
AtomPair,227,1401,PI3K/AKT/mTOR,2,36
AtomPair,1486,1781,Nuclear receptor/xenobiotic,1,26
AtomPair,273,396,Cell cycle/mitosis,1,29
AtomPair,273,396,PI3K/AKT/mTOR,1,29
AtomPair,1080,1763,Cell cycle/mitosis,2,30
AtomPair,1080,1763,Lipid/transport state,1,30
AtomPair,1080,1763,PI3K/AKT/mTOR,1,30
AtomPair,1074,1339,Cell cycle/mitosis,1,10
AtomPair,87,100,Nuclear receptor/xenobiotic,1,19
AtomPair,881,1269,PI3K/AKT/mTOR,2,24
AtomPair,881,1269,Cell cycle/mitosis,1,24
AtomPair,881,1269,Nuclear receptor/xenobiotic,1,24
AtomPair,219,1052,PI3K/AKT/mTOR,1,11
AtomPair,387,396,Cell cycle/mitosis,1,32
AtomPair,387,396,MAPK/RTK,1,32
AtomPair,83,529,Cell cycle/mitosis,2,24
AtomPair,83,529,Microtubule,1,24
AtomPair,83,529,Nuclear receptor/xenobiotic,1,24
AtomPair,83,529,PI3K/AKT/mTOR,1,24
AtomPair,31,1787,Nuclear receptor/xenobiotic,3,25
AtomPair,31,1787,MAPK/RTK,1,25
AtomPair,556,1680,MAPK/RTK,1,12
AtomPair,1323,1489,Cell cycle/mitosis,2,30
AtomPair,1323,1489,Nuclear receptor/xenobiotic,2,30
AtomPair,1323,1489,DNA damage/repair,1,30
AtomPair,1323,1489,MAPK/RTK,1,30
AtomPair,83,1069,Cell cycle/mitosis,1,7
AtomPair,387,1238,Cell cycle/mitosis,2,35
AtomPair,387,1238,Epigenetic/chromatin,1,35
AtomPair,1060,1428,Nuclear receptor/xenobiotic,1,3
AtomPair,1382,1763,Cell cycle/mitosis,2,25
AtomPair,608,1073,Cell cycle/mitosis,1,33
AtomPair,608,1073,MAPK/RTK,1,33
AtomPair,33,232,Cell cycle/mitosis,2,29
AtomPair,33,232,MAPK/RTK,1,29
AtomPair,33,232,PI3K/AKT/mTOR,1,29
AtomPair,36,1571,Microtubule,1,3
AtomPair,1226,1730,Cell cycle/mitosis,1,20
AtomPair,1226,1730,PI3K/AKT/mTOR,1,20
AtomPair,1214,1787,Nuclear receptor/xenobiotic,3,25
AtomPair,205,1104,Proteostasis,1,1
AtomPair,33,116,Cell cycle/mitosis,2,26
AtomPair,33,116,MAPK/RTK,1,26
AtomPair,33,116,Nuclear receptor/xenobiotic,1,26
AtomPair,33,116,PI3K/AKT/mTOR,1,26
AtomPair,529,1315,MAPK/RTK,1,7
AtomPair,1112,1649,Nuclear receptor/xenobiotic,1,25
AtomPair,1112,1649,Proteostasis,1,25
AtomPair,436,841,Cell cycle/mitosis,2,23
AtomPair,436,841,DNA damage/repair,1,23
AtomPair,436,841,PI3K/AKT/mTOR,1,23
AtomPair,1214,1238,MAPK/RTK,1,23
AtomPair,116,120,MAPK/RTK,2,31
AtomPair,116,120,Cell cycle/mitosis,1,31
AtomPair,116,120,Nuclear receptor/xenobiotic,1,31
AtomPair,273,1080,Cell cycle/mitosis,1,27
AtomPair,273,1080,PI3K/AKT/mTOR,1,27
AtomPair,1299,1338,Cell cycle/mitosis,1,19
AtomPair,1420,1787,Lipid/transport state,1,21
AtomPair,1420,1787,Nuclear receptor/xenobiotic,1,21
AtomPair,1420,1787,PI3K/AKT/mTOR,1,21
AtomPair,1382,1486,Cell cycle/mitosis,3,23
AtomPair,1382,1486,DNA damage/repair,1,23
AtomPair,33,1189,Cell cycle/mitosis,2,25
AtomPair,33,1189,PI3K/AKT/mTOR,2,25
AtomPair,33,1189,Nuclear receptor/xenobiotic,1,25
AtomPair,820,1805,Cell cycle/mitosis,1,8
AtomPair,87,844,Nuclear receptor/xenobiotic,2,26
AtomPair,87,844,Epigenetic/chromatin,1,26
AtomPair,87,844,PI3K/AKT/mTOR,1,26
AtomPair,87,608,Epigenetic/chromatin,1,20
AtomPair,87,608,MAPK/RTK,1,20
AtomPair,1080,1382,Cell cycle/mitosis,2,26
AtomPair,1080,1382,DNA damage/repair,1,26
AtomPair,1235,1389,Cell cycle/mitosis,1,11
AtomPair,1235,1389,Microtubule,1,11
AtomPair,1235,1389,PI3K/AKT/mTOR,1,11
AtomPair,1119,1382,Cell cycle/mitosis,3,23
