method,mechanism_category,num_pairs_with_category,total_shared_gene_category_hits,num_method_pairs,pair_fraction
AtomPair,Cell cycle/mitosis,126,556,635,0.1984251968503937
AtomPair,Nuclear receptor/xenobiotic,92,331,635,0.14488188976377953
AtomPair,PI3K/AKT/mTOR,67,170,635,0.10551181102362205
AtomPair,MAPK/RTK,67,161,635,0.10551181102362205
AtomPair,DNA damage/repair,46,115,635,0.07244094488188976
AtomPair,Lipid/transport state,39,63,635,0.06141732283464567
AtomPair,Epigenetic/chromatin,26,41,635,0.04094488188976378
AtomPair,Microtubule,26,36,635,0.04094488188976378
AtomPair,Proteostasis,11,15,635,0.01732283464566929
AtomPair,Apoptosis,1,1,635,0.0015748031496062992
Avalon,Cell cycle/mitosis,108,414,557,0.19389587073608616
Avalon,Nuclear receptor/xenobiotic,77,235,557,0.13824057450628366
Avalon,PI3K/AKT/mTOR,61,146,557,0.10951526032315978
Avalon,MAPK/RTK,52,101,557,0.0933572710951526
Avalon,DNA damage/repair,48,95,557,0.08617594254937164
Avalon,Lipid/transport state,36,67,557,0.06463195691202872
Avalon,Epigenetic/chromatin,17,19,557,0.03052064631956912
Avalon,Microtubule,13,16,557,0.02333931777378815
Avalon,Proteostasis,7,8,557,0.012567324955116697
CGP-Align,Cell cycle/mitosis,177,1494,1451,0.12198483804272915
CGP-Align,Nuclear receptor/xenobiotic,151,1137,1451,0.10406616126809097
CGP-Align,MAPK/RTK,108,409,1451,0.07443142660234321
CGP-Align,PI3K/AKT/mTOR,101,501,1451,0.06960716747070986
CGP-Align,DNA damage/repair,92,417,1451,0.06340454858718125
CGP-Align,Lipid/transport state,71,179,1451,0.04893177119228118
CGP-Align,Microtubule,51,138,1451,0.03514817367332874
CGP-Align,Epigenetic/chromatin,37,91,1451,0.025499655410062026
CGP-Align,Proteostasis,26,69,1451,0.01791867677463818
Morgan,Cell cycle/mitosis,117,345,454,0.2577092511013216
Morgan,Nuclear receptor/xenobiotic,79,220,454,0.17400881057268722
Morgan,PI3K/AKT/mTOR,61,135,454,0.1343612334801762
Morgan,MAPK/RTK,55,87,454,0.1211453744493392
Morgan,DNA damage/repair,52,79,454,0.1145374449339207
Morgan,Lipid/transport state,46,61,454,0.1013215859030837
Morgan,Microtubule,16,18,454,0.03524229074889868
Morgan,Epigenetic/chromatin,14,16,454,0.030837004405286344
Morgan,Proteostasis,10,16,454,0.022026431718061675
NYAN,Cell cycle/mitosis,125,527,621,0.20128824476650564
NYAN,Nuclear receptor/xenobiotic,94,306,621,0.15136876006441224
NYAN,PI3K/AKT/mTOR,68,173,621,0.10950080515297907
NYAN,MAPK/RTK,63,142,621,0.10144927536231885
NYAN,DNA damage/repair,48,120,621,0.07729468599033816
NYAN,Lipid/transport state,35,65,621,0.05636070853462158
NYAN,Epigenetic/chromatin,30,44,621,0.04830917874396135
NYAN,Microtubule,27,38,621,0.043478260869565216
NYAN,Proteostasis,14,23,621,0.02254428341384863
RDKit2D,Cell cycle/mitosis,126,578,632,0.19936708860759494
RDKit2D,Nuclear receptor/xenobiotic,92,353,632,0.14556962025316456
RDKit2D,PI3K/AKT/mTOR,73,218,632,0.11550632911392406
RDKit2D,MAPK/RTK,63,138,632,0.09968354430379747
RDKit2D,DNA damage/repair,55,120,632,0.08702531645569621
RDKit2D,Lipid/transport state,45,87,632,0.07120253164556962
RDKit2D,Epigenetic/chromatin,22,41,632,0.03481012658227848
RDKit2D,Microtubule,21,31,632,0.03322784810126582
RDKit2D,Proteostasis,10,12,632,0.015822784810126583
Random,Cell cycle/mitosis,70,151,344,0.20348837209302326
Random,Nuclear receptor/xenobiotic,50,123,344,0.14534883720930233
Random,DNA damage/repair,35,59,344,0.10174418604651163
Random,PI3K/AKT/mTOR,31,44,344,0.09011627906976744
Random,MAPK/RTK,23,31,344,0.06686046511627906
Random,Lipid/transport state,19,21,344,0.055232558139534885
Random,Microtubule,17,19,344,0.04941860465116279
Random,Epigenetic/chromatin,6,6,344,0.01744186046511628
Random,Proteostasis,5,6,344,0.014534883720930232
