method,query_idx,retrieved_idx,pair_a,pair_b,rank,method_score,prism_response_corr,top_gene_k,shared_top_gene_count,shared_top_gene_jaccard,shared_gene_hypergeom_p,shared_gene_neglog10p,num_category_hits,num_unique_categories,dominant_categories,query_name,retrieved_name,query_moa,retrieved_moa,query_targets,retrieved_targets,known_target_hits_top_gene,known_target_hits_shared_gene,shared_gene_symbols_top20
CGP-Align,436,1716,436,1716,2,0.9085227847099304,0.378126859664917,50,41,0.6949152542372882,4.252182677532554e-91,90.3713880860725,5,3,Cell cycle/mitosis:2; PI3K/AKT/mTOR:2; DNA damage/repair:1,CYC116,YM-201636,Aurora kinase inhibitor,PI3K inhibitor,"AURKA, AURKB, KDR",,,,REV3L;SOCS3;AFF3;AFF1;RUNX3;RUNX2;CHN2;CISH;MED14;DDX56;POLQ;CDC25A;WRN;RUNX1;ZFP36;PI4KA;SOCS2;BRCA2;VGLL4;EP300
CGP-Align,1226,681,681,1226,1,0.9149529337882996,0.488023579120636,50,39,0.639344262295082,3.1406836684539944e-84,83.5029758037999,9,4,Nuclear receptor/xenobiotic:4; Cell cycle/mitosis:2; MAPK/RTK:2; PI3K/AKT/mTOR:1,R547,BIIB021,CDK inhibitor,HSP inhibitor,"CDK1, CDK2, CDK4, CDK7",HSP90AA1,,,CHN2;TRRAP;RUNX3;WRN;AFF3;DDX56;CDC25A;PI4KA;REV3L;FARP2;MAP3K2;RUNX2;CISH;SOCS2;POLQ;PIK3R3;ARHGEF26;MED14;BMPR2;AFF1
CGP-Align,1079,461,461,1079,2,0.9305305480957032,0.3405271470546722,50,39,0.639344262295082,3.1406836684539944e-84,83.5029758037999,6,5,MAPK/RTK:2; Cell cycle/mitosis:1; Epigenetic/chromatin:1; Nuclear receptor/xenobiotic:1,entrectinib,AP26113,"ALK tyrosine kinase receptor inhibitor, proto-oncogene tyrosine protein kinase inhibitor",ALK tyrosine kinase receptor inhibitor,"ALK, NTRK1, NTRK2, NTRK3, ROS1","ALK, EGFR",,,CHN2;RUNX3;REV3L;SOCS6;SYT11;POLQ;TAGAP;WRN;PRPF8;RUNX2;AFF3;MED14;CDC25A;SOCS2;PI4KA;EHMT1;RUNX1;STAG1;AFF1;CISH
CGP-Align,1649,1238,1238,1649,5,0.8701698184013367,0.3958943486213684,50,38,0.6129032258064516,6.278009648477328e-81,80.20217802118181,5,4,Cell cycle/mitosis:2; MAPK/RTK:1; Nuclear receptor/xenobiotic:1; Proteostasis:1,barasertib-HQPA,CX-5461,Aurora kinase inhibitor,RNA polymerase inhibitor,AURKB,,,,PI4KA;HS1BP3;FBXO5;CHN2;AFF3;WRN;SOCS6;SOCS2;SYT4;TNFRSF14;MDM2;SYT11;NCF4;REV3L;SGK3;RUNX2;SNX16;AFF1;UBE2N;CD40
CGP-Align,557,672,557,672,8,0.92373788356781,0.3172094523906708,50,38,0.6129032258064516,6.278009648477328e-81,80.20217802118181,3,3,Cell cycle/mitosis:1; DNA damage/repair:1; PI3K/AKT/mTOR:1,NVP-BSK805,TG-101348,JAK inhibitor,"FLT3 inhibitor, JAK inhibitor",JAK2,"BRD4, JAK1, JAK2, JAK3, TYK2",,,CHN2;REV3L;SYT11;POLQ;RUNX3;MDM2;SOCS6;WRN;SOCS2;RUNX2;PI4KA;TRRAP;MED14;CISH;AFF3;EHMT1;SOCS3;FBXO5;RUNX1;TAGAP
CGP-Align,1527,1697,1527,1697,5,0.919558584690094,0.3016523122787475,50,38,0.6129032258064516,6.278009648477328e-81,80.20217802118181,5,3,Cell cycle/mitosis:3; Lipid/transport state:1; PI3K/AKT/mTOR:1,TWS-119,cediranib,glycogen synthase kinase inhibitor,"KIT inhibitor, VEGFR inhibitor","GSK3B, JUN, MYC","CSF1R, FLT1, FLT3, FLT4, KDR, KIT, PDGFRA, PDGFRB",,,RUNX3;RUNX2;REV3L;WRN;CHN2;SYT11;SOCS2;RUNX1;POLQ;MED14;AFF3;AFF1;SOCS3;PI4KA;CISH;DDX56;MDM2;SLC2A11;HS1BP3;SYT12
CGP-Align,1486,232,232,1486,2,0.9448044300079346,0.5521218180656433,50,37,0.5873015873015873,1.0417436633733313e-77,76.9822391325509,9,4,Nuclear receptor/xenobiotic:4; Cell cycle/mitosis:3; MAPK/RTK:1; PI3K/AKT/mTOR:1,foretinib,NVP-TAE226,VEGFR inhibitor,protein tyrosine kinase inhibitor,"FLT1, FLT4, KDR, MET",PTK2,,,RUNX3;CHN2;RUNX1;SYT11;RUNX2;TAGAP;MED14;REV3L;WRN;POLQ;PI4KA;SYT12;SOCS3;AFF3;SOCS6;CISH;DDX56;ARHGEF25;SOCS2;CDC25A
CGP-Align,698,232,232,698,1,0.9301108121871948,0.3436382412910461,50,37,0.5873015873015873,1.0417436633733313e-77,76.9822391325509,5,5,Cell cycle/mitosis:1; Lipid/transport state:1; MAPK/RTK:1; Nuclear receptor/xenobiotic:1,foretinib,TG-101209,VEGFR inhibitor,JAK inhibitor,"FLT1, FLT4, KDR, MET","JAK2, JAK3",,,CHN2;RUNX3;SYT11;REV3L;MED14;TAGAP;RUNX2;MDM2;POLQ;RUNX1;SOCS6;SOCS2;SYT12;WRN;PI4KA;SOCS3;KMT2C;STAG1;NSD1;AFF3
CGP-Align,436,1401,436,1401,1,0.9178300499916076,0.3406980037689209,50,37,0.5873015873015873,1.0417436633733313e-77,76.9822391325509,5,3,Cell cycle/mitosis:2; PI3K/AKT/mTOR:2; DNA damage/repair:1,CYC116,PI-103,Aurora kinase inhibitor,"mTOR inhibitor, PI3K inhibitor","AURKA, AURKB, KDR","MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC",MTOR,MTOR,AFF1;REV3L;AFF3;RUNX3;SOCS3;RUNX2;CHN2;MED14;RUNX1;CISH;PI4KA;WRN;CDC25A;POLQ;DDX56;WWTR1;VGLL4;MED15;EP300;ZFP36
CGP-Align,479,571,479,571,3,0.9218947291374208,0.3247858583927154,50,37,0.5873015873015873,1.0417436633733313e-77,76.9822391325509,8,3,Nuclear receptor/xenobiotic:5; Cell cycle/mitosis:2; PI3K/AKT/mTOR:1,PF-573228,VS-4718,focal adhesion kinase inhibitor,focal adhesion kinase inhibitor,"CDK1, CDK2, CDK7, GSK3B, IKBKB",,,,CHN2;SYT11;RUNX3;WRN;MED14;DDX56;TAGAP;RUNX1;RUNX2;REV3L;ARHGEF16;AFF3;PIK3R3;SOCS2;CISH;PI4KA;CDC25A;MDM2;ARHGEF26;SYT4
