inchikey,prism_name,broad_id,prism_columns,prism_screens,prism_targets,prism_moa,prism_smiles,_cgp_row,compound_id,canonical_smiles,has_structure,has_compound_profile,num_nonmissing_prism_cell_lines
AAKJLRGGTJKAMG-UHFFFAOYSA-N,erlotinib,BRD-K70401845-003-09-6,1,HTS,"EGFR, NR1I2",EGFR inhibitor,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,85,AAKJLRGGTJKAMG-UHFFFAOYSA-N,C#Cc1cccc(N=c2[nH]cnc3cc(OCCOC)c(OCCOC)cc23)c1,True,True,572
ABBADGFSRBWENF-UHFFFAOYSA-N,AG-1024,BRD-K08310154-001-03-8,1,HTS,IGF1R,insulin growth factor receptor inhibitor,CC(C)(C)c1cc(C=C(C#N)C#N)cc(Br)c1O,210,ABBADGFSRBWENF-UHFFFAOYSA-N,CC(C)(C)c1cc(C=C(C#N)C#N)cc(Br)c1O,True,True,565
ABJKWBDEJIDSJZ-UHFFFAOYSA-N,butenafine,BRD-K90630139-003-05-9,1,HTS,SQLE,fungal squalene epoxidase inhibitor,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,264,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,True,True,557
ACAKNPKRLPMONU-UHFFFAOYSA-N,CK-636,BRD-K81572616-001-01-9,1,HTS,"ACTR2, ACTR3, ARPC1B, ARPC2, ARPC3, ARPC4, ARPC5",actin related protein inhibitor,Cc1[nH]c2ccccc2c1CCNC(=O)c1cccs1,386,ACAKNPKRLPMONU-UHFFFAOYSA-N,Cc1[nH]c2ccccc2c1CCNC(=O)c1cccs1,True,True,571
ACCMWZWAEFYUGZ-UHFFFAOYSA-N,bilastine,BRD-K51937257-001-01-4,1,HTS,HRH1,histamine receptor antagonist,CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,400,ACCMWZWAEFYUGZ-UHFFFAOYSA-N,CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,True,True,563
ACEWLPOYLGNNHV-UHFFFAOYSA-N,ibuprofen-piconol,BRD-A75224450-001-02-4,1,MTS004,"PTGS1, PTGS2",cyclooxygenase inhibitor,CC(C)Cc1ccc(C(C)C(=O)OCc2ccccn2)cc1,420,ACEWLPOYLGNNHV-UHFFFAOYSA-N,CC(C)Cc1ccc(C(C)C(=O)OCc2ccccn2)cc1,True,True,547
ACGDKVXYNVEAGU-UHFFFAOYSA-N,guanethidine,BRD-K62676709-065-05-5,1,HTS,SLC6A2,adrenergic inhibitor,N=C(N)NCCN1CCCCCCC1,427,ACGDKVXYNVEAGU-UHFFFAOYSA-N,N=C(N)NCCN1CCCCCCC1,True,True,574
ACGUYXCXAPNIKK-UHFFFAOYSA-N,hexachlorophene,BRD-K99792991-001-34-9,1,HTS,"GLUD1, SDHD",potassium channel activator,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,433,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,True,True,571
ACQBHJXEAYTHCY-UHFFFAOYSA-N,ciproxifan,BRD-K01767299-050-02-1,1,HTS,"ADRA2A, ADRA2C, HRH3, HRH4, HTR3A",histamine receptor antagonist,O=C(c1ccc(OCCCc2c[nH]cn2)cc1)C1CC1,506,ACQBHJXEAYTHCY-UHFFFAOYSA-N,O=C(c1ccc(OCCCc2c[nH]cn2)cc1)C1CC1,True,True,574
ACVGNKYJVGNLIL-UHFFFAOYSA-N,gabazine,BRD-K79905821-004-03-6,1,HTS,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRG2",GABA receptor antagonist,COc1ccc(-c2ccc(=N)n(CCCC(=O)O)n2)cc1,548,ACVGNKYJVGNLIL-UHFFFAOYSA-N,COc1ccc(-c2ccc(=N)n(CCCC(=O)O)n2)cc1,True,True,563
ACVGWSKVRYFWRP-UHFFFAOYSA-N,rutaecarpine,BRD-K94723713-001-10-6,1,HTS,PTGS2,cyclooxygenase inhibitor,O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,550,ACVGWSKVRYFWRP-UHFFFAOYSA-N,O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,True,True,565
ACWZRVQXLIRSDF-UHFFFAOYSA-N,MEK162,BRD-K82244583-001-01-3,1,HTS,"MAP2K1, MAP2K2",MEK inhibitor,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,562,ACWZRVQXLIRSDF-UHFFFAOYSA-N,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,True,True,550
ADEBPBSSDYVVLD-UHFFFAOYSA-N,donepezil,BRD-A49160188-003-12-7,1,HTS,"ACHE, HTR2A",acetylcholinesterase inhibitor,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,617,ADEBPBSSDYVVLD-UHFFFAOYSA-N,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,True,True,563
ADGGYDAFIHSYFI-UHFFFAOYSA-N,PI3K-IN-2,BRD-K62374002-001-01-5,1,MTS004,,PI3K inhibitor,Nc1cc(C(F)(F)F)c(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,635,ADGGYDAFIHSYFI-UHFFFAOYSA-N,N=c1cc(C(F)(F)F)c(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)c[nH]1,True,True,548
AEOCXXJPGCBFJA-UHFFFAOYSA-N,ethionamide,BRD-K51207550-001-23-0,1,HTS,,mycolic synthesis inhibitor,CCc1cc(C(=N)S)ccn1,867,AEOCXXJPGCBFJA-UHFFFAOYSA-N,CCc1cc(C(N)=S)ccn1,True,True,569
