setting,baseline,metric,direction,n_queries,mean_delta,ci95_low,ci95_high,paired_win_rate,wilcoxon_greater_p
all_candidates,AtomPair,top50_corr,cgp_minus_baseline,1856,0.009912735298662342,0.008541329450235446,0.011287454375924506,0.6050646551724138,2.953417736106087e-36
all_candidates,AtomPair,ndcg50,cgp_minus_baseline,1856,0.028528116692526105,0.024605857802485687,0.03303403882883656,0.603448275862069,9.712957339859092e-33
all_candidates,AtomPair,retention50,cgp_minus_baseline,1856,0.0401251846546606,0.03477674305814051,0.045767114905261946,0.6050646551724138,4.360048390372294e-35
all_candidates,AtomPair,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.0234375,0.018318965517241378,0.02871901939655172,0.2796336206896552,7.39177389110112e-15
all_candidates,AtomPair,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.040054733707175535,0.03336813620015437,0.046414397284064275,0.634698275862069,1.3361544340282997e-35
all_candidates,Avalon,top50_corr,cgp_minus_baseline,1856,0.011387206392310969,0.009825930033670702,0.01280457583425593,0.6163793103448276,6.611240395690377e-43
all_candidates,Avalon,ndcg50,cgp_minus_baseline,1856,0.03247168975399796,0.028285587894540436,0.03673149733432384,0.6179956896551724,5.371628389734527e-38
all_candidates,Avalon,retention50,cgp_minus_baseline,1856,0.0479412567734737,0.04198311899738423,0.05362917526733149,0.6163793103448276,1.1345272378909398e-42
all_candidates,Avalon,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.023114224137931034,0.017295258620689657,0.028826778017241376,0.29094827586206895,4.551820405241395e-13
all_candidates,Avalon,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.04947320913774504,0.042490648132648884,0.05595642532571699,0.6519396551724138,7.584275818441954e-49
all_candidates,Morgan,top50_corr,cgp_minus_baseline,1856,0.011407616634873797,0.009984268036417115,0.012869597762450563,0.6142241379310345,8.031976427255731e-43
all_candidates,Morgan,ndcg50,cgp_minus_baseline,1856,0.029217804560337287,0.025007375548189784,0.033643103350915714,0.6066810344827587,7.548460983591911e-31
all_candidates,Morgan,retention50,cgp_minus_baseline,1856,0.04695596100429029,0.04122341147777592,0.052656414203707556,0.6142241379310345,3.515427466715344e-42
all_candidates,Morgan,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.014116379310344828,0.00888604525862069,0.0195056573275862,0.2672413793103448,4.6896345550000195e-06
all_candidates,Morgan,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.048157932057434065,0.04168102576442361,0.0549528948359558,0.6422413793103449,1.8804900660713706e-44
all_candidates,NYAN,top50_corr,cgp_minus_baseline,1856,0.01004961665797232,0.008632488080251964,0.011399259416514715,0.6007543103448276,1.981396137673873e-34
all_candidates,NYAN,ndcg50,cgp_minus_baseline,1856,0.0290640358314287,0.024875587450551215,0.033424654610470936,0.5926724137931034,1.2687490670276183e-30
all_candidates,NYAN,retention50,cgp_minus_baseline,1856,0.04078019603896739,0.035087368176297526,0.04639398039293736,0.6007543103448276,1.2465576768948615e-33
all_candidates,NYAN,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.02252155172413793,0.017349137931034483,0.02747979525862068,0.27370689655172414,1.6710852949535824e-13
all_candidates,NYAN,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.03481701958486776,0.028511962572769042,0.041019503206022385,0.6217672413793104,1.1119895116902522e-30
all_candidates,RDKit2D,top50_corr,cgp_minus_baseline,1856,0.008815865836571358,0.007498393487468329,0.010246538060327206,0.5802801724137931,1.7512266729599554e-22
all_candidates,RDKit2D,ndcg50,cgp_minus_baseline,1856,0.020390113369984076,0.016571928951056077,0.024297084588824586,0.5635775862068966,1.524005519288351e-14
all_candidates,RDKit2D,retention50,cgp_minus_baseline,1856,0.03275496176795453,0.02748768702728277,0.038626764643876696,0.5802801724137931,3.69750486893577e-21
all_candidates,RDKit2D,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.011584051724137932,0.006196120689655173,0.01691810344827586,0.25323275862068967,0.0003959586984441041
all_candidates,RDKit2D,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.030642767966744786,0.024715265717414354,0.036551879614905324,0.6007543103448276,8.126714762395846e-24
low_morgan_lt_0.15,AtomPair,top50_corr,cgp_minus_baseline,1856,0.010906810608414304,0.00952121317305063,0.012289503241117685,0.6298491379310345,2.8641038331265635e-47
low_morgan_lt_0.15,AtomPair,ndcg50,cgp_minus_baseline,1856,0.03789860398196833,0.033811628273036236,0.042347418712983115,0.630926724137931,2.7780381159900883e-49
