low_tanimoto,corr_threshold,topk,baseline,directed_hits_delta,directed_hits_relative,unique_pair_hits_delta,unique_pair_hits_relative,query_hit_rate_delta,yield_delta_per_1000,cgp_only_unique_pairs,baseline_only_unique_pairs,overlap_unique_pairs
0.3,0.25,10,RDKit2D,354,1.6807692307692308,293,1.7710526315789474,0.028017241379310345,19.073275862068964,553,260,120
0.3,0.25,10,NYAN,418,1.9166666666666667,330,1.9620991253644315,0.03178879310344827,22.52155172413793,573,243,100
0.3,0.25,10,Morgan,357,1.690522243713733,334,1.9852507374631267,0.025323275862068964,19.23491379310345,571,237,102
0.3,0.25,10,AtomPair,465,2.136919315403423,370,2.221122112211221,0.034482758620689655,25.053879310344826,586,216,87
0.3,0.25,10,Avalon,439,2.0091954022988507,380,2.2969283276450514,0.038793103448275856,23.65301724137931,597,217,76
0.3,0.25,50,RDKit2D,1466,1.7928610059491616,1168,1.9167974882260597,0.012931034482758619,15.797413793103441,1770,602,672
0.3,0.25,50,NYAN,1589,1.9206257242178448,1211,1.983753046303818,0.00915948275862069,17.1228448275862,1841,630,601
0.3,0.25,50,Morgan,1632,1.9696969696969697,1392,2.3257142857142856,0.010237068965517265,17.58620689655172,1898,506,544
0.3,0.25,50,AtomPair,1541,1.8686583990980834,1236,2.0248756218905473,0.011853448275862072,16.605603448275854,1838,602,604
0.3,0.25,50,Avalon,1663,2.0066585956416465,1371,2.280112044817927,0.017241379310344834,17.920258620689648,1988,617,454
0.3,0.25,100,RDKit2D,2721,1.8575480617711944,2046,1.9738219895287958,0.008620689655172403,14.660560344827587,2779,733,1368
0.3,0.25,100,NYAN,2782,1.8939588688946016,2043,1.9710076045627376,0.003771551724137928,14.989224137931036,2876,833,1271
0.3,0.25,100,Morgan,3113,2.11938151743977,2461,2.459667852906287,0.009159482758620663,16.77262931034483,3083,622,1064
0.3,0.25,100,AtomPair,2633,1.8074210364918737,1983,1.9163585951940851,0.0026939655172413535,14.186422413793107,2824,841,1323
0.3,0.25,100,Avalon,2836,1.9274035317200784,2135,2.0611332007952288,0.016702586206896547,15.280172413793103,3032,897,1115
0.3,0.3,10,RDKit2D,234,1.622340425531915,187,1.6925925925925926,0.024245689655172417,12.607758620689655,362,175,95
0.3,0.3,10,NYAN,311,2.040133779264214,231,2.02212389380531,0.0425646551724138,16.756465517241377,381,150,76
