method,num_queries,topk,corr_threshold,directed_hits,unique_pair_hits,queries_with_hit,query_hit_rate,hit_yield_per_1000_ranked,mean_hit_rank,median_hit_corr,setting,low_tanimoto
CGP-Align,1856,10,0.25,676,541,237,0.12769396551724138,36.42241379310345,5.171597633136095,0.3325081467628479,low_morgan_lt_0.15,0.15
RDKit2D,1856,10,0.25,203,186,134,0.07219827586206896,10.9375,5.733990147783251,0.31993600726127625,low_morgan_lt_0.15,0.15
NYAN,1856,10,0.25,267,209,175,0.09428879310344827,14.385775862068964,5.2434456928838955,0.3209424912929535,low_morgan_lt_0.15,0.15
Morgan,1856,10,0.25,200,133,151,0.08135775862068965,10.775862068965518,5.32,0.3111701011657715,low_morgan_lt_0.15,0.15
AtomPair,1856,10,0.25,249,194,158,0.08512931034482758,13.41594827586207,5.7991967871485945,0.3161308169364929,low_morgan_lt_0.15,0.15
Avalon,1856,10,0.25,250,180,149,0.08028017241379311,13.469827586206895,5.296,0.3257257640361786,low_morgan_lt_0.15,0.15
Random,1856,10,0.25,161,160,129,0.06950431034482758,8.674568965517242,5.3602484472049685,0.3133445680141449,low_morgan_lt_0.15,0.15
CGP-Align,1856,50,0.25,2716,1991,346,0.18642241379310345,29.267241379310345,23.48306332842415,0.32336051762104034,low_morgan_lt_0.15,0.15
RDKit2D,1856,50,0.25,1092,862,294,0.1584051724137931,11.767241379310345,26.424908424908423,0.30779802799224854,low_morgan_lt_0.15,0.15
NYAN,1856,50,0.25,1210,881,314,0.16918103448275862,13.038793103448276,24.551239669421488,0.30833613872528076,low_morgan_lt_0.15,0.15
Morgan,1856,50,0.25,887,550,296,0.15948275862068967,9.558189655172415,24.26042841037204,0.3102371096611023,low_morgan_lt_0.15,0.15
AtomPair,1856,50,0.25,1271,903,334,0.17995689655172414,13.696120689655173,25.557828481510622,0.3096563518047333,low_morgan_lt_0.15,0.15
Avalon,1856,50,0.25,1124,797,285,0.15355603448275862,12.11206896551724,24.941281138790035,0.31239302456378937,low_morgan_lt_0.15,0.15
Random,1856,50,0.25,655,645,251,0.13523706896551724,7.058189655172414,24.181679389312976,0.30979055166244507,low_morgan_lt_0.15,0.15
CGP-Align,1856,100,0.25,4704,3246,406,0.21875,25.344827586206897,44.82525510204081,0.3221901059150696,low_morgan_lt_0.15,0.15
