query_name,query_moa,retrieved_name,retrieved_moa,rank,query_u2os_lfc,retrieved_u2os_lfc,u2os_absdiff,morgan_tanimoto,method_score,query_inchikey,retrieved_inchikey
dovitinib,"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",barasertib-HQPA,Aurora kinase inhibitor,1,-2.5026042461395264,-2.576854944229126,0.07425069808959961,0.12280701845884323,0.8798980712890625,PIQCTGMSNWUMAF-UHFFFAOYSA-N,QYZOGCMHVIGURT-UHFFFAOYSA-N
WYE-125132,mTOR inhibitor,MPI-0479605,mitotic kinase inhibitor,1,-3.1352787017822266,-3.2279553413391113,0.09267663955688477,0.12037037312984467,0.910480797290802,QLHHRYZMBGPBJG-UHFFFAOYSA-N,OVJBNYKNHXJGSA-UHFFFAOYSA-N
napabucasin,STAT inhibitor,stattic,,1,-2.8295180797576904,-3.006786346435547,0.17726826667785645,0.09803921729326248,0.7612717747688293,DPHUWDIXHNQOSY-UHFFFAOYSA-N,ZRRGOUHITGRLBA-UHFFFAOYSA-N
albendazole,tubulin polymerization inhibitor,BNC105,tubulin polymerization inhibitor,1,-2.7965261936187744,-2.5902812480926514,0.20624494552612305,0.16417910158634186,0.727379560470581,HXHWSAZORRCQMX-UHFFFAOYSA-N,RADMJHVVIZTENA-UHFFFAOYSA-N
menadione,"mitochondrial DNA polymerase inhibitor, phosphatase inhibitor",proflavine-hemisulfate,topical anesthetic,1,-1.7568081617355347,-1.5322171449661255,0.22459101676940918,0.0833333358168602,0.7724848389625549,MJVAVZPDRWSRRC-UHFFFAOYSA-N,WDVSHHCDHLJJJR-UHFFFAOYSA-N
proflavine-hemisulfate,topical anesthetic,menadione,"mitochondrial DNA polymerase inhibitor, phosphatase inhibitor",1,-1.5322171449661255,-1.7568081617355347,0.22459101676940918,0.0833333358168602,0.7724848389625549,WDVSHHCDHLJJJR-UHFFFAOYSA-N,MJVAVZPDRWSRRC-UHFFFAOYSA-N
lazabemide,monoamine oxidase inhibitor,BMS-707035,HIV integrase inhibitor,1,-1.6450343132019043,-1.3999617099761963,0.245072603225708,0.15068493783473969,0.9095818400382996,JZXRLKWWVNUZRB-UHFFFAOYSA-N,VNIWZCGZPBJWBI-UHFFFAOYSA-N
BX-912,pyruvate dehydrogenase kinase inhibitor,tozasertib,"Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor",1,-1.9204963445663452,-2.1769955158233643,0.25649917125701904,0.19230769574642181,0.9073762893676758,DMMILYKXNCVKOJ-UHFFFAOYSA-N,GCIKSSRWRFVXBI-UHFFFAOYSA-N
vorinostat,HDAC inhibitor,JNJ-26481585,HDAC inhibitor,1,-3.3279688358306885,-3.616273880004883,0.28830504417419434,0.1666666716337204,0.8084665536880493,WAEXFXRVDQXREF-UHFFFAOYSA-N,PAWIYAYFNXQGAP-UHFFFAOYSA-N
KI-8751,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",rociletinib,EGFR inhibitor,1,-1.91280198097229,-2.2325007915496826,0.3196988105773926,0.1603773534297943,0.8748321533203125,LFKQSJNCVRGFCC-UHFFFAOYSA-N,HUFOZJXAKZVRNJ-UHFFFAOYSA-N
VER-49009,HSP inhibitor,PP242,mTOR inhibitor,1,-1.711864948272705,-1.3748875856399536,0.33697736263275146,0.11363636702299118,0.9103477001190186,HUNAOTXNHVALTN-UHFFFAOYSA-N,MFAQYJIYDMLAIM-UHFFFAOYSA-N
barasertib-HQPA,Aurora kinase inhibitor,tozasertib,"Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor",1,-2.576854944229126,-2.1769955158233643,0.3998594284057617,0.1551724076271057,0.913250744342804,QYZOGCMHVIGURT-UHFFFAOYSA-N,GCIKSSRWRFVXBI-UHFFFAOYSA-N
genz-644282,topoisomerase inhibitor,NMS-1286937,PLK inhibitor,1,-3.062201738357544,-3.4771175384521484,0.4149158000946045,0.1071428582072258,0.8183527588844299,BAORCAMWLWRZQG-UHFFFAOYSA-N,QHLVBNKYJGBCQJ-UHFFFAOYSA-N
