low_tanimoto,active_threshold,topk,baseline,directed_active_hits_delta,directed_active_hits_relative,unique_active_pairs_delta,unique_active_pairs_relative,query_hit_rate_delta,yield_delta_per_1000,cgp_only_unique_pairs,baseline_only_unique_pairs,overlap_unique_pairs
0.3,-1.0,10,RDKit2D,305,1.8591549295774648,255,1.901060070671378,0.106951871657754,163.10160427807486,476,221,62
0.3,-1.0,10,NYAN,317,1.924198250728863,264,1.9635036496350364,0.10160427807486638,169.51871657754012,493,229,45
0.3,-1.0,10,Morgan,361,2.2073578595317724,329,2.574162679425837,0.13903743315508021,193.048128342246,495,166,43
0.3,-1.0,10,AtomPair,327,1.981981981981982,277,2.0613026819923372,0.053475935828877,174.86631016042782,503,226,35
0.3,-1.0,10,Avalon,339,2.05607476635514,316,2.4234234234234235,0.1336898395721925,181.28342245989305,498,182,40
0.3,-1.0,50,RDKit2D,1308,1.7739644970414201,1097,1.9058629232039637,0.005347593582887722,139.89304812834223,1800,703,508
0.3,-1.0,50,NYAN,1351,1.8202792956891318,1115,1.9346186085498742,-0.016042780748663166,144.49197860962565,1867,752,441
0.3,-1.0,50,Morgan,1650,2.2240356083086055,1430,2.6287015945330294,-0.0267379679144385,176.47058823529412,1953,523,355
0.3,-1.0,50,AtomPair,1293,1.758357771260997,1103,1.9153526970954358,-0.016042780748663166,138.28877005347593,1837,734,471
0.3,-1.0,50,Avalon,1528,2.0394557823129253,1294,2.2761341222879685,0.005347593582887722,163.4224598930481,1995,701,313
0.3,-1.0,100,RDKit2D,2521,1.7885517672818267,1997,1.9069028156221617,0.0,134.81283422459896,3049,1052,1150
0.3,-1.0,100,NYAN,2533,1.7952904238618523,2004,1.912984054669704,0.005347593582887722,135.4545454545455,3108,1104,1091
0.3,-1.0,100,Morgan,3179,2.252067743205987,2567,2.5729166666666665,0.005347593582887722,170.00000000000003,3383,816,816
0.3,-1.0,100,AtomPair,2326,1.6857311320754718,1896,1.8232739904472428,0.0,124.38502673796793,3064,1168,1135
0.3,-1.0,100,Avalon,2732,1.9149363697253852,2161,2.0603532875368007,0.005347593582887722,146.09625668449203,3306,1145,893
0.3,-1.5,10,RDKit2D,215,2.1621621621621623,173,2.168918918918919,0.1322314049586777,177.68595041322317,287,114,34
0.3,-1.5,10,NYAN,235,2.4242424242424243,189,2.4318181818181817,0.18181818181818188,194.2148760330579,294,105,27
0.3,-1.5,10,Morgan,246,2.5974025974025974,215,3.0283018867924527,0.15702479338842978,203.30578512396698,297,82,24
0.3,-1.5,10,AtomPair,238,2.4691358024691357,192,2.488372093023256,0.09917355371900827,196.69421487603307,300,108,21
0.3,-1.5,10,Avalon,250,2.6666666666666665,219,3.1470588235294117,0.1652892561983471,206.6115702479339,304,85,17
0.3,-1.5,50,RDKit2D,937,2.111506524317912,745,2.231404958677686,0.03305785123966942,154.87603305785126,1054,309,296
0.3,-1.5,50,NYAN,1024,2.3544973544973544,797,2.4412296564195297,0.0,169.25619834710744,1106,309,244
0.3,-1.5,50,Morgan,1117,2.6847662141779787,922,3.1542056074766354,-0.024793388429752095,184.62809917355372,1142,220,208
0.3,-1.5,50,AtomPair,951,2.1471652593486126,761,2.2920203735144313,-0.008264462809917439,157.19008264462812,1070,309,280
0.3,-1.5,50,Avalon,1088,2.5722543352601157,870,2.8125,-0.016528925619834767,179.83471074380168,1167,297,183
0.3,-1.5,100,RDKit2D,1660,2.0641025641025643,1262,2.1761416589002796,0.016528925619834767,137.1900826446281,1682,420,653
0.3,-1.5,100,NYAN,1770,2.220689655172414,1353,2.3778004073319754,-0.016528925619834656,146.28099173553719,1751,398,584
0.3,-1.5,100,Morgan,2028,2.7013422818791946,1589,3.1300268096514747,-0.016528925619834656,167.60330578512395,1876,287,459
0.3,-1.5,100,AtomPair,1649,2.0496499045194145,1261,2.1741154562383613,-0.016528925619834656,136.28099173553719,1699,438,636
0.3,-1.5,100,Avalon,1828,2.3132183908045976,1384,2.455310199789695,-0.008264462809917328,151.07438016528926,1820,436,515
0.3,-2.0,10,RDKit2D,155,2.3839285714285716,121,2.3444444444444446,0.2272727272727273,176.13636363636363,188,67,23
0.3,-2.0,10,NYAN,163,2.5673076923076925,131,2.6375,0.23863636363636365,185.2272727272727,197,66,14
0.3,-2.0,10,Morgan,167,2.67,145,3.196969696969697,0.18181818181818188,189.77272727272725,194,49,17
0.3,-2.0,10,AtomPair,192,3.56,150,3.459016393442623,0.25,218.18181818181816,201,51,10
0.3,-2.0,10,Avalon,173,2.8404255319148937,148,3.3492063492063493,0.21590909090909094,196.59090909090907,196,48,15
0.3,-2.0,50,RDKit2D,675,2.4150943396226414,522,2.526315789473684,0.06818181818181823,153.4090909090909,683,161,181
0.3,-2.0,50,NYAN,718,2.654377880184332,551,2.7603833865814695,0.011363636363636354,163.1818181818182,712,161,152
0.3,-2.0,50,Morgan,756,2.909090909090909,613,3.442231075697211,0.03409090909090917,171.8181818181818,731,118,133
0.3,-2.0,50,AtomPair,740,2.796116504854369,565,2.8896321070234112,0.022727272727272707,168.1818181818182,697,132,167
0.3,-2.0,50,Avalon,724,2.691588785046729,569,2.928813559322034,-0.011363636363636354,164.54545454545453,745,176,119
0.3,-2.0,100,RDKit2D,1162,2.3702830188679247,861,2.479381443298969,0.011363636363636354,132.04545454545456,1056,195,387
0.3,-2.0,100,NYAN,1204,2.4937965260545907,886,2.5906642728904847,-0.011363636363636354,136.81818181818184,1085,199,358
0.3,-2.0,100,Morgan,1354,3.0640243902439024,1039,3.5717821782178216,-0.011363636363636354,153.86363636363637,1171,132,272
0.3,-2.0,100,AtomPair,1207,2.503113325031133,883,2.5767857142857142,-0.022727272727272707,137.15909090909093,1076,193,367
0.3,-2.0,100,Avalon,1201,2.484548825710754,894,2.628415300546448,-0.011363636363636354,136.47727272727275,1120,226,323
0.25,-1.0,10,RDKit2D,308,1.88,238,1.8095238095238095,0.0802139037433155,164.7058823529412,467,229,65
0.25,-1.0,10,NYAN,317,1.9296187683284458,257,1.9345454545454546,0.06417112299465244,169.51871657754012,485,228,47
0.25,-1.0,10,Morgan,371,2.292682926829268,338,2.7422680412371134,0.1336898395721925,198.3957219251337,492,154,40
0.25,-1.0,10,AtomPair,321,1.9525222551928783,267,2.0075471698113208,0.03743315508021394,171.6577540106952,497,230,35
0.25,-1.0,10,Avalon,345,2.1022364217252396,311,2.4072398190045248,0.09625668449197866,184.49197860962568,493,182,39
0.25,-1.0,50,RDKit2D,1360,1.825242718446602,1095,1.9049586776859504,0.005347593582887611,145.4545454545454,1818,723,487
0.25,-1.0,50,NYAN,1382,1.8499384993849939,1126,1.9550466497031382,-0.010695187165775444,147.80748663101605,1872,746,433
0.25,-1.0,50,Morgan,1719,2.333591931730023,1471,2.76378896882494,-0.0267379679144385,183.85026737967914,1987,516,318
0.25,-1.0,50,AtomPair,1317,1.778829095209935,1104,1.9192339716902582,-0.016042780748663166,140.85561497326202,1843,739,462
0.25,-1.0,50,Avalon,1558,2.0744827586206895,1298,2.288977159880834,0.0,166.63101604278071,2012,714,293
0.25,-1.0,100,RDKit2D,2546,1.806973058637084,1980,1.904109589041096,0.005347593582887722,136.14973262032086,3051,1071,1119
0.25,-1.0,100,NYAN,2562,1.8161834979292768,2002,1.9234317343173433,0.005347593582887722,137.0053475935829,3107,1105,1063
0.25,-1.0,100,Morgan,3228,2.3052972098665587,2573,2.6111458985597995,0.005347593582887722,172.620320855615,3396,823,774
0.25,-1.0,100,AtomPair,2346,1.6992548435171386,1893,1.831357048748353,0.0,125.45454545454547,3066,1173,1104
0.25,-1.0,100,Avalon,2753,1.933853459972863,2147,2.061295106277805,0.005347593582887722,147.2192513368984,3296,1149,874
0.25,-1.5,10,RDKit2D,223,2.252808988764045,167,2.098684210526316,0.1322314049586777,184.29752066115702,281,114,38
0.25,-1.5,10,NYAN,241,2.50625,188,2.435114503816794,0.15702479338842967,199.17355371900825,293,105,26
0.25,-1.5,10,Morgan,259,2.823943661971831,225,3.393617021276596,0.20661157024793386,214.0495867768595,297,72,22
