setting,active_threshold,topk,baseline,metric,direction,n_queries,mean_delta,ci95_low,ci95_high,paired_win_rate,wilcoxon_greater_p
low_morgan_lt_0.15,-2.0,10,AtomPair,top_active_fraction,cgp_minus_baseline,88,0.20681818181818182,0.16818181818181818,0.24545454545454543,0.7613636363636364,1.216604054062927e-12
low_morgan_lt_0.15,-2.0,10,AtomPair,active_lift,cgp_minus_baseline,88,4.7147424503042235,3.8921100628011467,5.548105031440461,0.7613636363636364,7.301159215403724e-13
low_morgan_lt_0.15,-2.0,10,AtomPair,top_mean_absdiff,baseline_minus_cgp,88,0.6101461233102864,0.4785082880019432,0.7346549331648746,0.8409090909090909,6.502325396774579e-13
low_morgan_lt_0.15,-2.0,10,AtomPair,top_median_absdiff,baseline_minus_cgp,88,0.6402655352996424,0.48222486581822854,0.8063719661690892,0.7840909090909091,1.414625777247057e-10
low_morgan_lt_0.15,-2.0,10,Avalon,top_active_fraction,cgp_minus_baseline,88,0.20340909090909093,0.15795454545454546,0.24772727272727274,0.7613636363636364,1.2914177169097493e-11
low_morgan_lt_0.15,-2.0,10,Avalon,active_lift,cgp_minus_baseline,88,4.6255689871977514,3.5984067225530953,5.628060701120392,0.7613636363636364,5.051722448557928e-11
low_morgan_lt_0.15,-2.0,10,Avalon,top_mean_absdiff,baseline_minus_cgp,88,0.7152186478604562,0.5728246251022624,0.8595793601525953,0.8295454545454546,6.502325396774579e-13
low_morgan_lt_0.15,-2.0,10,Avalon,top_median_absdiff,baseline_minus_cgp,88,0.7435644532342849,0.5712867176583545,0.9102863587404251,0.8409090909090909,1.2445124691868435e-11
low_morgan_lt_0.15,-2.0,10,Morgan,top_active_fraction,cgp_minus_baseline,88,0.21931818181818183,0.1806818181818182,0.2579545454545455,0.7727272727272727,3.596513294305954e-13
low_morgan_lt_0.15,-2.0,10,Morgan,active_lift,cgp_minus_baseline,88,5.051135339712577,4.152389502511602,5.951999385808886,0.7727272727272727,3.3215785075460626e-13
low_morgan_lt_0.15,-2.0,10,Morgan,top_mean_absdiff,baseline_minus_cgp,88,0.7632457058169002,0.6316208777910304,0.8974108178738109,0.8863636363636364,4.841461107926339e-15
low_morgan_lt_0.15,-2.0,10,Morgan,top_median_absdiff,baseline_minus_cgp,88,0.8164786537484112,0.6623511437402985,0.9826460717261892,0.875,1.3713349546638386e-13
low_morgan_lt_0.15,-2.0,10,NYAN,top_active_fraction,cgp_minus_baseline,88,0.17045454545454544,0.1272727272727273,0.21363636363636365,0.6704545454545454,1.3099480858828363e-10
low_morgan_lt_0.15,-2.0,10,NYAN,active_lift,cgp_minus_baseline,88,3.869602619725794,2.8689231129649424,4.856855648193067,0.6704545454545454,7.471574663224435e-10
low_morgan_lt_0.15,-2.0,10,NYAN,top_mean_absdiff,baseline_minus_cgp,88,0.5947802485517802,0.4592363826822309,0.7278552669931276,0.8409090909090909,7.032762343042324e-12
low_morgan_lt_0.15,-2.0,10,NYAN,top_median_absdiff,baseline_minus_cgp,88,0.6604774999177607,0.49434195458196967,0.8254167103540732,0.8068181818181818,1.6616595426964647e-10
low_morgan_lt_0.15,-2.0,10,RDKit2D,top_active_fraction,cgp_minus_baseline,88,0.21022727272727273,0.16704545454545458,0.25113636363636366,0.7840909090909091,2.520843657471814e-12
low_morgan_lt_0.15,-2.0,10,RDKit2D,active_lift,cgp_minus_baseline,88,4.80524174994493,3.927828235132504,5.686110188712357,0.7840909090909091,3.6351807944092986e-12
low_morgan_lt_0.15,-2.0,10,RDKit2D,top_mean_absdiff,baseline_minus_cgp,88,0.6775525869624371,0.5432278308109381,0.8129646996869366,0.875,1.4559085672781567e-12
low_morgan_lt_0.15,-2.0,10,RDKit2D,top_median_absdiff,baseline_minus_cgp,88,0.7483160277396647,0.5778296000156677,0.9208354711914662,0.8409090909090909,8.352135335478922e-12
low_morgan_lt_0.15,-2.0,50,AtomPair,top_active_fraction,cgp_minus_baseline,88,0.15613636363636363,0.13203977272727274,0.18318181818181814,0.875,9.247762969548965e-15
low_morgan_lt_0.15,-2.0,50,AtomPair,active_lift,cgp_minus_baseline,88,3.580228253945567,3.008835539347391,4.161042548956464,0.875,1.0399786179123889e-14
