seed,dataset,factor,groups,mean_r2,median_r2,max_r2,p90_r2
31,Compound,entity,115786,0.30681563073189333,0.3072898875292738,0.4715316786755186,0.34421042059239637
31,Compound,plate,1668,0.0011732748146690382,0.0010918633302794474,0.002596266632615107,0.001768991714754212
31,Compound,well,1526,0.0019711242975317266,0.001966958995480142,0.004276731466803215,0.002545852641837301
31,Gene,entity,23100,0.43401788077056147,0.42979704812776315,0.646567283095732,0.5134605370475643
31,Gene,plate,366,0.0007256452094635742,0.0007316829186727853,0.001534699196497755,0.0008158986873176409
31,Gene,well,380,0.0018157655564164938,0.0018119267546673173,0.0028537965811003606,0.002116532856323468
37,Compound,entity,115786,0.30886261964418393,0.3092351753374741,0.4720570289074664,0.34538013224533987
37,Compound,plate,1668,0.0010212435344523999,0.0009470062407676703,0.002617068327553283,0.0013881517338114751
37,Compound,well,1526,0.005350732937149169,0.0046438169938049206,0.014704287770668532,0.00918076352563798
37,Gene,entity,23100,0.43422420741665624,0.4293986867900472,0.647921679044936,0.5135136088661675
37,Gene,plate,366,0.0007755403370950977,0.0007749299812344038,0.0013010961212093664,0.0008711227268740608
37,Gene,well,380,0.001866693574288219,0.0018370325984902278,0.003009832817772901,0.0022595589444101365
41,Compound,entity,115786,0.3067368853752599,0.30716882305365834,0.4711651412603226,0.34438302186420794
41,Compound,plate,1668,0.0011705574763158225,0.0010839428004012159,0.0027284742855164623,0.0017878875582558636
41,Compound,well,1526,0.0020840494172376374,0.001991260866531967,0.0047450941152797745,0.0028641822392184092
41,Gene,entity,23100,0.4335269690817769,0.4278821861926725,0.6465555061224083,0.513410795674376
41,Gene,plate,366,0.0007753636394422938,0.0007661711886201939,0.0013216498691059602,0.000889061490440291
41,Gene,well,380,0.0018755764864074411,0.001827298573567599,0.003184702582640329,0.0022714689490773436
