seed,modality,split,entity_count,profile_count
31,Compound,train,92629,520844
31,Compound,val,11579,65350
31,Compound,test,11578,63682
31,CRISPR,train,6319,34159
31,CRISPR,val,807,4329
31,CRISPR,test,848,4650
31,ORF,train,12183,61232
31,ORF,val,1466,7373
31,ORF,test,1477,7445
37,Compound,train,92629,518766
37,Compound,val,11579,64715
37,Compound,test,11578,66395
37,CRISPR,train,6407,34607
37,CRISPR,val,769,4233
37,CRISPR,test,798,4298
37,ORF,train,12107,60885
37,ORF,val,1486,7448
37,ORF,test,1533,7717
41,Compound,train,92629,520096
41,Compound,val,11579,64645
41,Compound,test,11578,65135
41,CRISPR,train,6403,34609
41,CRISPR,val,774,4229
41,CRISPR,test,797,4300
41,ORF,train,12038,60520
41,ORF,val,1515,7615
41,ORF,test,1573,7915
