seed,method,aggregation,setting,bidirectional_top10
31,cgp,encode_mean,100,0.5909699429953359
31,cgp,encode_mean,1000,0.21558559336672997
31,cgp,encode_mean,full,0.05795474175159786
31,cgp,mean_encoded,100,0.6886768008291588
31,cgp,mean_encoded,1000,0.28532129901537395
31,cgp,mean_encoded,full,0.07846778372775953
31,morgan,encode_mean,100,0.5620530316116773
31,morgan,encode_mean,1000,0.21329245120055276
31,morgan,encode_mean,full,0.061625496631542584
31,morgan,mean_encoded,100,0.5623553290723786
31,morgan,mean_encoded,1000,0.20731991708412506
31,morgan,mean_encoded,full,0.05808429780618414
31,molformer_xl,encode_mean,100,0.6061280013819312
31,molformer_xl,encode_mean,1000,0.22969856624632923
31,molformer_xl,encode_mean,full,0.06413024702021075
31,molformer_xl,mean_encoded,100,0.5929607877008118
31,molformer_xl,mean_encoded,1000,0.21342200725513907
31,molformer_xl,mean_encoded,full,0.05726377612713768
31,chemberta,encode_mean,100,0.5738296769735706
31,chemberta,encode_mean,1000,0.20956555536362068
31,chemberta,encode_mean,full,0.05540680601140093
31,chemberta,mean_encoded,100,0.5621048540335118
31,chemberta,mean_encoded,1000,0.19822940058732075
31,chemberta,mean_encoded,full,0.048453964415270334
37,cgp,encode_mean,100,0.6208498877180859
37,cgp,encode_mean,1000,0.23774831577129038
37,cgp,encode_mean,full,0.06905337709448955
37,cgp,mean_encoded,100,0.7129771981343929
37,cgp,mean_encoded,1000,0.3067887372603213
37,cgp,mean_encoded,full,0.09310761789600967
37,morgan,encode_mean,100,0.5716099499049923
37,morgan,encode_mean,1000,0.21967092762135085
37,morgan,encode_mean,full,0.060761789600967356
37,morgan,mean_encoded,100,0.5705907756089135
37,morgan,mean_encoded,1000,0.21003627569528419
37,morgan,mean_encoded,full,0.05821385386077042
37,molformer_xl,encode_mean,100,0.6103688029020558
37,molformer_xl,encode_mean,1000,0.23371048540335118
37,molformer_xl,encode_mean,full,0.06050267749179478
37,molformer_xl,mean_encoded,100,0.6024917947832096
37,molformer_xl,mean_encoded,1000,0.21812489203662117
37,molformer_xl,mean_encoded,full,0.054672655035411986
37,chemberta,encode_mean,100,0.5778804629469684
37,chemberta,encode_mean,1000,0.2124330627051304
37,chemberta,encode_mean,full,0.05791155640006909
37,chemberta,mean_encoded,100,0.5674598376230782
37,chemberta,mean_encoded,1000,0.19673086888927277
37,chemberta,mean_encoded,full,0.04802211089998273
41,cgp,encode_mean,100,0.5940015546726549
41,cgp,encode_mean,1000,0.21754620832613575
41,cgp,encode_mean,full,0.05886163413370185
41,cgp,mean_encoded,100,0.6825963033339091
41,cgp,mean_encoded,1000,0.2736785282432199
41,cgp,mean_encoded,full,0.07466747279322854
41,morgan,encode_mean,100,0.5661815512178269
41,morgan,encode_mean,1000,0.21380203834859213
41,morgan,encode_mean,full,0.06084816030402487
41,morgan,mean_encoded,100,0.5648600794610468
41,morgan,mean_encoded,1000,0.20667213681119365
41,morgan,mean_encoded,full,0.05821385386077042
41,molformer_xl,encode_mean,100,0.6081577129037831
41,molformer_xl,encode_mean,1000,0.23330886163413372
41,molformer_xl,encode_mean,full,0.06102090171013992
41,molformer_xl,mean_encoded,100,0.5958196579720159
41,molformer_xl,mean_encoded,1000,0.2178312316462256
41,molformer_xl,mean_encoded,full,0.056831922611850064
41,chemberta,encode_mean,100,0.581274831577129
41,chemberta,encode_mean,1000,0.21733028156849196
41,chemberta,encode_mean,full,0.055493176714458456
41,chemberta,mean_encoded,100,0.5737519433408187
41,chemberta,mean_encoded,1000,0.20163672482294007
41,chemberta,mean_encoded,full,0.04940404214890309
