method,aggregation,setting,mean,sd_ddof1,n
cgp,encode_mean,100,0.6019404617953589,0.016446046907565334,3
cgp,encode_mean,1000,0.22362670582138536,0.01226889984626591,3
cgp,encode_mean,full,0.061956584326596426,0.006162707533300178,3
cgp,mean_encoded,100,0.6947501007658202,0.016075242496149302,3
cgp,mean_encoded,1000,0.2885961881729717,0.016796284099018715,3
cgp,mean_encoded,full,0.08208095813899925,0.00973658101426953,3
molformer_xl,encode_mean,100,0.6082181723959234,0.0021210471225116606,3
molformer_xl,encode_mean,1000,0.23223930442793805,0.002209488242470135,3
molformer_xl,encode_mean,full,0.06188460874071514,0.0019619652257040193,3
molformer_xl,mean_encoded,100,0.5970907468186791,0.004890989076174951,3
molformer_xl,mean_encoded,1000,0.2164593769793286,0.0026345341594462635,3
molformer_xl,mean_encoded,full,0.05625611792479992,0.0013882148271136313,3
chemberta,encode_mean,100,0.5776616571658894,0.0037273970468809803,3
chemberta,encode_mean,1000,0.21310963321241436,0.00392632830996703,3
chemberta,encode_mean,full,0.05627051304197617,0.0014218412189630593,3
chemberta,mean_encoded,100,0.5677722116658029,0.005829824653454125,3
chemberta,mean_encoded,1000,0.1988656647665112,0.0025140564213567934,3
chemberta,mean_encoded,full,0.04862670582138539,0.0007069746736804683,3
morgan,encode_mean,100,0.5666148442448321,0.004793170031587972,3
morgan,encode_mean,1000,0.21558847239016524,0.0035446791535113215,3
morgan,encode_mean,full,0.061078482178844935,0.00047569274030800766,3
morgan,mean_encoded,100,0.5659353947141129,0.004221714353688388,3
morgan,mean_encoded,1000,0.20800944319686765,0.001784920811402538,3
morgan,mean_encoded,full,0.058170668509241664,7.479922299053625e-05,3
