seed,metric,value,random,summary_type
31,Mean Top-1,0.2121643109815091,0.029875460745987178,Mean
31,HMean Top-1,0.15366460063501888,0.016520484017681327,HMean
31,Mean Top-10,0.6017540756409423,0.25245454645869986,Mean
31,HMean Top-10,0.5462007377689442,0.15918635406455767,HMean
37,Mean Top-1,0.20847573615337706,0.029911260225181306,Mean
37,HMean Top-1,0.14952246801248495,0.01652373219844802,HMean
37,Mean Top-10,0.5910546682441885,0.252272489656888,Mean
37,HMean Top-10,0.5326805306905001,0.15916024863286685,HMean
41,Mean Top-1,0.1925989332983716,0.029912253834594976,Mean
41,HMean Top-1,0.1338093368537789,0.016523835103226806,HMean
41,Mean Top-10,0.5849601849715742,0.2522854274824839,Mean
41,HMean Top-10,0.5254785806201355,0.15916241990511015,HMean
