entity_index,entity_id,pair_kind,modality,display_group,gene_symbol,perturbation_modality,label,stage_key,stage_label,pca1,pca2
6,AAAUIKUIDRZZQT-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AAAUIKUIDRZZQT-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.22065105,0.2510522
206,ABAROUJHXLUZRH-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ABAROUJHXLUZRH-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.22690082,0.0589329
280,ABKSQIBLHAOHPW-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ABKSQIBLHAOHPW-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.20492133,0.24428675
382,ACABFUSMARNGNL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ACABFUSMARNGNL-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.26661274,0.30901527
422,ACFHYLAWVCUGAR-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ACFHYLAWVCUGAR-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.16302602,0.190441
453,ACJPKTXFLCWTPJ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ACJPKTXFLCWTPJ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.27080235,0.19280607
483,ACMLKANOGIVEPB-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ACMLKANOGIVEPB-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.23478791,0.2667839
771,AEALYBTZQMLFBC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AEALYBTZQMLFBC-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2268104,0.30258897
825,AEHSBWNEVKKYRF-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AEHSBWNEVKKYRF-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.25170285,0.3025686
1081,AFQWWNVKKIMPGC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AFQWWNVKKIMPGC-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.25607848,0.14207631
1138,AFXUXPBDMXBJSD-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AFXUXPBDMXBJSD-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.20718838,0.15310057
1215,AGJHEDJDGVXQPT-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AGJHEDJDGVXQPT-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.21644373,0.05254835
1359,AHCYOTLTLQTPSU-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AHCYOTLTLQTPSU-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2476248,0.2596733
1405,AHLBNYSZXLDEJQ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AHLBNYSZXLDEJQ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.21274887,0.19204445
1567,AIIXGKDDAJZNLF-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AIIXGKDDAJZNLF-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.17828399,0.17296235
1605,AINWNOASLQJWGL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AINWNOASLQJWGL-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.15644008,0.22097468
1699,AJARMMQTJGLMMD-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AJARMMQTJGLMMD-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.21065828,0.18180129
1796,AJMJHCKMFSEQGK-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AJMJHCKMFSEQGK-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.22251174,0.18725938
1810,AJOHOSXXSLUWLM-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AJOHOSXXSLUWLM-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2933733,0.23212744
1851,AJTBVOMYMXVITA-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AJTBVOMYMXVITA-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.20405512,0.23380944
2059,AKUZVUGTYQLLAA-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AKUZVUGTYQLLAA-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.27149045,0.08709046
2117,ALETZOQAGIEADS-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ALETZOQAGIEADS-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.27772075,0.17450574
