setting,independent_run,direction,short,top10,route
CGP-Align,31,Compound -> profile,C-P,0.8420193470374848,Compound-profile
CGP-Align,31,Profile -> compound,P-C,0.5527260450362739,Compound-profile
CGP-Align,31,Gene -> profile,G-P,0.655138950154389,Gene-profile
CGP-Align,31,Profile -> gene,P-G,0.35713196033562167,Gene-profile
CGP-Align,37,Compound -> profile,C-P,0.841112454655381,Compound-profile
CGP-Align,37,Profile -> compound,P-C,0.5496709089539874,Compound-profile
CGP-Align,37,Gene -> profile,G-P,0.6303285968028419,Gene-profile
CGP-Align,37,Profile -> gene,P-G,0.34310671256454384,Gene-profile
CGP-Align,41,Compound -> profile,C-P,0.832950423216445,Compound-profile
CGP-Align,41,Profile -> compound,P-C,0.511956705304368,Compound-profile
CGP-Align,41,Gene -> profile,G-P,0.6533745037494486,Gene-profile
CGP-Align,41,Profile -> gene,P-G,0.34155910761603553,Gene-profile
