independent_run,direction,short,branch,candidate_setting,metric,observed,random_ranking,fold_enrichment,positive_count_mean,negative_count,num_queries,num_gallery
31,Compound to profile,C-P,compound-profile,1:100 sampled,Top1,0.3989030920711695,0.05029791315622412,7.930808000566266,5.500259112109172,100.0,11578,63682
31,Compound to profile,C-P,compound-profile,1:100 sampled,Top10,0.8420193470374848,0.402019623530686,2.094473248948789,5.500259112109172,100.0,11578,63682
31,Compound to profile,C-P,compound-profile,full gallery,Recall@1,0.00984626014855761,8.637070305754326e-05,113.99999999997313,5.500259112109172,63676.49974088789,11578,63682
31,Compound to profile,C-P,compound-profile,full gallery,Recall@5,0.03195716013128347,0.00043168115768760506,74.0295460252864,5.500259112109172,63676.49974088789,11578,63682
31,Compound to profile,C-P,compound-profile,full gallery,Recall@10,0.051563309725341164,0.0008629333096377454,59.75352805303941,5.500259112109172,63676.49974088789,11578,63682
31,Profile to compound,P-C,compound-profile,1:100 sampled,Top1,0.15521497440407023,0.00990099009900991,15.67671241481108,1.0,100.0,63682,11578
31,Profile to compound,P-C,compound-profile,1:100 sampled,Top10,0.5527260450362739,0.09900990099009911,5.58253305486636,1.0,100.0,63682,11578
31,Profile to compound,P-C,compound-profile,full gallery,Recall@1,0.005511761565277473,8.637070305750338e-05,63.81517540279699,1.0,11577.0,63682,11578
31,Profile to compound,P-C,compound-profile,full gallery,Recall@5,0.02214126440752489,0.00043185351528762794,51.27031186206303,1.0,11577.0,63682,11578
31,Profile to compound,P-C,compound-profile,full gallery,Recall@10,0.03759304041958481,0.0008637070305751449,43.52522219779953,1.0,11577.0,63682,11578
31,Gene to profile,G-P,gene-profile,1:100 sampled,Top1,0.21393912659902953,0.049401949629704775,4.330580639076451,5.2046757829730925,100.0,2267,11799
31,Gene to profile,G-P,gene-profile,1:100 sampled,Top10,0.655138950154389,0.40977876032391525,1.5987625850508345,5.2046757829730925,100.0,2267,11799
31,Gene to profile,G-P,gene-profile,full gallery,Recall@1,0.009704455227172474,0.00044111160123506423,22.000000000002405,5.2046757829730925,11793.795324217026,2267,11799
31,Gene to profile,G-P,gene-profile,full gallery,Recall@5,0.037935597706219674,0.0022039251979345032,17.21274285614255,5.2046757829730925,11793.795324217026,2267,11799
31,Gene to profile,G-P,gene-profile,full gallery,Recall@10,0.05734450816056462,0.0044037722597190425,13.02167886497908,5.2046757829730925,11793.795324217026,2267,11799
31,Profile to gene,P-G,gene-profile,1:100 sampled,Top1,0.08060005085176711,0.00990099009900991,8.140605136028471,1.0,100.0,11799,2267
31,Profile to gene,P-G,gene-profile,1:100 sampled,Top10,0.35713196033562167,0.0990099009900991,3.6070327993897755,1.0,100.0,11799,2267
31,Profile to gene,P-G,gene-profile,full gallery,Recall@1,0.008390541571319604,0.0004411116012351668,19.0213577421792,1.0,2266.0,11799,2267
31,Profile to gene,P-G,gene-profile,full gallery,Recall@5,0.028646495465717434,0.002205558006175612,12.988321044155994,1.0,2266.0,11799,2267
31,Profile to gene,P-G,gene-profile,full gallery,Recall@10,0.0514450377150606,0.004411116012351002,11.662590050004564,1.0,2266.0,11799,2267
37,Compound to profile,C-P,compound-profile,1:100 sampled,Top1,0.4032216272240456,0.05082707171428955,7.933205939752843,5.734582829504232,100.0,11578,66395
37,Compound to profile,C-P,compound-profile,1:100 sampled,Top10,0.841112454655381,0.40331672898972903,2.085488635103953,5.734582829504232,100.0,11578,66395
37,Compound to profile,C-P,compound-profile,full gallery,Recall@1,0.008550699602694766,8.637070305749918e-05,99.00000000002717,5.734582829504232,66389.26541717049,11578,66395
37,Compound to profile,C-P,compound-profile,full gallery,Recall@5,0.030575228882363102,0.00043117734078644543,70.91102892047955,5.734582829504232,66389.26541717049,11578,66395
37,Compound to profile,C-P,compound-profile,full gallery,Recall@10,0.049058559336673004,0.0008607506314270217,56.99508957122665,5.734582829504232,66389.26541717049,11578,66395
37,Profile to compound,P-C,compound-profile,1:100 sampled,Top1,0.15232020483470143,0.009900990099009912,15.384340688304828,1.0,100.0,66395,11578
37,Profile to compound,P-C,compound-profile,1:100 sampled,Top10,0.5496709089539874,0.0990099009900991,5.551676180435268,1.0,100.0,66395,11578
