entity_index,entity_id,pair_kind,modality,display_group,gene_symbol,perturbation_modality,label,stage_key,stage_label,pca1,pca2
6,AAAUIKUIDRZZQT-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AAAUIKUIDRZZQT-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.22065113,0.25105235
206,ABAROUJHXLUZRH-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ABAROUJHXLUZRH-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.22690094,0.058933116
280,ABKSQIBLHAOHPW-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ABKSQIBLHAOHPW-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.20492142,0.24428686
382,ACABFUSMARNGNL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ACABFUSMARNGNL-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2666129,0.3090155
422,ACFHYLAWVCUGAR-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ACFHYLAWVCUGAR-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.16302612,0.19044128
453,ACJPKTXFLCWTPJ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ACJPKTXFLCWTPJ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.27080253,0.19280618
483,ACMLKANOGIVEPB-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ACMLKANOGIVEPB-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.23478806,0.266784
771,AEALYBTZQMLFBC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AEALYBTZQMLFBC-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.22681056,0.30258915
825,AEHSBWNEVKKYRF-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AEHSBWNEVKKYRF-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.25170296,0.3025686
1081,AFQWWNVKKIMPGC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AFQWWNVKKIMPGC-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2560786,0.1420764
1138,AFXUXPBDMXBJSD-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AFXUXPBDMXBJSD-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.20718847,0.15310073
1215,AGJHEDJDGVXQPT-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AGJHEDJDGVXQPT-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.21644379,0.05254834
1359,AHCYOTLTLQTPSU-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AHCYOTLTLQTPSU-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.24762492,0.25967333
1405,AHLBNYSZXLDEJQ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AHLBNYSZXLDEJQ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.21274894,0.19204453
1567,AIIXGKDDAJZNLF-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AIIXGKDDAJZNLF-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.17828411,0.17296246
1605,AINWNOASLQJWGL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AINWNOASLQJWGL-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.15644018,0.22097492
1699,AJARMMQTJGLMMD-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AJARMMQTJGLMMD-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.21065837,0.18180151
1796,AJMJHCKMFSEQGK-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AJMJHCKMFSEQGK-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.22251184,0.18725958
1810,AJOHOSXXSLUWLM-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AJOHOSXXSLUWLM-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2933734,0.23212758
1851,AJTBVOMYMXVITA-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AJTBVOMYMXVITA-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.20405523,0.23380962
2059,AKUZVUGTYQLLAA-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AKUZVUGTYQLLAA-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.27149057,0.08709059
2117,ALETZOQAGIEADS-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ALETZOQAGIEADS-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.27772093,0.17450589
2461,ANCZCYLBWWICRC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ANCZCYLBWWICRC-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.22054377,0.12991065
2593,ANUSZQVQMBASHL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ANUSZQVQMBASHL-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.21729486,0.037585832
2664,AODVYKHBOQUVGF-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AODVYKHBOQUVGF-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.20203015,0.21201839
2815,AOZVVJNIZCCZSO-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AOZVVJNIZCCZSO-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2142021,0.26763824
2845,APDNLUWXNJMOOT-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,APDNLUWXNJMOOT-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.24459122,-0.0323098
2856,APELMQKCZIBVIK-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,APELMQKCZIBVIK-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.16489825,0.12766652
2889,APJLAFFWPYZDSD-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,APJLAFFWPYZDSD-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.23563464,0.1626162
2946,APQFALJQRXXQHB-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,APQFALJQRXXQHB-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.33498317,0.12072949
3075,AQHFMIQVJBQMHO-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AQHFMIQVJBQMHO-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.23378316,0.21688545
3430,ASDLBSZKBBTUFC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ASDLBSZKBBTUFC-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2355858,0.2220812
3441,ASEVOZVWFSMOMJ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ASEVOZVWFSMOMJ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.27580124,0.2481253
3449,ASFUUJUXCCUMFA-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ASFUUJUXCCUMFA-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.29822585,0.22836652
3472,ASICCWOHJWYYDF-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ASICCWOHJWYYDF-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.26099604,0.24868843
3517,ASNZHKJGGYRNAY-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ASNZHKJGGYRNAY-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.25979358,-0.05238928
3565,ASTWQBIAIVDVTB-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ASTWQBIAIVDVTB-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.19124347,0.23232743
3634,ATCBXWDTTUUMOK-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ATCBXWDTTUUMOK-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.27087897,0.27604324
3661,ATEZJNHKQATBDZ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ATEZJNHKQATBDZ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.28591874,0.2430994
3771,ATTYGJIYCZMWEN-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ATTYGJIYCZMWEN-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2847603,0.15629022
3891,AUJXJFHANFIVKH-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AUJXJFHANFIVKH-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.23619603,0.15899219
3918,AUOAMZHKFUPMDC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AUOAMZHKFUPMDC-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.20148265,0.18389614
4074,AVMDYMQAFCORPZ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AVMDYMQAFCORPZ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.18763265,0.13542984
4225,AWJLNZYJTRLROG-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AWJLNZYJTRLROG-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.18417996,0.24209398
4477,AXSXYXPOCKIWLE-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AXSXYXPOCKIWLE-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.32182223,0.20279424
4524,AXZKBTZTOYIHSX-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AXZKBTZTOYIHSX-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.24728608,0.032391295
4844,AZSRSNUQCUDCGG-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AZSRSNUQCUDCGG-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.1784053,-0.026204094
4890,AZYVIMRMXJJRFN-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AZYVIMRMXJJRFN-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.17450903,0.14771058
4914,BADAUMPJOMGICX-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BADAUMPJOMGICX-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.26910213,0.2694462
5030,BASJOWQWQZLQHV-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BASJOWQWQZLQHV-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.16596675,0.15863921
5079,BBAKCICQKCDGJE-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BBAKCICQKCDGJE-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.20287408,0.1658359
5192,BBPLFCVOBFEUAF-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BBPLFCVOBFEUAF-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.23031282,0.30987245
5372,BCMHIXKTUBEIRR-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BCMHIXKTUBEIRR-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.24582374,0.117466874
5441,BCVRGRGRZZOOSG-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BCVRGRGRZZOOSG-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.18634772,0.10549313
