setting,independent_run,direction,short,top10,route
CGP-Align,31,Compound -> profile,C-P,0.838737260321299,Compound-profile
CGP-Align,31,Profile -> compound,P-C,0.5388304387425017,Compound-profile
CGP-Align,31,Gene -> profile,G-P,0.6673577415086017,Gene-profile
CGP-Align,31,Profile -> gene,P-G,0.36519196542079835,Gene-profile
CGP-Align,37,Compound -> profile,C-P,0.8469770253929868,Compound-profile
CGP-Align,37,Profile -> compound,P-C,0.5692537088636194,Compound-profile
CGP-Align,37,Gene -> profile,G-P,0.6287744227353463,Gene-profile
CGP-Align,37,Profile -> gene,P-G,0.34085197934595524,Gene-profile
CGP-Align,41,Compound -> profile,C-P,0.8392986698911729,Compound-profile
CGP-Align,41,Profile -> compound,P-C,0.5270085207645658,Compound-profile
CGP-Align,41,Gene -> profile,G-P,0.6569475077194531,Gene-profile
CGP-Align,41,Profile -> gene,P-G,0.35627831438584495,Gene-profile
