seed,metric,value,random,summary_type
31,Mean Top-1,0.2144862273406617,0.029875460745987178,Mean
31,HMean Top-1,0.163734634706897,0.016520484017681327,HMean
31,Mean Top-10,0.5903938138789094,0.25245454645869986,Mean
31,HMean Top-10,0.5384723062080757,0.15918635406455767,HMean
37,Mean Top-1,0.19631309492323407,0.029911260225181306,Mean
37,HMean Top-1,0.14295867839574167,0.01652373219844802,HMean
37,Mean Top-10,0.5724394121671048,0.252272489656888,Mean
37,HMean Top-10,0.5164160161536387,0.15916024863286685,HMean
41,Mean Top-1,0.2032755902307322,0.029912253834594976,Mean
41,HMean Top-1,0.14949095182883976,0.016523835103226806,HMean
41,Mean Top-10,0.578851352823536,0.2522854274824839,Mean
41,HMean Top-10,0.5219158576503222,0.15916241990511015,HMean
