entity_index,entity_id,pair_kind,modality,display_group,gene_symbol,perturbation_modality,label,stage_key,stage_label,pca1,pca2
6,AAAUIKUIDRZZQT-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AAAUIKUIDRZZQT-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2528126,0.009225436
206,ABAROUJHXLUZRH-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ABAROUJHXLUZRH-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.3832898,-0.13462502
280,ABKSQIBLHAOHPW-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ABKSQIBLHAOHPW-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.13739789,-0.086382635
382,ACABFUSMARNGNL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ACABFUSMARNGNL-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.35356823,0.043086864
422,ACFHYLAWVCUGAR-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ACFHYLAWVCUGAR-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.37001792,-0.23959246
453,ACJPKTXFLCWTPJ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ACJPKTXFLCWTPJ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.41257188,-0.14788483
483,ACMLKANOGIVEPB-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ACMLKANOGIVEPB-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.33402252,-0.025211584
771,AEALYBTZQMLFBC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AEALYBTZQMLFBC-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.30093083,0.029936275
825,AEHSBWNEVKKYRF-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AEHSBWNEVKKYRF-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.24189043,-0.03320998
1081,AFQWWNVKKIMPGC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AFQWWNVKKIMPGC-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.4845972,-0.11138657
1138,AFXUXPBDMXBJSD-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AFXUXPBDMXBJSD-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.22297913,-0.18976672
1215,AGJHEDJDGVXQPT-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AGJHEDJDGVXQPT-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.24588127,0.0658512
1359,AHCYOTLTLQTPSU-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AHCYOTLTLQTPSU-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.17303893,0.037844874
1405,AHLBNYSZXLDEJQ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AHLBNYSZXLDEJQ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2493037,-0.08918497
1567,AIIXGKDDAJZNLF-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AIIXGKDDAJZNLF-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.22332287,-0.09472593
1605,AINWNOASLQJWGL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AINWNOASLQJWGL-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.34218094,0.029561212
1699,AJARMMQTJGLMMD-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AJARMMQTJGLMMD-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.34930897,-0.22330119
1796,AJMJHCKMFSEQGK-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AJMJHCKMFSEQGK-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.35772285,-0.05139965
1810,AJOHOSXXSLUWLM-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AJOHOSXXSLUWLM-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.387056,-0.0063860463
1851,AJTBVOMYMXVITA-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AJTBVOMYMXVITA-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2389213,0.014038878
2059,AKUZVUGTYQLLAA-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AKUZVUGTYQLLAA-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.36751956,-0.120516144
2117,ALETZOQAGIEADS-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ALETZOQAGIEADS-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.32623515,-0.0059674745
2461,ANCZCYLBWWICRC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ANCZCYLBWWICRC-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2656946,-0.0032091439
2593,ANUSZQVQMBASHL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ANUSZQVQMBASHL-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.27872714,-0.14941385
2664,AODVYKHBOQUVGF-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AODVYKHBOQUVGF-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.12873358,0.044689283
2815,AOZVVJNIZCCZSO-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AOZVVJNIZCCZSO-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.27976516,-0.08740064
2845,APDNLUWXNJMOOT-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,APDNLUWXNJMOOT-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.27895433,0.01113319
2856,APELMQKCZIBVIK-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,APELMQKCZIBVIK-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.35927773,-0.18426028
2889,APJLAFFWPYZDSD-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,APJLAFFWPYZDSD-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.24415329,0.027749205
2946,APQFALJQRXXQHB-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,APQFALJQRXXQHB-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.36442223,-0.10928849
3075,AQHFMIQVJBQMHO-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AQHFMIQVJBQMHO-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.33748847,-0.12403165
3430,ASDLBSZKBBTUFC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ASDLBSZKBBTUFC-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.29865357,-0.047945477
3441,ASEVOZVWFSMOMJ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ASEVOZVWFSMOMJ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.30734822,0.06935972
3449,ASFUUJUXCCUMFA-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ASFUUJUXCCUMFA-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.23599434,-0.014215972
3472,ASICCWOHJWYYDF-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ASICCWOHJWYYDF-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.31134114,0.042774074
3517,ASNZHKJGGYRNAY-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ASNZHKJGGYRNAY-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2956037,-0.0027682912
3565,ASTWQBIAIVDVTB-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ASTWQBIAIVDVTB-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2067479,-0.083705775
3634,ATCBXWDTTUUMOK-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ATCBXWDTTUUMOK-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2979071,0.0676073
3661,ATEZJNHKQATBDZ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ATEZJNHKQATBDZ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.27878532,0.008231774
3771,ATTYGJIYCZMWEN-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ATTYGJIYCZMWEN-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.24981464,0.09399945
3891,AUJXJFHANFIVKH-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AUJXJFHANFIVKH-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.29865086,0.059917256
3918,AUOAMZHKFUPMDC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AUOAMZHKFUPMDC-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.24464561,-0.07658572
4074,AVMDYMQAFCORPZ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AVMDYMQAFCORPZ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.39901608,-0.21805996
4225,AWJLNZYJTRLROG-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AWJLNZYJTRLROG-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.18045804,-0.0507359
4477,AXSXYXPOCKIWLE-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AXSXYXPOCKIWLE-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.41589013,-0.15061578
4524,AXZKBTZTOYIHSX-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AXZKBTZTOYIHSX-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2618841,-0.12139454
4844,AZSRSNUQCUDCGG-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AZSRSNUQCUDCGG-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.33555824,-0.13008757
4890,AZYVIMRMXJJRFN-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,AZYVIMRMXJJRFN-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.18490908,0.015030397
4914,BADAUMPJOMGICX-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BADAUMPJOMGICX-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.27933887,-0.17056642
5030,BASJOWQWQZLQHV-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BASJOWQWQZLQHV-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.32386875,-0.1542794
5079,BBAKCICQKCDGJE-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BBAKCICQKCDGJE-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.14968234,-0.0007480979
5192,BBPLFCVOBFEUAF-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BBPLFCVOBFEUAF-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.14338009,0.003625229
5372,BCMHIXKTUBEIRR-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BCMHIXKTUBEIRR-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.22391263,0.0004746858
5441,BCVRGRGRZZOOSG-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BCVRGRGRZZOOSG-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.32509738,-0.2044575
5627,BDVQARAQLZJHQO-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BDVQARAQLZJHQO-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.1914138,0.030890612
5810,BEXAALMVTPNVMS-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BEXAALMVTPNVMS-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.36304075,-0.091139935
5883,BFHCIZVZDLBNQO-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BFHCIZVZDLBNQO-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2797612,-0.11424081
6112,BGLKYXFWUWVUQB-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BGLKYXFWUWVUQB-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.32848164,-0.09524071
6129,BGNGENUCHIALLY-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BGNGENUCHIALLY-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.1443629,-0.006584462
6256,BHBYCEGJAOZQEB-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BHBYCEGJAOZQEB-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.14795148,0.06735875
6265,BHCXFIXVIVUZSU-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BHCXFIXVIVUZSU-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.28679043,0.05248767
6348,BHOREAOHBUIACH-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BHOREAOHBUIACH-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2129695,-0.06364979
6393,BHTZQKGNXUYDTN-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BHTZQKGNXUYDTN-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.43621933,-0.07471723
6421,BHXVYTQDWMQVBI-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BHXVYTQDWMQVBI-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.38094178,-0.039752863
6516,BILXCKPTUJCYKR-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BILXCKPTUJCYKR-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.3724815,-0.11353433
6739,BJTVCQHTLJBWAM-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BJTVCQHTLJBWAM-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.268574,0.1256344
