method,seed,setting,score,previous_score,change_pp,checkpoint_epoch,checkpoint_sha256
cgp,31,100,0.697698220763517,0.7007298324408361,-0.3031611677319135,220,1b45e30d2713f0611f0f94e88d18b4f4837a44b4ace0c47ea8ac00b9494373a0
cgp,31,1000,0.30443081706685093,0.3002375194334082,0.41932976334427274,220,1b45e30d2713f0611f0f94e88d18b4f4837a44b4ace0c47ea8ac00b9494373a0
cgp,31,full,0.09712385558818448,0.08632751770599412,1.0796337882190365,220,1b45e30d2713f0611f0f94e88d18b4f4837a44b4ace0c47ea8ac00b9494373a0
cgp,37,100,0.676148730350665,0.6971886336154776,-2.103990326481253,90,332ee0e7f2d5c9887653ed1fabbc22484a9fea36240d6ae33b9fe20e443f6097
cgp,37,1000,0.2839177750906892,0.2907583347728451,-0.6840559682155856,90,332ee0e7f2d5c9887653ed1fabbc22484a9fea36240d6ae33b9fe20e443f6097
cgp,37,full,0.08365002591121092,0.08468647434790119,-0.10364484366902765,90,332ee0e7f2d5c9887653ed1fabbc22484a9fea36240d6ae33b9fe20e443f6097
cgp,41,100,0.6921791328381414,0.6689972361375022,2.3181896700639193,160,b239cae512b120a1248486f067826c4c4d30bdd23f44969ad7ee5145fc8433c6
cgp,41,1000,0.2909181205735015,0.2613404733114527,2.957764726204881,160,b239cae512b120a1248486f067826c4c4d30bdd23f44969ad7ee5145fc8433c6
cgp,41,full,0.08740715149421316,0.06970115736742097,1.770599412679219,160,b239cae512b120a1248486f067826c4c4d30bdd23f44969ad7ee5145fc8433c6
molformer_xl,31,100,0.5929607877008118,0.5929607877008118,0.0,45,a41f5418e6f1b07a354acc6b1a547eed07ea015043adc73d614c30148406b6ae
molformer_xl,31,1000,0.21342200725513907,0.21342200725513907,0.0,45,a41f5418e6f1b07a354acc6b1a547eed07ea015043adc73d614c30148406b6ae
molformer_xl,31,full,0.05726377612713768,0.05726377612713768,0.0,45,a41f5418e6f1b07a354acc6b1a547eed07ea015043adc73d614c30148406b6ae
molformer_xl,37,100,0.6024917947832096,0.6024917947832096,0.0,35,02934a554c72c1232ca437177534305a3c5a33b754ef46335c6a7743325aea54
molformer_xl,37,1000,0.21812489203662117,0.21812489203662117,0.0,35,02934a554c72c1232ca437177534305a3c5a33b754ef46335c6a7743325aea54
molformer_xl,37,full,0.054672655035411986,0.054672655035411986,0.0,35,02934a554c72c1232ca437177534305a3c5a33b754ef46335c6a7743325aea54
