method,setting,mean_percent,seed_sd_percent,previous_mean_percent,change_pp
cgp,100,68.86753613174412,1.119385748593182,68.89719007312719,-0.029653941383078752
cgp,1000,29.308890424368055,1.0427389370594162,28.411210917256867,0.8976795071111876
cgp,full,8.939367766453618,0.6953109822953835,8.023838314043875,0.9155294524097426
molformer_xl,100,59.70907468186791,0.4890989076174951,59.70907468186791,0.0
molformer_xl,1000,21.645937697932858,0.26345341594462635,21.645937697932858,0.0
molformer_xl,full,5.625611792479991,0.13882148271136313,5.625611792479991,0.0
chemberta,100,56.7772211665803,0.5829824653454125,56.7772211665803,0.0
chemberta,1000,19.88656647665112,0.25140564213567934,19.88656647665112,0.0
chemberta,full,4.862670582138538,0.07069746736804683,4.862670582138538,0.0
morgan,100,56.59353947141129,0.4221714353688387,56.59353947141129,0.0
morgan,1000,20.800944319686764,0.17849208114025383,20.800944319686764,0.0
morgan,full,5.817066850924166,0.007479922299053625,5.817066850924166,0.0
