source,source_name,pair_id,pair_rank,pair_label,compound_id,compound_name,compound_short_name,compound_name_source,compound_smiles,compound_label,gene_symbol,compound_gene_cosine,rank,n_edges,similarity_percentile,rank_label,pair_label_plot,source_curve,compound_x,compound_y,gene_x,gene_y
dgidb,DGIdb,Reference 1,1,Loperamide–OPRM1,RDOIQAHITMMDAJ-UHFFFAOYSA-N,Loperamide,Loperamide,local metadata / PubChem,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,Loperamide,OPRM1,0.06048937141895294,3354,11424,70.64513305322129,#3354/11424,"Loperamide
OPRM1",-0.16,-0.0252985384547503,-0.27482601786411986,-0.2781230063599313,-0.06562417145890599
dgidb,DGIdb,Reference 2,2,Imidapril–CYP11B2,KLZWOWYOHUKJIG-UHFFFAOYSA-N,Imidapril,Imidapril,ChEMBL,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(=O)N(C)CC1C(=O)O,Imidapril,CYP11B2,0.03648858144879341,4710,11424,58.775385154061624,#4710/11424,"Imidapril
CYP11B2",-0.16,0.6365572886434095,0.10291975693398607,-0.21026557966189144,0.025451462646486088
dgidb,DGIdb,Reference 3,3,Abemaciclib–CCND3,UZWDCWONPYILKI-UHFFFAOYSA-N,Abemaciclib,Abemaciclib,local metadata / PubChem,CCN1CCN(Cc2ccc(N=c3nc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)c(F)c[nH]3)nc2)CC1,Abemaciclib,CCND3,0.04226867854595184,4371,11424,61.742822128851536,#4371/11424,"Abemaciclib
CCND3",-0.16,0.3127068698326441,-0.6436919858223807,-0.255107071955482,-0.07390352423012941
drugrep,DrugRep,Reference 1,1,DL-Leu–BCAT2,ROHFNLRQFUQHCH-UHFFFAOYSA-N,DL-leucine,DL-Leu,local metadata / PubChem,CC(C)CC(N)C(=O)O,DL-Leu,BCAT2,0.04153645038604736,2002,5550,63.93693693693694,#2002/5550,"DL-Leu
BCAT2",-0.08,0.6574130680402006,0.3713729494480898,-0.07297354754884554,-0.01334791536368154
drugrep,DrugRep,Reference 2,2,Loperamide–OPRM1,RDOIQAHITMMDAJ-UHFFFAOYSA-N,Loperamide,Loperamide,local metadata / PubChem,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,Loperamide,OPRM1,0.06048937141895294,1475,5550,73.43243243243242,#1475/5550,"Loperamide
OPRM1",-0.08,-0.0252985384547503,-0.27482601786411986,-0.2781230063599313,-0.06562417145890599
drugrep,DrugRep,Reference 3,3,Arcyriaflavin A–CCND1,KAJXOWFGKYKMMZ-UHFFFAOYSA-N,Arcyriaflavin A,Arcyriaflavin A,local metadata / PubChem,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,Arcyriaflavin A,CCND1,0.09271334111690521,855,5550,84.6036036036036,#855/5550,"Arcyriaflavin A
CCND1",-0.08,0.06479287664395705,-0.4106729582720883,-0.23609349639769678,-0.06080256447187637
hetionet,Hetionet,Reference 1,1,Loperamide–ELOVL6,RDOIQAHITMMDAJ-UHFFFAOYSA-N,Loperamide,Loperamide,local metadata / PubChem,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,Loperamide,ELOVL6,0.01748473197221756,3994,8484,52.929042904290434,#3994/8484,"Loperamide
ELOVL6",0.06,-0.0252985384547503,-0.27482601786411986,-0.33021286072974976,0.13281386548774265
hetionet,Hetionet,Reference 2,2,Ceforanide–ECH1,SLAYUXIURFNXPG-UHFFFAOYSA-N,Ceforanide,Ceforanide,Cell Painting metadata,NCc1ccccc1CC(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CSC12,Ceforanide,ECH1,-0.06643702834844589,7561,8484,10.885195662423385,#7561/8484,"Ceforanide
ECH1",0.06,0.6948117201873667,0.28290324364376873,-0.27083395207985106,0.03004574918922868
hetionet,Hetionet,Reference 3,3,Ile–BCAT2,AGPKZVBTJJNPAG-UHFFFAOYSA-N,Isoleucine,Ile,local metadata / PubChem,CCC(C)C(N)C(=O)O,Ile,BCAT2,0.03714609146118164,2931,8484,65.45851013672797,#2931/8484,"Ile
BCAT2",0.06,0.6726111854113451,0.30403119884027935,-0.07297354754884554,-0.01334791536368154
openbiolink,OpenBioLink,Reference 1,1,CGP 57380–CCND1,UQPMANVRZYYQMD-UHFFFAOYSA-N,CGP 57380,CGP 57380,local metadata / PubChem,N=c1[nH]cnc2[nH][nH]c(=Nc3ccc(F)cc3)c12,CGP 57380,CCND1,0.07839353382587433,2528,14774,82.89224312982266,#2528/14774,"CGP 57380
CCND1",0.0,0.22545332828094672,-0.3512032028024975,-0.23609349639769678,-0.06080256447187637
openbiolink,OpenBioLink,Reference 2,2,Ac-IDA–PDF,QZTKDVCDBIDYMD-UHFFFAOYSA-N,N-(2-Acetamido)iminodiacetic acid,Ac-IDA,PubChem,NC(=O)CN(CC(=O)O)CC(=O)O,Ac-IDA,PDF,-0.042545393109321594,12028,14774,18.59009069987816,#12028/14774,"Ac-IDA
PDF",0.0,0.6124795619290606,0.4310397151891008,-0.24324188811178296,0.012128839939659223
openbiolink,OpenBioLink,Reference 3,3,Beta-Ala–ALDH7A1,UCMIRNVEIXFBKS-UHFFFAOYSA-N,Beta-Alanine,Beta-Ala,local metadata / PubChem,NCCC(=O)O,Beta-Ala,ALDH7A1,0.05247196927666664,4170,14774,71.77812373087858,#4170/14774,"Beta-Ala
ALDH7A1",0.0,0.6631163656034843,0.2699202570206285,-0.23905734289863026,0.2451644991652715
pharmebinet,PharMeBINet,Reference 1,1,Loperamide–ELOVL6,RDOIQAHITMMDAJ-UHFFFAOYSA-N,Loperamide,Loperamide,local metadata / PubChem,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,Loperamide,ELOVL6,0.01748473197221756,7066,15794,55.264657464860065,#7066/15794,"Loperamide
ELOVL6",0.14,-0.0252985384547503,-0.27482601786411986,-0.33021286072974976,0.13281386548774265
pharmebinet,PharMeBINet,Reference 2,2,Ceforanide–ECH1,SLAYUXIURFNXPG-UHFFFAOYSA-N,Ceforanide,Ceforanide,Cell Painting metadata,NCc1ccccc1CC(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CSC12,Ceforanide,ECH1,-0.06643702834844589,13772,15794,12.805495757882746,#13772/15794,"Ceforanide
ECH1",0.14,0.6948117201873667,0.28290324364376873,-0.27083395207985106,0.03004574918922868
pharmebinet,PharMeBINet,Reference 3,3,Ile–BCAT2,AGPKZVBTJJNPAG-UHFFFAOYSA-N,Isoleucine,Ile,local metadata / PubChem,CCC(C)C(N)C(=O)O,Ile,BCAT2,0.03714609146118164,5201,15794,67.07293909079397,#5201/15794,"Ile
BCAT2",0.14,0.6726111854113451,0.30403119884027935,-0.07297354754884554,-0.01334791536368154
